PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,1.99074243186344,1.98691326351698,1.97927807957729,NaN,NaN,1.622189868159,1.64738979513422,1.63348375317015,1.66876157788005,NaN,NaN,1.17271398422818,1.15487894835931,1.16616464183307,NaN,NaN,NaN,NaN,NaN
1750,NaN,NaN,1.99200715778597,1.98653877752247,1.98027733937442,NaN,NaN,1.60777908749015,1.6306298720663,1.60700891521208,1.63962771187281,NaN,NaN,1.13342334280879,1.11423281517462,1.1170261260182,NaN,NaN,NaN,NaN,NaN
2000,NaN,NaN,1.99297119502968,1.98657237487513,1.98138960519429,NaN,NaN,1.58867151262679,1.61019361519253,1.58075296251038,1.61097636138619,NaN,NaN,1.09311894543457,1.07267529321349,1.06917370227146,NaN,NaN,NaN,NaN,NaN
2250,NaN,NaN,1.99368999802528,1.98687179107616,1.98254850326249,0.967778113209279,1.12209972411759,1.56703887825483,1.58799576518123,1.55499411096184,1.5831120928344,NaN,NaN,1.05316012964582,1.03180558814796,1.02353171832036,NaN,NaN,NaN,NaN,NaN
2500,NaN,1.97899800809716,1.99420287348305,1.98733887203943,1.98370769733686,1.27900666937667,1.34004129284197,1.54409326988432,1.56502268460502,1.52985548433408,1.55615181637248,NaN,NaN,1.01420201161696,0.992356294775127,0.980407886613643,NaN,NaN,NaN,NaN,NaN
2750,NaN,1.9842297601664,1.99453894010475,1.98790280869648,1.98483339956086,1.37104260427796,1.42472982714067,1.52054323615576,1.5418132144658,1.50538324425959,1.53012316260391,NaN,NaN,0.976567352492579,0.954650998316104,0.939847029181509,NaN,NaN,NaN,NaN,NaN
3000,NaN,1.98833459899757,1.99472052684556,1.98851071822757,1.98590013645964,1.41093062303243,1.46468828804268,1.49681601731014,1.51867260425765,1.48158412415619,1.50501052543154,NaN,NaN,0.940408461969573,0.918808532087426,0.901778818484548,NaN,NaN,NaN,NaN,NaN
3250,NaN,1.99155684998075,1.9947652367919,1.98912201987631,1.98688820482628,1.42884734504617,1.48302859969119,1.47317403507565,1.49577677367393,1.45844451603412,1.48077778689296,NaN,NaN,0.905785258247537,0.884841908297832,0.866084186980385,NaN,NaN,NaN,NaN,NaN
3500,NaN,1.99407330573241,1.994687265559,1.98970490782297,1.98778206617429,1.4349278582325,1.48906477741496,1.44977951875288,1.47322679679384,1.43594058243562,1.4573799349552,NaN,NaN,0.872705826811883,0.852709099607622,0.832626558197349,NaN,NaN,NaN,NaN,NaN
3750,NaN,1.99601530522291,1.99449827905723,1.99023404814965,1.98856929172326,1.4337392521612,1.48743445263222,1.42673201963304,1.4510789760842,1.41404376372708,1.43476911413829,NaN,NaN,0.841148703327547,0.82234019868273,0.801266820818196,NaN,NaN,NaN,NaN,NaN
4000,NaN,1.99748263075082,1.99420801842215,1.9906890233577,1.98923984520988,1.42774288190475,1.48076158926636,1.40409100548262,1.42936218427361,1.39272382270179,1.41289777621542,NaN,NaN,0.811075638861947,0.793652347089866,0.771870426559563,NaN,NaN,NaN,NaN,NaN
4250,NaN,1.9985525672411,1.99382472928602,1.99105325106408,1.98978558100439,1.4184273760175,1.47066182532636,1.38188988880674,1.40808822323939,1.37195052899567,1.39172027773258,NaN,NaN,0.782439142677287,0.766558062682126,0.744310550839017,NaN,NaN,NaN,NaN,NaN
