PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,1.98567332309048,1.98524862493887,1.97748419423775,NaN,NaN,1.62276174008828,1.65783249419959,1.66620139124985,1.71130175268923,NaN,NaN,1.21902754665924,1.1982664174828,1.23962853165265,1.2129389024098,NaN,NaN,NaN,NaN
1750,NaN,NaN,1.98745395839575,1.98488785425478,1.9784783969919,NaN,NaN,1.623491695214,1.65608566748545,1.64519326036587,1.68928360299613,NaN,NaN,1.19215476845935,1.17012276765292,1.1971123991009,1.16797134120634,NaN,NaN,NaN,NaN
2000,NaN,NaN,1.98889099920342,1.98494525589223,1.979602363801,NaN,NaN,1.61594436581569,1.64664093437679,1.62340919772598,1.66637489850789,NaN,NaN,1.16093913115317,1.13742235791129,1.15425823213715,1.12526562121845,NaN,NaN,NaN,NaN
2250,NaN,NaN,1.99005160832805,1.98528140454631,1.98079034334079,NaN,NaN,1.60347434862856,1.63296729298534,1.60140384638397,1.64326835245856,NaN,NaN,1.12791862938637,1.10303025976794,1.11240318364564,1.08500713383412,NaN,NaN,NaN,NaN
2500,NaN,NaN,1.99098274507726,1.98579994911311,1.98199638267611,NaN,NaN,1.5879893446166,1.61687657631651,1.57947891945426,1.62033086642724,NaN,NaN,1.09437914220304,1.06839455999438,1.07212995443182,1.04713888858607,NaN,NaN,NaN,NaN
2750,NaN,NaN,1.99171877668992,1.986431294615,1.98318693737806,NaN,0.879885440114655,1.57064066635406,1.59939058428201,1.55780199962244,1.59775936708976,NaN,NaN,1.06102236719331,1.03428252539626,1.03367564699735,1.01151620109074,NaN,NaN,NaN,NaN
3000,NaN,NaN,1.99228577170472,1.9871234024443,1.984336683354,1.14244168599012,1.25771751313701,1.55215343386754,1.58111821131523,1.53646575892312,1.57565754405617,NaN,NaN,1.02824818414504,1.00110662852572,0.997109673159946,0.977969198962336,NaN,NaN,NaN,NaN
3250,NaN,1.97547830377273,1.9927040814089,1.98783628180643,1.9854259952013,1.30582368745464,1.37862444034123,1.53299899923832,1.5624371685959,1.51551942460426,1.55407609923031,NaN,NaN,0.996288614187204,0.969083809322649,0.962417766516619,0.94632854531062,NaN,NaN,NaN,NaN
3500,NaN,1.980351961499,1.9929899735067,1.98853852737442,1.9864393521615,1.37115020701413,1.43674774131028,1.5134910250059,1.54358865797781,1.49498635299073,1.53303491864088,NaN,NaN,0.965277148890555,0.938319036595712,0.929544029788203,0.916435620451973,NaN,NaN,NaN,NaN
3750,NaN,1.98435789041569,1.99315671032903,1.98920505433928,1.98736428918416,1.40334794767815,1.46743728492711,1.49384179672707,1.5247298178536,1.47487423984493,1.5125357644437,NaN,NaN,0.93528710868486,0.908851565391338,0.898412844808212,0.888145923294623,NaN,NaN,NaN,NaN
4000,NaN,1.98765010797898,1.99321528585404,1.98981556624804,1.98819068303354,1.41963111788872,1.48321378555666,1.47419660099405,1.50596424863216,1.45518124164366,1.49256976139989,NaN,NaN,0.906354001641819,0.88068161393831,0.868940580435755,0.861329503141265,NaN,NaN,NaN,NaN
4250,NaN,1.9903473491736,1.99317494471923,1.99035348851519,1.98891025224521,1.42673279641171,1.48985697999409,1.454655430694,1.48736051505107,1.43589973728417,1.47312191488367,NaN,NaN,0.878489105427228,0.853786239281131,0.841041912497418,0.835870139728594,NaN,NaN,NaN,NaN
