PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,1.98754503861697,1.98896587472204,NaN,NaN,NaN,0.155840103918472,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,1.9849746347403,1.98640257596748,NaN,NaN,NaN,0.103572164377968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1.98240338730906,1.98383036180209,NaN,NaN,NaN,0.0609410296901625,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250,1.9798315196719,1.98125191117923,NaN,NaN,NaN,0.0256111093524452,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500,1.97725917965164,1.97866892201469,NaN,NaN,NaN,-0.00400519070958779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750,1.97468646970946,1.97608252602481,NaN,NaN,NaN,-0.029035304374779,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,1.97211346351486,1.97349350821523,NaN,NaN,NaN,-0.0503083055448841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3250,1.96954021563823,1.97090243101258,NaN,NaN,NaN,-0.0684514690601266,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500,1.96696676751443,1.96830970832668,NaN,NaN,NaN,-0.083950756798825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3750,1.96439315126779,1.96571565172701,NaN,NaN,NaN,-0.0971902544719992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000,1.96181939225257,1.96312050031362,NaN,NaN,NaN,-0.108478765462776,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4250,1.95924551079099,1.96052444065536,NaN,NaN,NaN,-0.118068267365958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4500,1.95667152339322,1.95792762046232,NaN,NaN,NaN,-0.126167043314725,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4750,1.9540974436329,1.95533015818442,NaN,NaN,NaN,-0.13294922933459,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,1.95152328278799,1.95273214989052,NaN,NaN,NaN,-0.138561889702975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
