PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,1.92666858198279,1.9277832256166,NaN,NaN,NaN,NaN,1.59868374223449,1.60205359910811,1.68601667376552,1.68495336215653,NaN,0.282966358042442,1.31251329719929,1.3383845705052,NaN,NaN,1.05521756575555,1.04177302893024
1750,NaN,NaN,NaN,1.92946375303635,1.92973253895866,NaN,NaN,NaN,NaN,1.63546499213069,1.64935465857594,1.70138228537514,1.71184793031093,0.533815881954255,0.664788563895905,1.35021287156389,1.35704026108461,NaN,NaN,1.03906641325556,1.02312156017977
2000,NaN,NaN,NaN,1.93175452833652,1.93156255733036,NaN,NaN,NaN,0.630740133733121,1.65930467307211,1.6824616101654,1.70982984166289,1.73133996150127,0.80306457936379,0.912744009692891,1.3702360006441,1.36193519022884,NaN,NaN,1.01682057275163,0.999404782585823
2250,NaN,NaN,NaN,1.93376943545075,1.93332281925814,NaN,NaN,0.795571314564012,1.10187958371232,1.67470990853674,1.70588489564558,1.71360128860466,1.74544331948724,0.973646035213771,1.05111522936202,1.37912430064191,1.35837260515088,NaN,NaN,0.991536485173425,0.973352118155538
2500,NaN,NaN,1.89672692346445,1.9356227575366,1.93503652977612,NaN,NaN,1.16946843147907,1.30083845794515,1.684297917902,1.72241520668198,1.71409341185305,1.75548661244609,1.07906332765581,1.12900981829905,1.38059763577082,1.34941351972061,NaN,NaN,0.96489047117234,0.946432203110023
2750,NaN,NaN,1.9020989776844,1.93737423325578,1.93671419410582,NaN,NaN,1.32816211303092,1.41602272975427,1.68970749888415,1.73387896080745,1.71222070397647,1.76238744039223,1.14503068754305,1.17357129626082,1.37693997641131,1.33693083359957,NaN,NaN,0.937841747575904,0.919467928989051
3000,NaN,NaN,1.90693571197991,1.93905567664203,1.93835987781882,NaN,NaN,1.41632404717177,1.49120230739111,1.69202294810796,1.74152375810334,1.70860574037029,1.7668029437032,1.18669939302736,1.19868883947843,1.36963472566563,1.32212228033217,NaN,NaN,0.910954028971145,0.892931043170389
3250,NaN,NaN,1.91132662593681,1.94068385280331,1.93997428685745,NaN,NaN,1.47236169633529,1.54349673171164,1.69199254676785,1.74623125155257,1.70368592703864,1.76921779612533,1.21278816511923,1.2117304475515,1.35968750309156,1.30578057691627,NaN,NaN,0.884562433783183,0.8670930268012
3500,NaN,NaN,1.9153400477632,1.9422671120298,1.94155636389384,NaN,NaN,1.51071607930635,1.58126324250825,1.69015016936887,1.74864198920883,1.69777663516725,1.76999829425039,1.22845328176872,1.21684987102169,1.34780338371299,1.28844475719198,NaN,NaN,0.858864966863496,0.842106740309721
3750,NaN,NaN,1.91902930891972,1.94380898320869,1.9431041485189,NaN,NaN,1.53804383834938,1.60915079250213,1.68688714187924,1.7492322121269,1.6911102124644,1.76942701398764,1.2368700203434,1.21653939732261,1.33449030070692,1.27048926419166,NaN,NaN,0.833974981655319,0.818052709260459
