PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,1.86752358548095,1.88455602478258,NaN,NaN,NaN,NaN,1.47676610229101,1.4554386474593,1.62834853929204,1.5993050793838,NaN,NaN,1.20059595986699,1.27796058585927,1.30660451773735,1.34579315769805,1.05638111281878,1.04886272423639
1750,NaN,NaN,NaN,1.8759412816995,1.88854504451517,NaN,NaN,NaN,NaN,1.54337350578834,1.52956132413146,1.65856112814487,1.63972200566661,NaN,NaN,1.27209372347034,1.32419973788953,1.35128731585312,1.3673420311869,1.05921291660888,1.0474378945673
2000,NaN,NaN,NaN,1.88217262529061,1.89187378782889,NaN,NaN,NaN,NaN,1.5885445956817,1.5839032026925,1.67915803699123,1.67081646268513,NaN,0.313572720561806,1.31821280685579,1.3498887004278,1.37931838026984,1.37688940140238,1.05114012557936,1.03642225613799
2250,NaN,NaN,NaN,1.88708690987454,1.89478146909416,NaN,NaN,NaN,NaN,1.62034585860494,1.62480144549976,1.69312689349367,1.69507331466112,0.464311594934062,0.639884332576515,1.34819956683483,1.362602865568,1.3960745322911,1.37856487243372,1.03670892727419,1.01996064494401
2500,NaN,NaN,NaN,1.89115515832503,1.89740393640521,NaN,NaN,NaN,0.197783768988399,1.64314669634313,1.65609017241262,1.70234714360057,1.71413868678989,0.709388005101374,0.863982944308767,1.36725335419018,1.36673596086589,1.40493396619942,1.37491155329311,1.01852070994692,1.00039767303964
2750,NaN,NaN,NaN,1.89465099138191,1.8998229076224,NaN,NaN,NaN,0.915864275171488,1.65956037338497,1.68025722408312,1.70806217585626,1.72915419707774,0.880447565050849,1.00166464197443,1.3785567192949,1.36500334326711,1.40811446331263,1.36756827844672,0.998141091340186,0.979128610858652
3000,NaN,NaN,NaN,1.89774205839182,1.90208973108183,NaN,NaN,0.805001561151793,1.16253558121264,1.67126371436374,1.69899877695295,1.71112783931432,1.74094083118648,0.996644356861501,1.08666861667751,1.38418140990526,1.35916529918308,1.40712422658737,1.35762948392823,0.97654871060424,0.957015623958091
3250,NaN,NaN,1.84707196166286,1.90053546032204,1.90423777058928,NaN,NaN,1.11617047482327,1.30358534729011,1.67939037064405,1.71351548349503,1.71215241148033,1.75010665098164,1.07621957875427,1.14013153093424,1.3855403212919,1.3504063711429,1.40301910877537,1.3458472727991,0.954372681963846,0.934605986218438
3500,NaN,NaN,1.85320008670695,1.90310193055352,1.90628926843838,NaN,NaN,1.26884213999601,1.39696500393744,1.68473825215623,1.72468293307682,1.71157979596612,1.75711314984071,1.1314421870635,1.17405553770752,1.38363273074608,1.33954784015091,1.3965565192172,1.33275069763544,0.932025466172889,0.912253156031715
3750,NaN,NaN,1.85883705539881,1.90548944875725,1.90825934270494,NaN,NaN,1.3599787042419,1.4635681913923,1.68788719703036,1.73315542935423,1.70974120652319,1.76231786241853,1.17010772981928,1.19531411011233,1.37918634422053,1.32717314536302,1.38829119296361,1.31871912975501,0.909780754273909,0.890187232842415
4000,NaN,NaN,1.86405098236151,1.90773126871819,1.91015841359461,NaN,NaN,1.4205807689845,1.51325595378865,1.68926966690711,1.7394320117168,1.70688847945275,1.7660026934654,1.19718490942915,1.20799166689668,1.37274396680004,1.31370514810865,1.37863678279486,1.30402896613386,0.887820939493933,0.868557648993305
4250,NaN,NaN,1.86889661328063,1.90985083996852,1.91199372832601,NaN,NaN,1.46363297040542,1.55142615818521,1.68921523631104,1.74389998677234,1.70321622689457,1.76839331679128,1.21591055730039,1.21462531091842,1.36471867483522,1.29945545807912,1.36790660495687,1.28888424361457,0.866267028831383,0.847459943951191
4500,NaN,NaN,1.87341858503671,1.91186492675309,1.91377034827921,NaN,NaN,1.49551608543158,1.58133221919479,1.68797968045527,1.74686450118979,1.69887697070159,1.76967280164432,1.22845248968259,1.21686193669426,1.35543019598288,1.28465689048183,1.35634126205346,1.27343721480994,0.845198030951329,0.826953053997834
4750,NaN,NaN,1.87765375535939,1.9137856418183,1.91549180453217,NaN,NaN,1.51974216664219,1.60507373438473,1.68576461169646,1.74856914934396,1.69399172564121,1.76999139870145,1.23630471102125,1.21581486195342,1.34512962224149,1.26948538528188,1.34412777586385,1.25780248180562,0.824663830103671,0.807070756699322
5000,NaN,NaN,1.88163290196209,1.91562180590735,1.91716054291484,NaN,NaN,1.53841924840845,1.62407702233671,1.68273110114707,1.74921065293224,1.68865755373882,1.76947370620401,1.24052553327938,1.2122642766743,1.33401663087002,1.25407514761939,1.33141309395566,1.24206689175012,0.804693912523492,0.787829405330336
5250,NaN,NaN,1.88538198445744,1.91737987650262,1.91877823205313,NaN,NaN,1.55290234569535,1.63935062772382,1.67900935170593,1.74894952106929,1.68295305542107,1.76822400891117,1.24188398454331,1.20677423954795,1.32225175259472,1.23852931461192,1.31831378787566,1.22629658285801,0.785303385980193,0.769233247263804
