PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,1.57866102018841,1.69962990954967,NaN,NaN,NaN,NaN,0.743554936889406,0.96129540048356,1.41459868560308,1.3601646899685,NaN,NaN,0.75056824528472,1.01233884476247,1.13249821234788,1.30050585070809,0.969137011353989,0.980345214742005
1750,NaN,NaN,NaN,1.62565940972554,1.71726287013425,NaN,NaN,NaN,NaN,1.05529681685046,1.14231957614384,1.49061733336953,1.42896665438598,NaN,NaN,0.930767643686251,1.13922388218561,1.21671981328858,1.34889703287065,1.01670669979049,1.01985164202305
2000,NaN,NaN,NaN,1.65841352098677,1.73061561142481,NaN,NaN,NaN,NaN,1.2304850421988,1.26256449234166,1.5434475278765,1.48383791573803,NaN,NaN,1.05194853936648,1.22144987475987,1.27758515132601,1.37980697900996,1.04259207899116,1.03968706301947
2250,NaN,NaN,NaN,1.68256931789152,1.74119754328615,NaN,NaN,NaN,NaN,1.34263307723392,1.35061586073521,1.58227804320748,1.52870549102333,NaN,NaN,1.1385775839245,1.27666729162905,1.32233845103692,1.39900630637505,1.05472147490859,1.04715476766952
2500,NaN,NaN,NaN,1.70117387662682,1.749885821129,NaN,NaN,NaN,NaN,1.42054296406589,1.41872201818515,1.61179361285723,1.56600259105902,NaN,NaN,1.20284277218969,1.31420325938388,1.35554449989231,1.41006655883613,1.05776529893716,1.04654588299657
2750,NaN,NaN,NaN,1.71600479368283,1.75722415714148,NaN,NaN,NaN,NaN,1.47763528598011,1.47316759089946,1.6346786382664,1.59737448034273,NaN,NaN,1.25160277628122,1.33953836655307,1.38021850321174,1.41530726714847,1.05463761836747,1.04052537803433
3000,NaN,NaN,NaN,1.7281634898709,1.76356699979161,NaN,NaN,NaN,NaN,1.52100146061299,1.51763733853516,1.65261910073061,1.62399390364198,NaN,NaN,1.28907431120098,1.35613292700865,1.39842884132998,1.4162933023365,1.04723714787725,1.03082049493493
3250,NaN,NaN,NaN,1.73836598700097,1.76915495590364,NaN,NaN,NaN,NaN,1.55475985053957,1.55450306430216,1.66674823490033,1.64672777841574,NaN,0.348730741591094,1.31802505865587,1.3662881940668,1.41163928636059,1.41411350058918,1.0368438448025,1.01858898607512
3500,NaN,NaN,NaN,1.74709634211073,1.77415686347945,NaN,NaN,NaN,NaN,1.58148256812777,1.58539427647958,1.67786659132919,1.66623485227573,0.315824676377473,0.591770889240213,1.34036401734386,1.371596189887,1.42091325499201,1.40954505503073,1.02434439185728,1.00462792011592
3750,NaN,NaN,NaN,1.75469260288954,1.77869452389309,NaN,NaN,NaN,NaN,1.60287027184128,1.6114839764483,1.68656109744846,1.68302687534106,0.518879228926668,0.777921667552471,1.35745978008655,1.3731930764449,1.42704084042006,1.40315472510611,1.0103667326267,0.989497885188672
4000,NaN,NaN,NaN,1.76139740424697,1.78285788819207,NaN,NaN,NaN,0.279145379515931,1.62009971317968,1.6336462857137,1.6932745167337,1.69750877218639,0.682321210941725,0.908714699616216,1.37032422967615,1.37191038502307,1.43062059954126,1.39536340614667,0.995363611574149,0.973599886962827
4250,NaN,NaN,NaN,1.76738901772081,1.78671473185061,NaN,NaN,NaN,0.790588317335385,1.63401563836749,1.65255018526075,1.69834849589744,1.71000598797352,0.808460290815732,1.00015292166386,1.37972454974164,1.36836952932535,1.43211379070307,1.3864885894638,0.97966622500857,0.957224603607214
4500,NaN,NaN,NaN,1.7728010945176,1.79031701586858,NaN,NaN,NaN,1.01376200825327,1.64524303841514,1.6687186284557,1.70205155887097,1.72078364874262,0.905408265337061,1.06469891049303,1.38625466536993,1.36304312944626,1.43188127566229,1.37677302081475,0.963519683008552,0.940584864887747
4750,NaN,NaN,NaN,1.77773561026562,1.7937051850763,NaN,NaN,0.416907792797473,1.15322314444938,1.65425606129724,1.68256757589377,1.70459802712615,1.73006031313518,0.980352332143261,1.11077478044732,1.390382539865,1.356296063616,1.43020919741379,1.36640448729555,0.94710703832007,0.923837611615462
5000,NaN,NaN,NaN,1.7822715824445,1.79691114287215,NaN,NaN,0.850056578734862,1.25176550498566,1.66142208759939,1.69443273678267,1.70616121392464,1.73801804746732,1.03876657471792,1.14391854513212,1.39248248528276,1.34841368660375,1.42732720709809,1.35552975401324,0.930565923566559,0.907099067510938
5250,NaN,NaN,1.69447656070962,1.78647108075648,1.79996035385404,NaN,NaN,1.06010697968412,1.32609827567508,1.66703092573812,1.70458844359536,1.70688286622771,1.74480994057386,1.08465647258896,1.16778898358825,1.39285783299298,1.33962167355141,1.42342163419153,1.344264555071,0.914000290065159,0.890455420575154
5500,NaN,NaN,1.70219129649414,1.79038345841682,1.80287335815216,NaN,NaN,1.18769440648159,1.3845130116243,1.6713147431008,1.7132613073454,1.70688006956708,1.75056579831257,1.12093087959348,1.18484428039434,1.39175721079176,1.3301002541287,1.41864515645266,1.33270086964262,0.897488828992231,0.87397046753043
5750,NaN,NaN,1.70949630094676,1.79404838695235,1.80566688051357,NaN,NaN,1.27365661182886,1.43172310783311,1.67446203395574,1.72064030442056,1.70625039192703,1.75539651988131,1.14971328877284,1.19677209009937,1.38938646609197,1.31999460247233,1.41312400362295,1.32091229630552,0.881091101655634,0.857691164041752
6000,NaN,NaN,1.71643069361834,1.79749806953849,1.80835465493992,NaN,NaN,1.33545394401998,1.47065811850668,1.67662763505924,1.72688436128285,1.70507577767638,1.75939750391089,1.1725706548071,1.20475827663172,1.38591755483807,1.30942253937391,1.40696339528115,1.30895807364688,0.864852060377631,0.841651705679003
6250,NaN,NaN,1.72302830867478,1.80075887977867,1.81094804625884,NaN,NaN,1.3819138994395,1.50325869679566,1.67794005345933,1.73212814647742,1.70342553701842,1.76265132993579,1.19067459175137,1.20965565810475,1.38149527237849,1.29848032149985,1.40025169570402,1.29688612311999,0.848805421194034,0.825876562143166
6500,NaN,NaN,1.72931859256023,1.80385259180635,1.81345652448283,NaN,NaN,1.41798771953356,1.53087367623625,1.67850692427205,1.73648655407801,1.70135866983813,1.76522989147819,1.2049135049038,1.21209136859691,1.376242421551,1.28724704720382,1.39306362398511,1.2847353763071,0.832976205989357,0.810382755488967
6750,NaN,NaN,1.73532732079765,1.80679731522064,1.81588803094383,NaN,NaN,1.44666650089468,1.55447650483836,1.67841914070207,1.7400582162554,1.69892569240673,1.76719610910454,1.21597061731622,1.21253633824036,1.37026383065869,1.27578804742694,1.38546275986336,1.27253757209503,0.817382676284029,0.795181585586411
7000,NaN,NaN,1.74107717564206,1.80960821384296,1.81824926384176,NaN,NaN,1.46986391749955,1.5747913568233,1.67775402404053,1.7429282850562,1.69617008781959,1.76860531821744,1.22437862217198,1.21135110654964,1.36364951268752,1.26415752227739,1.37750351850807,1.26031865681154,0.802037816383076,0.780279946946605
7250,NaN,NaN,1.74658821555235,1.81229806410553,1.82054590307825,NaN,NaN,1.48886259588592,1.59237060741562,1.67657778808928,1.7451706569901,1.6931294682441,1.76950640241414,1.23055833601167,1.20881661731895,1.35647717485475,1.25240061029279,1.36923272064572,1.24809988393424,0.78695047928043,0.765681340445605
7500,NaN,NaN,1.75187825973873,1.81487769306573,1.82278278884952,NaN,NaN,1.50455624304762,1.60764452385363,1.67494747731041,1.74684976784386,1.68983651404669,1.76994272596028,1.234846344902,1.20515531851229,1.34881423078332,1.24055502638338,1.36069085129676,1.23589868433023,0.772126277823296,0.751386655198415
7750,NaN,NaN,1.75696320544291,1.81735632507885,1.82496406466817,NaN,NaN,1.51758850543744,1.620954299536,1.67291250714779,1.74802205251097,1.68631973847147,1.76995290628827,1.23751501415299,1.20054589201848,1.34071942773478,1.22865236857601,1.3519130766912,1.22372935969434,0.75756828182104,0.737394775866368
8000,NaN,NaN,1.76185729149164,1.81974185845902,1.82709329276684,NaN,NaN,1.52843634201271,1.63257469124843,1.67051589993122,1.74873714121427,1.68260411469308,1.76957145807826,1.23878714625055,1.19513372323003,1.33224417293437,1.21671916809833,1.34293007177554,1.21160363866207,0.74327756618022,0.723703056408784
8250,NaN,NaN,1.7665733186048,1.82204108797343,1.82917354787313,NaN,NaN,1.53746206472821,1.64272994091047,1.66779528523259,1.74903884646605,1.67871159339019,1.76882933348631,1.23884684696452,1.18903847162241,1.32343362250953,1.2047777388756,1.33376869816838,1.19953112545557,0.729253643864013,0.710307690974485
8500,NaN,NaN,1.77112283464148,1.82425988506311,1.83120749391019,NaN,NaN,1.54494692995377,1.6516052301073,1.66478371609268,1.74896598256204,1.67466153256025,1.76775437780169,1.23784767455573,1.18235963505152,1.31432758156043,1.19284686902701,1.32445256314138,1.18751966383815,0.71549480922951,0.697204005096473
8750,NaN,NaN,1.77551629122617,1.82640334480308,1.83319744711645,NaN,NaN,1.55111346932592,1.65935508583057,1.66151033995453,1.74855305005455,1.6704710564844,1.7663717157874,1.23591882029649,1.17518070284206,1.30496125278052,1.18094238699529,1.31500248327586,1.1755756338881,0.701998411213632,0.684386684800783
9000,NaN,NaN,1.77976317686441,1.82847590649402,1.83514542828754,NaN,NaN,1.55614072841658,1.6661096580655,1.65800095395012,1.74783081060796,1.66615535711345,1.76470408086072,1.23316984661583,1.16757230066764,1.29536586274217,1.16907762752485,1.30543687123103,1.16370419515507,0.68876107131085,0.671849957111856
9250,NaN,NaN,1.78387213062973,1.83048145319974,1.83705320624788,NaN,NaN,1.56017491267142,1.67197948189014,1.6542784673962,1.74682677228434,1.6617279483698,1.76277209686869,1.22969435704276,1.15959460436548,1.2855691886913,1.15726381712219,1.2957720601002,1.15190948677746,0.675778857887745,0.65958773234187
9500,NaN,NaN,1.78785103970457,1.83242339436139,1.838922334207,NaN,NaN,1.56333698428641,1.67705914095343,1.65036328928162,1.74556560119826,1.65720088172301,1.76059452033699,1.22557286677815,1.15129921611432,1.27559600391337,1.14551039439807,1.28602257680146,1.14019479286575,0.66304742580941,0.647593716214031
9750,NaN,NaN,1.79170712343186,1.83430473472262,1.84075418031,NaN,NaN,1.5657281888587,1.68143012166041,1.64627365469897,1.74406947230083,1.6525849297399,1.75818844959391,1.22087506904578,1.14273063990586,1.26546845605604,1.13382527745126,1.27620137361311,1.12856267971151,0.650562128394932,0.635861498092172
10000,NaN,NaN,1.79544700604047,1.83612813211597,1.84254995342412,NaN,NaN,1.56743414739691,1.68516306249504,1.64202590125584,1.74235836957403,1.64788974301407,1.75556950600132,1.21566164031757,1.13392745457001,1.25520638994344,1.12221508795755,1.26632002514975,1.1170151100341,0.6383181072178,0.624384620228296
