PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,NaN,1.44291451772304,NaN,NaN,NaN,NaN,NaN,0.282582516219352,1.12060043782786,1.14638317745884,NaN,NaN,0.261186251256706,0.713493253689534,0.952959304064311,1.23768072220476,0.850095270808908,0.880259917589771
1750,NaN,NaN,NaN,1.24918679857222,1.48569083100173,NaN,NaN,NaN,NaN,NaN,0.688078099326872,1.275282657474,1.24385498097078,NaN,NaN,0.570390434977816,0.931009757114298,1.06371557523077,1.30454080116681,0.934384396535136,0.952167955130081
2000,NaN,NaN,NaN,1.33265415947576,1.51734294527305,NaN,NaN,NaN,NaN,NaN,0.92164636987209,1.37730102346,1.3181171330806,NaN,NaN,0.767378412515605,1.06751957480819,1.14666737428559,1.35021393622431,0.987086551864385,0.996180003422599
2250,NaN,NaN,NaN,1.39294061778227,1.54183722025494,NaN,NaN,NaN,NaN,NaN,1.07343863536516,1.4482572626455,1.37811521098931,NaN,NaN,0.905442667490324,1.16012439658856,1.21031259234493,1.38156999023548,1.0200892274814,1.02253056187076
2500,NaN,NaN,NaN,1.43845000402867,1.56146037255822,NaN,NaN,NaN,NaN,NaN,1.18250693922398,1.50021745978656,1.42815181021274,NaN,NaN,1.0080315096579,1.22558650086203,1.26000816794667,1.40287134709236,1.03993115567897,1.03708768050078
2750,NaN,NaN,NaN,1.47401440400667,1.57762206754161,NaN,NaN,NaN,NaN,NaN,1.26628342754545,1.53986796539953,1.47068418912966,NaN,NaN,1.08715653324276,1.27287269087979,1.29929966744834,1.41689623994952,1.05062160309407,1.04349150973092
3000,NaN,NaN,NaN,1.50259371181371,1.59123797161998,NaN,NaN,NaN,NaN,NaN,1.3334497974292,1.57105514168138,1.50730234009565,NaN,NaN,1.14970818127553,1.30732645265363,1.3306270601316,1.42552758604722,1.05477131109997,1.04411779343207
3250,NaN,NaN,NaN,1.52609472881146,1.60292838038087,NaN,NaN,NaN,NaN,NaN,1.38883828168298,1.59611451970937,1.53912172441627,NaN,NaN,1.19998584609463,1.33237462909593,1.35572417046671,1.43008260398808,1.05415171493586,1.04057639184078
3500,NaN,NaN,NaN,1.54579734237067,1.61312823226349,NaN,NaN,NaN,NaN,NaN,1.43540589752561,1.6165468125065,1.56696665229806,NaN,NaN,1.24084745577685,1.35033390523975,1.37585667199159,1.43150729839063,1.05000279000507,1.03399077789244
3750,NaN,NaN,NaN,1.56259044197371,1.62215140366236,NaN,NaN,NaN,NaN,NaN,1.47510366393879,1.63336797918068,1.5914680509892,NaN,NaN,1.27428727854023,1.36283382771878,1.39196999844618,1.43049627843736,1.04321430171026,1.02516384123505
4000,NaN,NaN,NaN,1.57710937520902,1.63023000048202,NaN,NaN,NaN,NaN,NaN,1.50929570744245,1.64729748039572,1.61312123718071,NaN,NaN,1.30175088220867,1.37105666690837,1.40478458486875,1.42756929346699,1.03443781977642,1.01468065912886
4250,NaN,NaN,NaN,1.5898195593477,1.63753929275651,NaN,NaN,NaN,NaN,NaN,1.5389790238813,1.65886424818835,1.63232271383399,NaN,0.438052369122324,1.32431847727179,1.37588182232858,1.4148590774139,1.42312164669389,1.0241586222665,1.00297452201316
4500,NaN,NaN,NaN,1.60106924200027,1.64421405777142,NaN,NaN,NaN,NaN,NaN,1.56490755846495,1.66846923158796,1.64939490701992,0.294446446368516,0.633454200659043,1.34281753478984,1.37797697346577,1.4226333977015,1.41745829311467,1.01274331211553,0.990370648091307
4750,NaN,NaN,NaN,1.61112386548663,1.65035959592535,NaN,NaN,NaN,NaN,NaN,1.58766685065672,1.6764240372649,1.66460346782398,0.466877828829336,0.782854838295512,1.35789510178804,1.37785786172952,1.42845876311609,1.41081743969583,1.00047218952941,0.977115879847101
5000,NaN,NaN,NaN,1.62018907573669,1.65605933977729,NaN,NaN,NaN,-0.134678604101577,NaN,1.60772140521093,1.68297582776348,1.6781697445041,0.610950255416662,0.893464834552452,1.37006599150181,1.37592875942506,1.4326190432854,1.40338721408557,0.987561763123731,0.963399310861266
5250,NaN,NaN,NaN,1.62842650664296,1.66138022458567,NaN,NaN,NaN,0.613052892207545,NaN,1.62544612589511,1.68832398038459,1.69027999009378,0.727725019614088,0.975334266635737,1.37974591829106,1.37251060398579,1.43534623096586,1.39531765098518,0.974180714309469,0.949366893088424
5500,NaN,NaN,NaN,1.63596484379074,1.66637655231725,NaN,NaN,NaN,0.867344020604519,NaN,1.641147961859,1.69263160778966,1.70109229401267,0.821980168214608,1.03638921914551,1.3872748975696,1.36786100691425,1.43683183350383,1.38672945078156,0.960461415964425,0.935131958687472
5750,NaN,NaN,NaN,1.64290772967945,1.67109281986563,NaN,NaN,NaN,1.02262590950138,NaN,1.65508128172618,1.69603375687794,1.71074188692189,0.8983180130984,1.08232189714864,1.39293415567152,1.36218876692009,1.4372353852257,1.37772047247791,0.946508371370082,0.920782913774504
6000,NaN,NaN,NaN,1.64933951033153,1.67556582135833,NaN,NaN,NaN,1.1322703451256,NaN,1.66745907904022,1.69864338976787,1.7193452586879,0.960508814907563,1.11712768640973,1.39695859678362,1.35566457970113,1.43669089443054,1.36837061007404,0.932404481565611,0.906388939825169
6250,NaN,NaN,NaN,1.65532947822226,1.67982623286079,NaN,NaN,0.411876189194718,1.21551725288747,NaN,1.67846131972476,1.70055584081472,1.72700339513044,1.0114960127022,1.14361089114566,1.39954615709571,1.34842906233,1.4353117864986,1.35874549840991,0.918215757026488,0.89200426929914
6500,NaN,NaN,NaN,1.66093504951275,1.6838998221843,NaN,NaN,0.784573626000876,1.28158107407691,NaN,1.6882412773386,1.70185219967011,1.7338043505348,1.05354310704288,1.1637585461684,1.40086493316413,1.34059884770649,1.43319473697091,1.34889935997501,0.903994898897899,0.877671426470258
6750,NaN,NaN,1.5321232426209,1.66620417404904,1.68780838325985,NaN,NaN,0.983432668819288,1.3356008306733,NaN,1.69693041885926,1.70260192051254,1.73982531276754,1.08838753331489,1.17899816114767,1.40105868969607,1.33227126993891,1.43042267499815,1.33887721351067,0.889784048132418,0.863423707629605
7000,NaN,NaN,1.54135551608482,1.67117718503065,1.69157046549543,NaN,NaN,1.11123706841985,1.38073532488518,NaN,1.70464222551209,1.70286486272376,1.74513427616625,1.1173687144728,1.19037153221419,1.4002511682116,1.32352800626203,1.42706715953043,1.32871660310126,0.875616914937213,0.849287095721975
7250,NaN,NaN,1.55019317275916,1.67588823404627,1.69520194869313,NaN,NaN,1.20075214279619,1.41906315900218,NaN,1.71147521757049,1.70269290660365,1.74979140796331,1.14152688948782,1.19865153586592,1.39854949549096,1.31443793628119,1.42319027615882,1.31844896323812,0.861520441772165,0.835281750035292
7500,NaN,NaN,1.55866694478052,1.68036641556135,1.69871650033551,NaN,NaN,1.26693722190224,1.4520233204772,NaN,1.71751537508561,1.7021312466027,1.75385017290567,1.16167715180096,1.20442101113766,1.39604690731278,1.30505940728701,1.41884616398479,1.30810070487011,0.847516111806812,0.821423173541608
7750,NaN,NaN,1.5668041885949,1.68463665620637,1.70212594235881,NaN,NaN,1.31777574472565,1.48065201541176,NaN,1.72283809404939,1.70121943652846,1.75735826537836,1.17846430971721,1.20812654363969,1.39282494518539,1.29544204405844,1.41408225428027,1.29769408569624,0.833620985474696,0.807723133575453
8000,NaN,NaN,1.57462935288289,1.68872042408515,1.70544054761841,NaN,NaN,1.3579502246102,1.50571931069833,NaN,1.72750978100092,1.69999224169194,1.7603583870194,1.19240345768816,1.21011556996687,1.38895524304276,1.28562820589479,1.40894028268094,1.28724791223429,0.819848526778223,0.794190392248584
8250,NaN,NaN,1.58216436912967,1.6926362990321,1.70866928125903,NaN,NaN,1.3903942722152,1.52781247794252,NaN,1.73158916322527,1.69848033915546,1.76288889937069,1.20391006548231,1.21066230668245,1.38450099174196,1.27565416798407,1.40345712197942,1.27677810971657,0.806209265777896,0.78083128902078
8500,NaN,NaN,1.5894289795607,1.69640043447782,1.71181999855613,NaN,NaN,1.4170400265011,1.547389166862,NaN,1.73512837306469,1.69671089730372,1.76498437474314,1.21332241581331,1.20998611332793,1.37951814806963,1.26555108556931,1.39766547171765,1.26629818739051,0.792711332544865,0.767650207606986
8750,NaN,NaN,1.59644101401707,1.70002693411605,1.71489960810249,NaN,NaN,1.43921193524835,1.56481261572401,NaN,1.73817385124271,1.69470805869614,1.76667606362808,1.22091845264543,1.20826467330929,1.37405643944773,1.25534578565703,1.39159443265169,1.25581962049048,0.779360889599102,0.75464995182814
9000,NaN,NaN,1.60321662493934,1.70352816107946,1.71791420720663,NaN,NaN,1.45784847407091,1.58037570920524,NaN,1.74076710401186,1.69249334477855,1.7679922932624,1.2269285306828,1.20564358192219,1.36816020399861,1.24506142081322,1.38526998803191,1.2453521654041,0.766162483688186,0.74183204936139
9250,NaN,NaN,1.60977048777638,1.70691499325984,1.72086919485917,NaN,NaN,1.4736336319588,1.59431786243325,NaN,1.74294534136934,1.6900859969983,1.76895880906997,1.23154514183582,1.20224341236247,1.36186909697124,1.23471801193577,1.37871540897715,1.23490412096223,0.753119333115613,0.729196998092349
9500,NaN,NaN,1.61611597269614,1.71019703535832,1.72376936647574,NaN,NaN,1.48707823584029,1.60683714832965,NaN,1.74474201784935,1.68750326580901,1.76959906844784,1.23493039695606,1.19816498942229,1.35521868796185,1.22433290109209,1.3719515976439,1.22448254603699,0.740233563299619,0.716744466546232
9750,NaN,NaN,1.62226529234974,1.71338279594571,1.7266189937476,NaN,NaN,1.49857204808834,1.61809918682032,NaN,1.74618729300833,1.68476065670884,1.76993449459335,1.23722182846233,1.19349337386266,1.34824096833488,1.21392113107889,1.36499737912677,1.21409344152047,0.727506400544699,0.704473457410319
10000,NaN,NaN,1.62822962955285,1.71647983605624,1.72942189225345,NaN,NaN,1.5084181566977,1.62824377822089,NaN,1.74730842532439,1.68187214064542,1.76998469666322,1.23853692733393,1.18830090820202,1.34096478436705,1.2034957649488,1.35786975087491,1.20374190312102,0.714938331928961,0.692382441264502
