PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,-8.89983844639876e-06,-8.47853641247085e-06,NaN,NaN,0.0540150170696491,0.0549390881946536,0.0444050436750216,0.0422698655888891,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,NaN,-5.16118156910993e-06,-3.655401339589e-06,NaN,NaN,0.0642626591578801,0.0647718874603914,0.0545069954090564,0.0511474357883922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,-2.93106662211638e-06,1.86924137527843e-09,NaN,NaN,0.0739895917337946,0.0743324605555911,0.0642402215874741,0.0598411817911451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250,NaN,-1.42691634752329e-06,2.9621877277292e-06,NaN,NaN,0.0833297027944256,0.0836106758217171,0.0736732126858487,0.0683749706909238,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500,-3.49643328831497e-05,-3.27962887055602e-07,5.46874033372574e-06,NaN,NaN,0.0923737942568207,0.0926324112375147,0.0828467305972952,0.0767657720411755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750,-2.13285168578184e-05,5.18564198794269e-07,7.65848144823766e-06,NaN,NaN,0.101181278295749,0.101425306258784,0.0917860915708821,0.0850259811227559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,-1.27855926140279e-05,1.19374009115615e-06,9.61312732273867e-06,NaN,NaN,0.109790379851868,0.110012129537046,0.100507624123838,0.0931649004682597,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3250,-7.53891372372649e-06,1.74429302597796e-06,1.13834279464663e-05,NaN,NaN,0.1182252544772,0.118410374253609,0.109022292831383,0.101189691279473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500,-4.37539718979248e-06,2.19898129611907e-06,1.30017427676929e-05,NaN,NaN,0.126500768062974,0.126633190868243,0.117337824235608,0.109105997984696,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3750,-2.50068317260338e-06,2.57648333441575e-06,1.44890157657705e-05,NaN,NaN,0.134625698161013,0.134690436198524,0.125459992230251,0.11691836840193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000,-1.40793336601125e-06,2.88949405190591e-06,1.5858867333597e-05,NaN,NaN,0.142604888835976,0.14258955360759,0.13339341028733,0.124630543098561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4250,-7.81068927717416e-07,3.14698526303028e-06,1.71201103381522e-05,NaN,NaN,0.150440707858823,0.150336250511758,0.141142024483468,0.132245658956748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4500,-4.27015620752394e-07,3.35551800573885e-06,1.8278360167932e-05,NaN,NaN,0.158134033561979,0.157935002386019,0.148709420428792,0.13976639512301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4750,-2.3007932802615e-07,3.52003792031665e-06,1.93371005670105e-05,NaN,NaN,0.16568492107795,0.165389421859284,0.156099012370991,0.14719507941456,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,-1.2217928313739e-07,3.64437546914787e-06,2.02984096981356e-05,NaN,NaN,0.173093048057475,0.17270252669066,0.163314156838302,0.154533767045062,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5250,-6.39423916180102e-08,3.73157080095326e-06,2.11634665471443e-05,NaN,NaN,0.180358007789071,0.179876933092352,0.170358217688731,0.161784299626203,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5500,-3.29775464243104e-08,3.7840907679957e-06,2.1932910679444e-05,NaN,NaN,0.187479496419365,0.186914994272512,0.177234599895894,0.168948349888441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5750,-1.67585658636944e-08,3.80397756536008e-06,2.26071010870772e-05,NaN,NaN,0.19445742673155,0.193818898871596,0.183946763391494,0.176027455913043,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6000,-8.39037227780433e-09,3.79295282989054e-06,2.31863035695857e-05,NaN,NaN,0.201291991229433,0.200590740062527,0.190498224421422,0.183023047561197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6250,-4.1378593031271e-09,3.75249201712461e-06,2.36708260845775e-05,NaN,NaN,0.207983690562864,0.207232563213034,0.196892549349332,0.189936467031253,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6500,-2.00970877203547e-09,3.68387850885866e-06,2.40611152104305e-05,NaN,NaN,0.214533338636858,0.213746397910467,0.203133344172172,0.196768984951614,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6750,-9.61071613755714e-10,3.58824362311011e-06,2.43578228247396e-05,NaN,NaN,0.220942052433621,0.220134278618061,0.209224241896723,0.203521813048134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7000,-4.52414040565218e-10,3.46659664195166e-06,2.45618494662923e-05,NaN,NaN,0.227211232220524,0.226398257111602,0.21516888917552,0.210196114161504,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
