PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,-0.000179343679939121,-3.66983225182954e-05,1.16466539744278e-05,NaN,NaN,-0.000774141007492676,0.00293303164001148,0.000195185154298596,0.00418834312753565,NaN,NaN,0.0550020273880299,0.0566810566504928,0.0487869279863219,0.0521806709843116,NaN,NaN,NaN,NaN
1750,NaN,NaN,-0.000178021256777804,-4.96826444286264e-05,1.4012915169531e-06,NaN,NaN,0.000472566211546044,0.00323239255357182,0.00114318659579726,0.00514576358301103,NaN,NaN,0.0663355983508658,0.0691685259973252,0.0591332919098379,0.0618494336339691,NaN,NaN,NaN,NaN
2000,NaN,NaN,-0.000183405192563428,-5.89565438138684e-05,-7.09707476365454e-06,NaN,NaN,0.00236109721615437,0.00441915774160035,0.00230443367334763,0.00634823331713659,NaN,NaN,0.0767034614912868,0.0803464640370138,0.0690944709104049,0.0713095194280422,NaN,NaN,NaN,NaN
2250,NaN,NaN,-0.000190218893616306,-6.58261231167865e-05,-1.42965504922856e-05,NaN,NaN,0.0044222557415945,0.00594994332988782,0.00365329640337755,0.00772711681353895,NaN,NaN,0.0864316255524593,0.0905799054683989,0.0787517662509842,0.0805979257083628,NaN,NaN,NaN,NaN
2500,NaN,NaN,-0.000196967049167435,-7.10405296775946e-05,-2.04629701377825e-05,NaN,NaN,0.00652074234887581,0.0076495372581612,0.0051734215845542,0.00924304599298029,NaN,NaN,0.0957065518418962,0.100133938492653,0.0881639432801468,0.0897429001767524,NaN,NaN,NaN,NaN
2750,NaN,NaN,-0.000203138583334893,-7.50630473592922e-05,-2.57721798900928e-05,NaN,NaN,0.00861763954693963,0.00944945382776585,0.00685277133452969,0.0108714598234627,NaN,NaN,0.104647027254002,0.109200544749221,0.0973744384951956,0.0987660709009843,NaN,NaN,NaN,NaN
3000,NaN,NaN,-0.00020854086779157,-7.82000030455981e-05,-3.03537640416582e-05,NaN,NaN,0.0107070901759749,0.0113197752937678,0.00868141167437503,0.012596048769297,NaN,NaN,0.11333395683767,0.117920368720638,0.106416116442747,0.107684217515576,NaN,NaN,NaN,NaN
3250,NaN,NaN,-0.000213100462834237,-8.06670318075823e-05,-3.43131352160412e-05,NaN,-0.00958411143857703,0.0127954210350634,0.0132466253839793,0.010650451829844,0.0144054440836222,NaN,NaN,0.121824930618899,0.126397220186587,0.115314383464951,0.116510561560521,NaN,NaN,NaN,NaN
3500,NaN,NaN,-0.000216793635438373,-8.26252741451841e-05,-3.77432179052735e-05,-0.00367506460628167,0.00550570361589626,0.0148932515171473,0.015223451530599,0.0127515175651476,0.0162914030443095,NaN,NaN,0.130162219471926,0.13470778614739,0.124089259549741,0.125255681068851,NaN,NaN,NaN,NaN
3750,NaN,-5.20954162065097e-05,-0.000219619381165389,-8.42021245114086e-05,-4.07308170236668e-05,0.00819385206428896,0.0149046601683396,0.0170122310507259,0.017247252185739,0.0149764911341739,0.0182477482283346,NaN,NaN,0.138377541144277,0.142908363466154,0.132756788231225,0.133928159852316,NaN,NaN,NaN,NaN
4000,NaN,-0.00016123297723362,-0.000221588112879951,-8.55035911004263e-05,-4.33601388673059e-05,0.015836017088923,0.0215355175457933,0.0191636176706086,0.0193168046373641,0.0173173909152146,0.0202697147304786,NaN,NaN,0.146495079295354,0.1510396998746,0.14133001836992,0.142535053707745,NaN,NaN,NaN,NaN
4250,NaN,-0.000221100750102677,-0.000222716657681848,-8.66218870807332e-05,-4.57147265473622e-05,0.0214473577606437,0.0266401808959366,0.0213576519833344,0.0214317801626955,0.0197663260896198,0.0223535311381888,NaN,NaN,0.154533487114942,0.159130586372708,0.149819702868902,0.151082230084937,NaN,NaN,NaN,NaN
4500,NaN,-0.000257150949596309,-0.000223025968896299,-8.76402048194628e-05,-4.78784848744298e-05,0.0259963746985436,0.0308253784817443,0.023603297871619,0.0235922819538382,0.0223154916245416,0.0244961409762907,NaN,NaN,0.162507266961462,0.167200590008991,0.158234805997254,0.159574619367507,NaN,NaN,NaN,NaN
4750,NaN,-0.0002801421086602,-0.000222540065290117,-8.8635770625357e-05,-4.99361693530789e-05,0.029931793177327,0.0344208049407768,0.0259081614751263,0.0257985962037884,0.0249571841392386,0.0266950120083969,NaN,NaN,0.170427749212115,0.175262170876929,0.166582878515531,0.168016403555155,NaN,NaN,NaN,NaN
5000,NaN,-0.00029530440423696,-0.000221285543113478,-8.96818200595346e-05,-5.19735538451205e-05,0.0334840839557976,0.0376211835400286,0.0282785005882995,0.02805105563619,0.0276838275188051,0.0289480023931077,NaN,NaN,0.178303804225068,0.183322342533071,0.174870339664421,0.176411159952555,NaN,NaN,NaN,NaN
5250,NaN,-0.000305451148207558,-0.000219291358744804,-9.08488789965424e-05,-5.40774030625346e-05,0.0367839560963601,0.0405494701817513,0.0307192812960309,0.0303499645267299,0.0304880018214574,0.0312532647287652,NaN,NaN,0.18614237115506,0.19138398427047,0.183102692332044,0.184761972042378,NaN,NaN,NaN,NaN
5500,NaN,-0.000312216174994166,-0.000216588736676675,-9.22055887037967e-05,-5.63353257615338e-05,0.0399122250246541,0.0432876506218669,0.0332342595025185,0.0326955583160606,0.0333624717662126,0.0336091760001254,NaN,NaN,0.193948857841266,0.199446882177134,0.191284689475683,0.193071516085908,NaN,NaN,NaN,NaN
5750,NaN,-0.000316607128032518,-0.000213211130654122,-9.38192259524594e-05,-5.8835555160952e-05,0.0429226206294216,0.045892892981351,0.03582607515449,0.035087983098147,0.0363002127344242,0.0360142856328064,NaN,NaN,0.201727447918931,0.207508555608759,0.199420464439,0.201342129531144,NaN,NaN,NaN,NaN
