PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,-0.000194577902709051,-6.5665088390665e-05,-1.63252185425087e-05,NaN,NaN,-0.000400096427007656,0.00367277493393542,-0.000730794932582584,0.00302400977262849,NaN,NaN,0.0507372278495026,0.0515678031481496,0.0450459215464194,0.0482483163755813,NaN,NaN,NaN,NaN
1750,NaN,NaN,-0.00019806480801394,-8.34735366290698e-05,-3.05787316830433e-05,NaN,NaN,-0.000422064249522605,0.00295297274756754,-1.05553789612849e-05,0.00376005147750776,NaN,NaN,0.0619203742154328,0.0640540925993565,0.0549965257657092,0.0576053360444495,NaN,NaN,NaN,NaN
2000,NaN,NaN,-0.000208247558392279,-9.67694197229545e-05,-4.27080247156168e-05,NaN,NaN,0.000901699630045326,0.00364833316483164,0.000919629696137977,0.00475497833234045,NaN,NaN,0.0719852212089221,0.0751600983466395,0.0645716575326111,0.0667646120746608,NaN,NaN,NaN,NaN
2250,NaN,NaN,-0.000219165550846286,-0.000107104098852265,-5.32311122771646e-05,NaN,NaN,0.00263394929739612,0.00485474465703386,0.00203202710310706,0.00593155844146352,NaN,NaN,0.081348074313865,0.0852594142520193,0.0738487359674073,0.0757592924562074,NaN,NaN,NaN,NaN
2500,NaN,NaN,-0.000229435621774821,-0.00011536518351023,-6.24536489445851e-05,NaN,NaN,0.0044999337717558,0.00629666213926962,0.00331021011585151,0.00724627655503158,NaN,NaN,0.09022912794299,0.094624794705019,0.082884614162126,0.084615639700021,NaN,NaN,NaN,NaN
2750,NaN,NaN,-0.000238686404788292,-0.00012209988671725,-7.05758344184432e-05,NaN,NaN,0.00640658576264563,0.00786886486186351,0.00474295006362377,0.00867240200899826,NaN,NaN,0.0987623134131615,0.103454989200775,0.0917216840765479,0.0933541591681961,NaN,NaN,NaN,NaN
3000,NaN,NaN,-0.000246824137579223,-0.000127668423019567,-7.7743186077165e-05,NaN,NaN,0.00832312087738392,0.00952543560315258,0.00632151448014465,0.010192438718427,NaN,NaN,0.107036371959824,0.111897294081223,0.100392194159551,0.10199094978916,NaN,NaN,NaN,NaN
3250,NaN,NaN,-0.000253840241630188,-0.000132322776722638,-8.40722931712408e-05,NaN,NaN,0.0102430335672336,0.011244674589664,0.00803836905032825,0.0117943632148547,NaN,NaN,0.115113424867894,0.120062251503282,0.108921165185294,0.110538797236735,NaN,NaN,NaN,NaN
3500,NaN,NaN,-0.000259753167036467,-0.000136249727670312,-8.96645231955097e-05,NaN,NaN,0.0121698761882394,0.0130158962648304,0.00988652541085835,0.013469585333964,NaN,NaN,0.123038604846654,0.128033286078741,0.117328364223265,0.119007987860959,NaN,NaN,NaN,NaN
3750,NaN,NaN,-0.000264589464891304,-0.000139595538341763,-9.46135621336192e-05,-0.0159496051729867,-0.000936343122698247,0.0141113049851874,0.0148338095671685,0.0118592108604204,0.0152117672579573,NaN,NaN,0.130845568029532,0.135873279239641,0.125629662439334,0.127406902991842,NaN,NaN,NaN,NaN
4000,NaN,NaN,-0.000268377610917437,-0.000142480689850516,-9.90096409026992e-05,0.000285828385502302,0.0103467859381288,0.0160763794674383,0.0166958984744904,0.0139497077948455,0.0170161023832847,NaN,NaN,0.13855988465171,0.143629250837929,0.133837987446241,0.135742453414655,NaN,NaN,NaN,NaN
4250,NaN,-0.000140837316643604,-0.000271146239341506,-0.000145008961713828,-0.000102941908940593,0.0103810346112412,0.0181118573658958,0.0180742681030206,0.0186011139955216,0.0161512858151301,0.0188788554408823,NaN,NaN,0.146201241797714,0.151335822432549,0.141964004558787,0.144020399870121,NaN,NaN,NaN,NaN
4500,NaN,-0.000236736979318874,-0.000272923926219071,-0.000147273168584522,-0.000106499737804607,0.0172899289917672,0.0239362193827477,0.0201136090610239,0.0205491856354519,0.0184571851175931,0.020797058453486,NaN,NaN,0.15378493654856,0.159017859950712,0.150016613321208,0.152245592302651,NaN,NaN,NaN,NaN
4750,NaN,-0.00029341784932199,-0.000273739486523366,-0.00014935885428493,-0.000109773390445662,0.0225548931033195,0.0285928937852291,0.0222021957590281,0.022540244112214,0.0208606278936117,0.0227683035345696,NaN,NaN,0.161322923138232,0.166692538179496,0.158003315718685,0.160422150736876,NaN,NaN,NaN,NaN
5000,NaN,-0.000329322644251553,-0.00027362240132736,-0.000151346701432035,-0.000112854306452733,0.0269011102132682,0.0325010315879262,0.0243468324983214,0.0245746084702971,0.0233548442143638,0.0247905980042236,NaN,NaN,0.16882456807296,0.174370980784712,0.165930493602046,0.168553603757233,NaN,NaN,NaN,NaN
5250,NaN,-0.000353093389693667,-0.000272603235528625,-0.000153314113133214,-0.000115835151012203,0.0306924719613909,0.0359068115366229,0.0265532835832121,0.0266526636454677,0.0259331043793424,0.0268622608295817,NaN,NaN,0.176297207461941,0.18205957753793,0.173803620761868,0.176642995817526,NaN,NaN,NaN,NaN
5500,NaN,-0.000369247373566732,-0.000270714000087308,-0.000155336249299897,-0.000118809716840124,0.0341278864229171,0.038964467256157,0.0288262759989332,0.0287747894897145,0.0285887529405838,0.0289818471952536,NaN,NaN,0.183746566547181,0.189761049076515,0.181627427204701,0.184692971350493,NaN,NaN,NaN,NaN
5750,NaN,-0.000380348048311642,-0.000267988448271477,-0.000157486696818141,-0.000121872734108348,0.0373252102640214,0.0417759021134395,0.0311695337531265,0.0309413198841073,0.0313152415753613,0.0311480926664077,NaN,NaN,0.191177080882296,0.197475309995612,0.189406027951327,0.192705841400805,NaN,NaN,NaN,NaN
6000,NaN,-0.00038794632082667,-0.000264462308053835,-0.000159837889798138,-0.000125119622892813,0.0403594157914978,0.0444114892313316,0.0335858312268432,0.0331525198324159,0.0341061591978321,0.0333598712773691,NaN,NaN,0.198592145836911,0.205200168448023,0.197143025142307,0.20068363694079,NaN,NaN,NaN,NaN
6250,NaN,-0.00039302992901416,-0.000260173456423518,-0.000162461356765475,-0.00012864621017422,0.0432811841606695,0.0469216576816689,0.0360770578163246,0.0354085734815547,0.0369552584681043,0.0356161636973372,NaN,NaN,0.205994312905732,0.212931891917074,0.204841589808502,0.208628151927301,NaN,NaN,NaN,NaN
6500,NaN,-0.000396254985857402,-0.000255162041557734,-0.00016542784655102,-0.000132548425679942,0.0461265577452048,0.0493436760364295,0.0386442889019353,0.0377095788591728,0.0398564783445534,0.0379160328061867,NaN,NaN,0.213385445895441,0.220665662827397,0.21250452797073,0.216540978374497,NaN,NaN,NaN,NaN
6750,NaN,-0.000398072918001649,-0.000249470557815943,-0.000168807368317909,-0.000136921986002201,0.0489222413597069,0.0517057973222051,0.0412878597977058,0.0400555467640993,0.0428039626330939,0.0402586047978715,NaN,NaN,0.220766846412071,0.228395943238497,0.220134334533935,0.224423535152902,NaN,NaN,NaN,NaN
7000,NaN,-0.000398803730589509,-0.000243143877286085,-0.000172669170377493,-0.000141862073357025,0.0516886625673223,0.0540298877459976,0.0440074403394329,0.0424464022202571,0.0457920746779507,0.0426430544605339,NaN,NaN,0.228139355554263,0.236116764478267,0.227733237581014,0.232277091814218,NaN,NaN,NaN,NaN
7250,NaN,-0.000398680167915932,-0.000236229240473124,-0.000177081675207924,-0.00014746301339634,0.0544418194273137,0.0563331497469104,0.0468021084322749,0.0448819874945181,0.0488154084519909,0.0450685936491865,NaN,NaN,0.23550343694931,0.243821954890389,0.235303235046201,0.240102788438777,NaN,NaN,NaN,NaN
