PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,-3.0478928884547e-10,-9.73916672139733e-07,NaN,NaN,NaN,0.114456457888389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,-1.75485634199707e-10,5.75866629074825e-07,NaN,NaN,NaN,0.129910427389234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,-9.81328134553146e-11,1.63965537431973e-06,NaN,NaN,NaN,0.144185540424819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250,-5.34941697516143e-11,2.4168898451525e-06,NaN,NaN,NaN,0.157483169682626,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500,-2.84967219781531e-11,3.00778626231296e-06,NaN,NaN,NaN,0.16994603817366,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750,-1.48603532062231e-11,3.46818851408746e-06,NaN,NaN,NaN,0.181680257368908,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,-7.595199734661e-12,3.83174639907556e-06,NaN,NaN,NaN,0.192767936911317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3250,-3.80804452866334e-12,4.12002230460811e-06,NaN,NaN,NaN,0.203274751882068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500,-1.87406193150483e-12,4.34753851930037e-06,NaN,NaN,NaN,0.213254682760977,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3750,-9.05668189488366e-13,4.52448769707777e-06,NaN,NaN,NaN,0.222753099253415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000,-4.29911391535345e-13,4.65827702902529e-06,NaN,NaN,NaN,0.23180883571992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4250,-2.00486801034615e-13,4.75445226354532e-06,NaN,NaN,NaN,0.240455631290296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4500,-9.18591916151041e-14,4.81727407281132e-06,NaN,NaN,NaN,0.248723157388498,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4750,-4.13513881465769e-14,4.8500905897936e-06,NaN,NaN,NaN,0.256637769901816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,-1.82877895913575e-14,4.85558574459441e-06,NaN,NaN,NaN,0.264223072955664,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
