PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,-0.000192696094587764,-0.00048689085130363,NaN,NaN,NaN,NaN,0.000962528296224575,0.00415646713138156,-0.00420253719652099,-0.00350329378197259,NaN,NaN,0.0114227296215484,0.0110441478992083,0.0113965435582045,NaN,0.0952385459979313,0.0956233816188198
1750,NaN,NaN,NaN,-0.000439005948506059,-0.000629326249990562,NaN,NaN,NaN,NaN,-0.00153485243404508,0.00160451295390061,-0.00492144243601465,-0.002790478307557,0.00551766403002355,-0.0053676295111311,0.0168535276671891,0.0162656221762648,0.0177195486724915,NaN,0.108047405968656,0.108405961156453
2000,NaN,NaN,NaN,-0.000630236230412808,-0.00075614110798926,NaN,NaN,NaN,NaN,-0.00292086035703337,0.000502949875019332,-0.00533129299515545,-0.00199630243064611,-0.0152121673474988,-0.0122597683655049,0.0224825626399074,0.0218473913991695,0.0242244578129012,NaN,0.120368834171525,0.120793772621081
2250,NaN,NaN,NaN,-0.000787386512563832,-0.000871723714990398,NaN,NaN,NaN,0.173316860192729,-0.00375748958839591,0.000143056947279133,-0.00556520554059721,-0.00116863429834105,-0.00454520459962667,-0.00149213939578553,0.0280881457312652,0.0275547044928297,0.0305562032563427,NaN,0.132329017596306,0.132875409069997
2500,NaN,NaN,NaN,-0.000921614798810596,-0.000978528285683885,NaN,NaN,0.214327739830217,0.0720952637016953,-0.00427903736800714,0.000211586061609585,-0.00568175341164946,-0.000326922922687681,0.0184031687569421,0.0186855872060148,0.033603346438477,0.0332933764467618,0.0366500564451789,NaN,0.144002865695752,0.144706832946502
2750,NaN,NaN,0.00132516517427221,-0.00103936751400518,-0.00107802475314896,NaN,NaN,0.0943794133450035,0.0352650567511939,-0.00459850425012172,0.000549313177548615,-0.00571118765986956,0.000519806077261089,0.0349915934187877,0.0325315405644543,0.0390109406040807,0.0390224380703274,0.0425109798483769,NaN,0.155438754231527,0.156325820635003
3000,NaN,NaN,0.000169195502803275,-0.0011446163452976,-0.00117114490926605,NaN,NaN,0.0458600017554795,0.0215482079271364,-0.0047758906452294,0.00106677597650806,-0.00567073780608475,0.00136698729002783,0.0465896199572012,0.0430143758174902,0.0443112198488965,0.044723593220238,0.0481612347259609,NaN,0.166669872108406,0.167759142737077
3250,NaN,NaN,-0.0003732879192353,-0.00123993751387534,-0.00125851015970321,NaN,NaN,0.0245065314037981,0.0155188310868246,-0.00484513119037269,0.00170980788817921,-0.0055707682989761,0.00221218311559108,0.0554505384703442,0.0518187159169863,0.049510655300449,0.0503889995118241,0.0536256635835975,NaN,0.177720044670271,0.179026487201695
3500,NaN,NaN,-0.000695519119657846,-0.00132707515836806,-0.00134055564583324,NaN,NaN,0.0137766577755149,0.0126456032246879,-0.00482617053663216,0.00244367504854601,-0.00541764663912001,0.00305405640108453,0.0627699000444146,0.0596350721123884,0.054617564689013,0.0560158835262407,0.0589273862622662,NaN,0.188606985780359,0.190142761346928
3750,NaN,NaN,-0.000917359595946679,-0.00140725453434558,-0.00141760154242914,NaN,NaN,0.00789839003936812,0.0112952788453374,-0.00473093868674308,0.0032450790374375,-0.00521523962122057,0.00389187583105813,0.0691571218727739,0.0667890697228909,0.0596403996142111,0.0616039932795178,0.0640867324975751,NaN,0.199344237090066,0.201119520171121
4000,NaN,NaN,-0.00108578963831425,-0.00148136533633798,-0.00148989581726024,NaN,NaN,0.00452994750378246,0.0107696521233077,-0.00456655012209073,0.00409782217884242,-0.00496576725505603,0.00472526092468342,0.0749426465684913,0.0734600882713566,0.0645870860821169,0.0671543285592011,0.0691212225359312,NaN,0.209942386541153,0.211965893259297
4250,NaN,NaN,-0.00122250260824402,-0.00155007370691754,-0.00155764081072659,NaN,NaN,0.00258592483074642,0.0107301051663315,-0.00433713095141991,0.00499031526944151,-0.00467032700610734,0.00555404331930314,0.0803191990825972,0.0797605456532657,0.0694648064750038,0.0726684843941365,0.0740458658678206,NaN,0.220409867333732,0.222689208944492
4500,NaN,NaN,-0.00133872990774621,-0.00161389320357121,-0.00162101026063999,NaN,NaN,0.00150863513263166,0.0109961786955287,-0.00404492013678539,0.00591407273107258,-0.00432923561458644,0.00637818805470792,0.0854069376073066,0.0857683036512178,0.074279968389564,0.0781483036524977,0.0788735246749133,NaN,0.230753500687972,0.23329542783114
4750,NaN,NaN,-0.00144079373171927,-0.00167323118005746,-0.00168016048400768,NaN,NaN,0.000987931062346575,0.0114645129394613,-0.00369096359039683,0.00686276568800573,-0.00394226338616296,0.00719774740718426,0.0902852075897654,0.0915414742948382,0.0790382497950918,0.0835956916234924,0.0836152560625373,NaN,0.240978875738487,0.243789451955725
5000,NaN,NaN,-0.00153248382565751,-0.00172841992324235,-0.00173523787553682,NaN,NaN,0.00084041469153877,0.0120724842251009,-0.00327556798577273,0.00783160472919148,-0.00350880153287776,0.00801283312833625,0.095009005874472,0.097125845531916,0.0837446714010025,0.0890125179951864,0.0882806082982537,NaN,0.251090622314179,0.254175350334382
5250,NaN,NaN,-0.00161618325666292,-0.00177973804879345,-0.00178638402121894,NaN,NaN,0.000952319809905289,0.0127804249128365,-0.00279860614467185,0.00881692511710213,-0.00302798575059513,0.00882359945412664,0.0996180278478833,0.10255889946623,0.088403674446001,0.0944005669670476,0.0928778685244535,NaN,0.261092611183904,0.264456526809472
5500,NaN,NaN,-0.00169344583834455,-0.00182742550532297,-0.00183373923008618,NaN,NaN,0.00125039466456705,0.0135623025076089,-0.00225972689800007,0.00981590052303161,-0.00249878990013857,0.00963023259692197,0.104141904884114,0.107872126535342,0.0930191946111845,0.0997615141887284,0.097414266902028,NaN,0.270988103924117,0.27463584715941
5750,NaN,NaN,-0.00176531197712928,-0.00187169428489367,-0.00187744499345673,NaN,NaN,0.0016861092740845,0.0144005447103269,-0.00165850114939914,0.0108263407740328,-0.00192009842670952,0.0104329442290715,0.108603379572071,0.113092430557066,0.0975947285395153,0.105096918675403,0.101896143993871,NaN,0.280779867011459,0.284715736865057
6000,NaN,NaN,-0.00183249086199505,-0.0019127361876312,-0.00191764570186747,NaN,NaN,0.00222663274327331,0.0152830248806054,-0.000994523909148784,0.0118465459455981,-0.00129076309553724,0.0112319674660833,0.113020310916063,0.118243023577114,0.102133392099482,0.110408222987036,0.106329087976696,NaN,0.290470260007113,0.294698257358882
6250,NaN,NaN,-0.00189547035955749,-0.00195072852609202,-0.00195448983797226,NaN,NaN,0.00284944491073636,0.0162012328845662,-0.000267485065883922,0.0128751991190227,-0.000609647774575833,0.0120275544320895,0.117406987326861,0.123344023305838,0.106637970703955,0.115696757820597,0.11071804738893,NaN,0.300061304648078,0.30458516624175
6500,NaN,NaN,-0.00195458588469486,-0.00198583836332296,-0.00198813079220584,NaN,NaN,0.00353899251823883,0.0171491256051899,0.00052278256827583,0.013911286219024,0.00012433615458526,0.0128199748302439,0.121775014534559,0.128412872392549,0.111110962461071,0.120963748792068,0.115067424130305,NaN,0.309554739645953,0.314377965381062
6750,NaN,NaN,-0.00201006502000594,-0.00201822569027773,-0.00201872740145862,NaN,NaN,0.00428454286440811,0.0181223822228053,0.00137627204206699,0.014954035170503,0.000912201911103534,0.0136095151470522,0.126133933632047,0.13346464894284,0.115554615065829,0.126210324126646,0.119381150523212,NaN,0.318952064634951,0.324077939728502
7000,NaN,NaN,-0.00206205728608027,-0.00204804582429419,-0.00204644428014635,NaN,NaN,0.00507876394427419,0.0191179086549539,0.0022927836770805,0.0160028690692638,0.00175486558920921,0.0143964782478549,0.130491662600329,0.138512309752055,0.119970957321096,0.131437522527118,0.123662753482962,NaN,0.328254575776148,0.333686188946249
7250,NaN,NaN,-0.00211065453818558,-0.00207545122721996,-0.00207145199227607,NaN,NaN,0.00591675926962315,0.0201334998868461,0.00327191602808391,0.0170573696737003,0.0026531295498547,0.0151811832020987,0.134854819235874,0.143566891409653,0.124361826093931,0.136646300816088,0.127915408224783,NaN,0.337463394870746,0.343203653399657
7500,NaN,NaN,-0.00215590528729722,-0.00210059288511395,-0.00209392709891578,NaN,NaN,0.00679539533578783,0.0211676049618915,0.00431306407832655,0.0181172486038271,0.00360767010890073,0.0159639652297828,0.1392289624398,0.148637684584258,0.128728889410638,0.141837541140758,0.132141983441684,NaN,0.346579493369707,0.352631135692854
