PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,0.000187936020049176,-0.000530190725655856,NaN,NaN,NaN,NaN,0.00753018895520481,0.00963551558698568,-0.00438340473968222,-0.00362062928845104,NaN,NaN,0.00864865533485953,0.00745359512048657,0.00592105048055562,0.00917454799460446,0.0861019998216735,0.0864629867528411
1750,NaN,NaN,NaN,-0.000240323632415373,-0.000739855684548591,NaN,NaN,NaN,NaN,0.00210901070671891,0.00471387563633169,-0.00552004784642718,-0.00307129514093102,NaN,NaN,0.0125956270050618,0.0112046868649266,0.0112490678346671,0.0140844631494451,0.0986198528681368,0.0988673683546319
2000,NaN,NaN,NaN,-0.000560998848087398,-0.000924360386002815,NaN,NaN,NaN,NaN,-0.000710402004869477,0.00241247237182964,-0.006110584831015,-0.00233262603453467,NaN,NaN,0.0173220547492873,0.0158241039434563,0.0171194285798117,0.0190414166570621,0.110555013547375,0.110824555986815
2250,NaN,NaN,NaN,-0.00081771838018053,-0.00109147570723422,NaN,NaN,NaN,NaN,-0.00238666067566128,0.00136113093656396,-0.00644505147642538,-0.00151610715183648,-0.0155309094797122,-0.0153055134243587,0.0222642905866957,0.0208017784251041,0.0229213183409898,0.024010345254745,0.122075193460129,0.122443945435439
2500,NaN,NaN,NaN,-0.00103292089052391,-0.00124550292920169,NaN,NaN,NaN,NaN,-0.00346661420435374,0.000995253283314082,-0.00663209110588941,-0.000663876683435193,-0.0239028123373701,-0.0197305567901007,0.0272333335127407,0.0259331914730635,0.028522928794021,0.0289774631225519,0.133275352442088,0.133792049031189
2750,NaN,NaN,NaN,-0.00121924532192293,-0.00138899406335275,NaN,NaN,NaN,0.157101538123448,-0.00419620644316568,0.00104289233151161,-0.00672164361744399,0.00020524479472617,-0.00324529946190424,0.00170361031498898,0.0321592395614546,0.031125811707988,0.0339060915209977,0.0339375304871915,0.144214672576953,0.144912555788051
3000,NaN,NaN,NaN,-0.00138431939504119,-0.00152354844653629,NaN,NaN,0.262619708279469,0.0742995317523768,-0.0047004671755289,0.00135758252268423,-0.00674011466686178,0.00108185869782136,0.0190431995035331,0.0202574746045928,0.0370163228406577,0.0363344348285649,0.0390835479946084,0.0388890003370376,0.154932670028208,0.155835814228744
3250,NaN,NaN,0.00262807546371783,-0.00153300345340418,-0.00165021529190258,NaN,NaN,0.131908416312132,0.0413279628058555,-0.00504860529437759,0.00185359981326001,-0.00670279811465505,0.00196089267197854,0.0351257683773627,0.0331106111974369,0.0417969556332097,0.0415359639341455,0.044075709389008,0.0438319749312409,0.165457124252293,0.166583814746735
3500,NaN,NaN,0.000696546024962874,-0.00166853423656338,-0.00176971155491106,NaN,NaN,0.0706608820235357,0.0271723540006754,-0.00528126916690584,0.00247746064280034,-0.00661904750874934,0.00283945580956385,0.0467376100570519,0.0430399545869878,0.0465012178973945,0.0467184041067016,0.0489034401251903,0.048767284136334,0.175808354879171,0.177173024034143
3750,NaN,NaN,-0.000210881190781218,-0.00179314841557631,-0.00188254654718477,NaN,NaN,0.0410416156545274,0.0202964837758038,-0.00542329799605062,0.00319407535115282,-0.00649472402799118,0.00371583850444549,0.0557031404569649,0.0514131263416119,0.0511324601157638,0.0518756367884042,0.0535858439300121,0.0536960505809605,0.186001699058429,0.187616100517607
4000,NaN,NaN,-0.000740832159900677,-0.00190844168544693,-0.00198909653049851,NaN,NaN,0.0251369285842812,0.0167109409279937,-0.00549022788854324,0.00397947545343339,-0.00633348051506262,0.00458900775476288,0.0630815234270442,0.0588480167504093,0.0556952980078744,0.0570047717352971,0.0581397420425244,0.0586194796510736,0.196049030416695,0.197922985251578
4250,NaN,NaN,-0.0010979216692844,-0.00201558522203837,-0.00208965110186571,NaN,NaN,0.0158664527894997,0.0148144933920319,-0.00549185428026896,0.00481674441727204,-0.00613749415650651,0.00545833608413206,0.0694600835784025,0.0656542997207169,0.0601946814973893,0.0621047351178061,0.0625797324064435,0.0635387582204006,0.205959734552976,0.208101624311716
4500,NaN,NaN,-0.00136356952170967,-0.00211546128892085,-0.00218444298381996,NaN,NaN,0.0101540635709707,0.0138723973858691,-0.00543430096553569,0.00569361868436216,-0.00590791516837523,0.00632344845214411,0.0751766632777733,0.0720063062088448,0.0646354634798942,0.0671754860638741,0.0669184308487988,0.0684550076803594,0.215741360049549,0.218158463580568
4750,NaN,NaN,-0.00157560558923798,-0.00220875104295378,-0.00227366769314342,NaN,NaN,0.00651335080548344,0.0135102792028169,-0.00532128355335484,0.00660100987539336,-0.00564515866950261,0.00718413220493456,0.080436005138702,0.0780128685297664,0.0690222094605957,0.0722175682377389,0.0711667472878641,0.0733692645935414,0.225400067213284,0.228098797456213
5000,NaN,NaN,-0.00175366207415047,-0.00229599303485467,-0.00235749683986574,NaN,NaN,0.00415892473681804,0.0135212049174942,-0.0051549149542611,0.00753205975532665,-0.00534910469823476,0.00804028232390835,0.085368758075381,0.0837480957497984,0.0733591255086151,0.0772318471385227,0.0753341445909741,0.0782824754452974,0.234940946043852,0.237927020705869
5250,NaN,NaN,-0.00190880025063284,-0.00237762316876441,-0.00243608730590968,NaN,NaN,0.00264484097285528,0.0137832149609658,-0.00493623822955987,0.00848151609318715,-0.00501924157176017,0.00889186723677594,0.0900622872370814,0.0892661442452984,0.0776500443441505,0.0822193537097742,0.0794288642520952,0.0831954984627358,0.244368246965783,0.247646814275347
5500,NaN,NaN,-0.00204765640344735,-0.00245400260191649,-0.00250958769241802,NaN,NaN,0.00170283006312285,0.0142206452327732,-0.00466559027355483,0.00944530871946299,-0.004654772636886,0.00973890701741517,0.0945774743230396,0.0946088542900416,0.0818984392250399,0.0871811904288152,0.0834581170860412,0.0881091087884821,0.253685551767744,0.257261284952573
5750,NaN,NaN,-0.00217441096967691,-0.00252543760531643,-0.0025781429160825,NaN,NaN,0.00116380183635562,0.0147845595612987,-0.00434285648021176,0.0104202543757247,-0.00425469832709278,0.0105814592685501,0.0989582957666144,0.0998099531021823,0.0861074501138674,0.0921184749062463,0.0874282421495894,0.0930240050379116,0.262895902575841,0.266773072090748
6000,NaN,NaN,-0.00229179919776025,-0.00259219394705022,-0.00264189752533288,NaN,NaN,0.00091707293196317,0.015442212850389,-0.00396765265730775,0.0114038466904939,-0.00381788087268958,0.0114196098879493,0.103237516930863,0.104897492017056,0.0902799141695616,0.0970323063833538,0.0913448384843195,0.0979408162013202,0.272001900750692,0.276184430367862
6250,NaN,NaN,-0.00240166356928107,-0.00265450746920733,-0.0027009981141684,NaN,NaN,0.000887939759949486,0.0161710729846322,-0.00353945679505828,0.0123941037858984,-0.00334309634591844,0.0122534670044457,0.107440209123922,0.109895323388134,0.0944183965483064,0.101923746378692,0.0952128742450079,0.102860108359125,0.281005783825509,0.285497294815911
6500,NaN,NaN,-0.00250527190798197,-0.00271259197178152,-0.00275559508819004,NaN,NaN,0.00102472750297604,0.0169552757384638,-0.00305770523672755,0.0133894557451596,-0.00282907711725813,0.0130831570074022,0.111585998158889,0.114824030943379,0.0985252195780232,0.106793808143772,0.0990367772521546,0.107782390955164,0.289909486143373,0.294713332531282
6750,NaN,NaN,-0.00260350877719478,-0.00276664515967574,-0.00280584395712559,NaN,NaN,0.00129099231440276,0.0177834412383039,-0.00252186290333747,0.0143886601855267,-0.00227454680518538,0.0139088219777232,0.115690547374215,0.11970153768237,0.102602489471526,0.111643451615684,0.102820510366793,0.112708122524262,0.29871468721194,0.303833984242226
7000,NaN,NaN,-0.002696995031623,-0.00281685317527058,-0.00285190627488199,NaN,NaN,0.00166065276418466,0.0186472841366784,-0.00193147417087599,0.0153907379951322,-0.00167824917194512,0.0147306180661682,0.119766563623768,0.124543518305853,0.106652120320986,0.116473581785476,0.106567634477843,0.117637715851365,0.307422850677584,0.312860498055472
7250,NaN,NaN,-0.00278616494644866,-0.00286339408326172,-0.00289395031222512,NaN,NaN,0.00211485159122264,0.0195407032014705,-0.00128619904459981,0.0163949237658857,-0.00103897201095073,0.0155487145149046,0.123824497283976,0.12936369087326,0.110675855410946,0.121285049161565,0.110281361366003,0.122571542581662,0.316035256046903,0.321793957103741
7500,NaN,NaN,-0.00287131740243353,-0.00290644056884635,-0.00293215152257198,NaN,NaN,0.00263987452339531,0.0204591696370523,-0.000585837993441907,0.0174006270921262,-0.000355566803760768,0.0163632931150731,0.127873040775862,0.134174032911961,0.114675286028164,0.126078651484338,0.113964598271717,0.127509937321274,0.324553024737744,0.330635302387321
7750,NaN,NaN,-0.00295265071158388,-0.0029461620375691,-0.0029666928442851,NaN,NaN,0.00322573437507963,0.0213993067417981,0.000169652054493504,0.0184074020093257,0.000373035254485969,0.0171745479567531,0.131919491212315,0.138984949921872,0.118651868004616,0.130855136151048,0.117619985640471,0.132453201276148,0.332977141651044,0.339385351792403
8000,NaN,NaN,-0.00303028684657089,-0.00298272625427143,-0.00299776487083968,NaN,NaN,0.00386518512422899,0.0223585951515635,0.000980148649330725,0.0194149226050055,0.0011478103841854,0.0179826853702556,0.135970019404857,0.143805413742732,0.122606936244014,0.135615203004598,0.121249929234301,0.137401605478241,0.341308473171018,0.348044816041132
8250,NaN,NaN,-0.00310428864318836,-0.00301630062255508,-0.0030255659116909,NaN,NaN,0.00455302065197197,0.0233351623387721,0.00184536020539656,0.0204229633622405,0.00196963211255101,0.0187879239866039,0.140029873042944,0.148643081728347,0.126541717473745,0.140359507265736,0.124856627571166,0.142355393646056,0.349547782292456,0.356614312159134
8500,NaN,NaN,-0.00317467224574192,-0.00304705318032863,-0.00305030196053917,NaN,NaN,0.0052855661331736,0.0243276297647717,0.00276482665854821,0.0214313831696312,0.00283926359480717,0.0195904948650701,0.144103532747655,0.153504403531368,0.130457341445177,0.145088662470213,0.128442095472657,0.147314784722945,0.357695741418512,0.36509437491928
8750,NaN,NaN,-0.00324141627401961,-0.00307515336826275,-0.0030721865832598,NaN,NaN,0.00606030249859454,0.0253350001934048,0.00373792344739925,0.022440112199279,0.00375735207699611,0.0203906416497098,0.148194833817929,0.158394719643568,0.134354850782218,0.149803243326126,0.132008184355762,0.152279975132305,0.365752943255438,0.373485466624062
9000,NaN,NaN,-0.00330446869655039,-0.00310077261424209,-0.0030914407345416,NaN,NaN,0.00687558459902924,0.026356573439511,0.00476386804741724,0.0234491410484888,0.00472442524536631,0.0211886207269044,0.152307062610737,0.163318354124617,0.138235209654462,0.154503788441761,0.135556599788728,0.157251140784402,0.373719910141784,0.381787985515115
9250,NaN,NaN,-0.00336375207955065,-0.00312408476673739,-0.00310829250993059,NaN,NaN,0.0077304265686357,0.027391882551814,0.00584172842563434,0.0244585116834371,0.00574088923347723,0.0219847013632529,0.156443033894145,0.16827870285743,0.142099311428873,0.159190802897185,0.139088916738121,0.162228438865412,0.38159710208137,0.390002273041399
9500,NaN,NaN,-0.00341916767560656,-0.0031452664024348,-0.00312297683826407,NaN,NaN,0.00862433623653195,0.0284406448832186,0.00697043289519538,0.0254683098287524,0.00680702807959984,0.02277916580859,0.160605153735047,0.173278317980978,0.145947985433529,0.163864760647682,0.142606592859426,0.167212009435434,0.389384923696469,0.398128620173048
9750,NaN,NaN,-0.00347059867997386,-0.00316449702775416,-0.00313573511824189,NaN,NaN,0.00955718595254882,0.029502724145631,0.0081487809401437,0.026478658526153,0.00792300444527556,0.0235723093530162,0.164795471250183,0.178318988735237,0.149782002948883,0.168526106756655,0.146110980123082,0.172201976858791,0.397083730276405,0.406167272912999
10000,NaN,NaN,-0.00351791289062801,-0.00318195918956753,-0.00314681480199781,NaN,NaN,0.0105291108954783,0.0305781006657831,0.00937545465648292,0.0274897126451701,0.00908886142203058,0.024364440329983,0.169015721680654,0.183401818716841,0.153602082526071,0.173175259461516,0.149603335018753,0.177198451086951,0.40469383306427,0.414118437130845
