PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,-0.0333592148387965,-0.0150770721318126,NaN,-0.265192670140142,-0.260810952526824,0.214000134295357,0.219686462798363,0.239874568916695,0.259538319857106,NaN,NaN,0.565221052910805,0.560130917614677,NaN,NaN,NaN,NaN,NaN,NaN
1750,NaN,0.75052189822337,-0.0341085377370631,0.0165898111499192,NaN,-0.182858057585672,-0.157681168946611,0.301781841674595,0.306663151738317,0.319309488904904,0.335217745859904,NaN,NaN,0.627193898605574,0.623062261676526,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,0.361228946673271,-0.0172163638071789,0.0523151622008455,NaN,-0.0117920526534828,0.0157745088473315,0.383338129849761,0.389133107919544,0.392301956462072,0.404672035883214,NaN,NaN,0.679185787758601,0.675996762677313,NaN,NaN,NaN,NaN,NaN,NaN
2250,NaN,0.140033128779555,0.0103075116479146,0.0905060602267733,NaN,0.132398792304651,0.161481042823089,0.458382855711333,0.465999679429272,0.45931120570229,0.469081851397053,NaN,NaN,0.723378789249432,0.721106349058905,NaN,NaN,NaN,NaN,NaN,NaN
2500,NaN,0.0183694299056007,0.0444352304843742,0.1301544849976,NaN,0.255540769986238,0.285154022979493,0.527273297321866,0.537182374492198,0.52101542623992,0.529285339538043,NaN,NaN,0.761367901239289,0.760025075958334,NaN,NaN,NaN,NaN,NaN,NaN
2750,NaN,-0.0420757155730756,0.0827266026031062,0.17060227699419,NaN,0.362312757616182,0.391962372838606,0.590584350093206,0.602997494103696,0.57809004275703,0.58590972613707,NaN,NaN,0.79433420411073,0.793973729849521,NaN,NaN,NaN,NaN,NaN,NaN
3000,NaN,-0.0637377632595499,0.123641809895245,0.211409599266845,NaN,0.456149558499945,0.48565974010872,0.64892776137329,0.663896123557285,0.631140053464575,0.639441276083275,NaN,NaN,0.823169696868288,0.823870627225866,NaN,NaN,NaN,NaN,NaN,NaN
3250,NaN,-0.0602792172550614,0.166177852729013,0.252277602922901,NaN,0.539584878567336,0.568951363492374,0.702879975924878,0.7203521034523,0.680686546693782,0.690266718435572,NaN,NaN,0.848561221180376,0.850415418997934,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,-0.0402973220744757,0.209665039995116,0.293001073380486,NaN,0.614516844127793,0.643817897091251,0.752957448381149,0.77281551712289,0.727171697369676,0.73869971216609,NaN,NaN,0.871046683735372,0.874149125822956,NaN,NaN,NaN,NaN,NaN,NaN
3750,NaN,-0.00935242669442079,0.25364765167461,0.333438432246181,NaN,0.682391306352809,0.711737926249098,0.799612280192962,0.821695487124273,0.770969104458211,0.784998700986629,NaN,NaN,0.891053516669962,0.895496450589179,NaN,NaN,NaN,NaN,NaN,NaN
4000,NaN,0.0288758715760773,0.297811194841197,0.373492180108518,NaN,0.744327297294195,0.773836462212142,0.843236091856107,0.867356117181303,0.812394666078157,0.829379453409965,NaN,NaN,0.908925702561608,0.914795618626581,NaN,NaN,NaN,NaN,NaN,NaN
4250,NaN,0.0719057656415769,0.341936584477391,0.413095830108031,NaN,0.801203812889375,0.830984773479472,0.884166753627133,0.910118154380175,0.851716367630872,0.872024145751248,NaN,NaN,0.924943231722608,0.932319607140031,NaN,NaN,NaN,NaN,NaN,NaN
4500,NaN,0.118036995678744,0.385870463734993,0.452204992486603,NaN,0.85372076123034,0.883868606400801,0.922695628764261,0.950262908945599,0.889162577050531,0.913088104090679,NaN,NaN,0.939336386969378,0.948291439660438,NaN,NaN,NaN,NaN,NaN,NaN
4750,NaN,0.166090106237545,0.429505508790189,0.490791179937169,NaN,0.902442451426713,0.933035665646226,0.959074363378637,0.988036820801742,0.924928891216378,0.952704909932989,NaN,NaN,0.95229639332971,0.962895361028711,NaN,NaN,NaN,NaN,NaN,NaN
5000,NaN,0.215239110120149,0.472767082522753,0.528837435200036,NaN,0.947829106137754,0.978929263868388,0.993520883809813,1.02365594542211,0.959183722273662,0.990990332494591,NaN,NaN,0.963983459068522,0.976285120513341,NaN,NaN,NaN,NaN,NaN,NaN
5250,NaN,0.264901770358862,0.51560402349874,0.56633520250968,NaN,0.990260030960807,1.02191258296999,1.02622454081843,1.05731005672426,0.992072838160291,1.02804540153434,NaN,NaN,0.97453291542959,0.988590197723764,NaN,NaN,NaN,NaN,NaN,NaN
5500,NaN,0.314666276910798,0.557982186302246,0.603282062485504,NaN,1.03005088350169,1.06228644954117,1.05735045606115,1.08916626839746,1.02372305390696,1.06395883923419,NaN,NaN,0.984059953671788,0.999920544605178,NaN,NaN,NaN,NaN,NaN,NaN
5750,NaN,0.364241406276821,0.599879847263046,0.639680075427898,NaN,1.06746670949615,1.10030255384697,1.08704316742015,1.11937216985543,1.05424524005621,1.09880900659717,NaN,NaN,0.992663316204487,1.0103702421927,NaN,NaN,NaN,NaN,NaN,NaN
6000,NaN,0.413422125708338,0.641284396349995,0.675534559063866,NaN,1.10273190091266,1.13617341688519,1.11542967703162,1.14805851407419,1.083736783841,1.132665477071,NaN,NaN,1.00042820008653,1.02002035309369,NaN,NaN,NaN,NaN,NaN,NaN
6250,NaN,0.462065532241695,0.682189929302666,0.710853180238147,NaN,1.13603788733866,1.1700800020741,1.1426219988578,1.17534150929428,1.11228361174764,1.16559032044841,NaN,NaN,1.00742856165824,1.0289411703912,NaN,NaN,NaN,NaN,NaN,NaN
6500,NaN,0.510073816346923,0.722595478444407,0.74564527589579,NaN,1.16754913819685,1.20217759734384,1.16871929057163,1.20132476870355,1.13996185973033,1.19763915912614,NaN,NaN,1.0137289615639,1.03719400821451,NaN,NaN,NaN,NaN,NaN,NaN
6750,NaN,0.55738206846846,0.762503702153418,0.779921343127045,NaN,1.19740789211983,1.23260041079235,1.19380964156624,1.22610096870978,1.16683925938672,1.22886204372741,NaN,NaN,1.01938605384023,1.04483264042313,NaN,NaN,NaN,NaN,NaN,NaN
7000,NaN,0.603949467684219,0.801919907335995,0.813692654925948,NaN,1.22573791715846,1.26146519804092,1.21797157685005,1.24975326073285,1.19297629419413,1.25930418408981,NaN,NaN,1.0244497969576,1.05190446634815,NaN,NaN,NaN,NaN,NaN,NaN
7250,NaN,0.649752860212595,0.840851316067997,0.84697097013404,NaN,1.25264752580006,1.28887415259853,1.24127532607577,1.27235647528807,1.21842716874289,1.28900656348252,NaN,NaN,1.02896444584969,1.058451462797,NaN,NaN,NaN,NaN,NaN,NaN
7500,NaN,0.694782044759361,0.87930651286502,0.879768314417192,NaN,1.27823201172528,1.31491722943179,1.26378389808865,1.29397815127789,1.24324062515404,1.31800645782663,NaN,NaN,1.03296937006646,1.06451096719212,NaN,NaN,NaN,NaN,NaN,NaN
7750,NaN,0.739036288813487,0.91729502664713,0.912096815125493,NaN,1.30257563394447,1.33967402837701,1.28555399404468,1.31467941817663,1.26746063401019,1.34633787708273,NaN,NaN,1.03649973284667,1.07011632618496,NaN,NaN,NaN,NaN,NaN,NaN
8000,NaN,0.782521740573761,0.95482701386476,0.943968577230666,NaN,1.32575324376061,1.36321533261281,1.306636786145,1.33451575427158,1.29112698174156,1.37403194244759,NaN,NaN,1.0395870581505,1.07529743627117,NaN,NaN,NaN,NaN,NaN,NaN
8250,NaN,0.825249497783178,0.991913018085281,0.975395590709809,NaN,1.34783162770493,1.38560437449516,1.32707858414466,1.35353764029102,1.31427577216479,1.4011172102838,NaN,NaN,1.04225970682743,1.08008119707238,NaN,NaN,NaN,NaN,NaN,NaN
8500,NaN,0.867234161888601,1.02856378769571,1.00638966208378,NaN,1.36887062296736,1.40689788416663,1.34692140782541,1.37179112453863,1.33693985651568,1.42761995159227,NaN,NaN,1.04454327862205,1.08449189351514,NaN,NaN,NaN,NaN,NaN,NaN
8750,NaN,0.908492753110141,1.06479013799431,1.03696236455663,NaN,1.38892404934131,1.42714696377825,1.36620348040232,1.38931831298184,1.35914920365202,1.45356439417898,NaN,NaN,1.04646095328483,1.08855151975135,NaN,NaN,NaN,NaN,NaN,NaN
9000,NaN,0.949043895470231,1.10060284732791,1.06712500250345,NaN,1.40804049222028,1.44639782071538,1.38495965522002,1.40615779552582,1.3809312199766,1.47897293335772,NaN,NaN,1.04803378139525,1.09228005505699,NaN,NaN,NaN,NaN,NaN,NaN
9250,NaN,0.988907204795643,1.1360125794321,1.09688858703417,NaN,1.42626396393571,1.46469238605776,1.40322178596832,1.42234501787128,1.40231102692773,1.50386631598774,NaN,NaN,1.049280933432,1.09569569992339,NaN,NaN,NaN,NaN,NaN,NaN
9500,NaN,1.02810283001411,1.17102982599282,1.12626382010468,NaN,1.44363446514313,1.48206883903019,1.42101904891468,1.43791260683658,1.4233117025138,1.52826380181107,NaN,NaN,1.05021991399817,1.09881507897344,NaN,NaN,NaN,NaN,NaN,NaN
