PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,0.0795762272051348,-0.069404474207118,-0.0533709054274915,NaN,NaN,0.0410040825566173,0.0596113663792639,0.105112363057084,0.138300318594062,NaN,NaN,0.459789562857633,0.459885181157329,0.479928970743605,NaN,NaN,NaN,NaN,NaN
1750,NaN,NaN,0.0073030771239118,-0.0646482449517772,-0.0363279377341628,NaN,NaN,0.11057258476854,0.125816246381932,0.180107753018209,0.209546728925383,NaN,NaN,0.544451501580271,0.543891884007353,0.533473040089785,NaN,NaN,NaN,NaN,NaN
2000,NaN,NaN,-0.0292049093172693,-0.0521081176902769,-0.0132327404015431,NaN,NaN,0.184997831287458,0.199166643073045,0.253087234896325,0.277509958030924,NaN,NaN,0.617473415739571,0.616025241774193,0.592665194458531,NaN,NaN,NaN,NaN,NaN
2250,NaN,NaN,-0.0429250664907034,-0.0340415788044226,0.0141476370741981,NaN,-0.494627671596864,0.25963769841211,0.274139213211146,0.322719552333815,0.342325215748127,NaN,NaN,0.680895813977449,0.678425242879379,0.649299448633473,NaN,NaN,NaN,NaN,NaN
2500,NaN,NaN,-0.04151473533223,-0.0119841334081909,0.0446038591938397,-0.327694777302433,-0.278726511798521,0.332213015053545,0.347967532773384,0.388618775000831,0.404182400568035,NaN,NaN,0.736410966640546,0.732901240307818,0.701130261978836,NaN,NaN,NaN,NaN,NaN
2750,NaN,0.644962856410057,-0.0297429115601736,0.0129888932038176,0.077284005408014,-0.154249017597573,-0.104473711715818,0.401686036223238,0.419295949899631,0.450809928690441,0.463293804884242,NaN,NaN,0.785366148933715,0.780891946659229,0.747870473110218,NaN,NaN,NaN,NaN,NaN
3000,NaN,0.380128579759271,-0.010709346264589,0.0401058989142831,0.111573524966735,-0.00810633650506162,0.0415795313494434,0.467664032231651,0.48750986003623,0.509491492750961,0.519872677968762,NaN,NaN,0.82882850081173,0.823522143747562,0.78986149504773,NaN,NaN,NaN,NaN,NaN
3250,NaN,0.200087705679434,0.0135004588817023,0.0688018372114163,0.147020328646185,0.117913819852753,0.167129509222472,0.530086829805334,0.552390196634907,0.564926235379277,0.574121876335512,NaN,NaN,0.867648069523037,0.861671607742911,0.827612667254314,NaN,NaN,NaN,NaN,NaN
3500,NaN,0.0795163617485777,0.0414430848872618,0.0986557945641469,0.183286397752292,0.228454704605193,0.277116077178868,0.589061855140093,0.613929358152698,0.617390452073493,0.626228797584224,NaN,NaN,0.902507721958011,0.896033848388618,0.861639538221522,NaN,NaN,NaN,NaN,NaN
3750,NaN,0.00140933191830553,0.0720957335518677,0.129349687061909,0.220115576986369,0.326739164008658,0.374917094315079,0.644776106794637,0.672230630221262,0.667150809908864,0.676363795861828,NaN,NaN,0.933960903868896,0.92716138365339,0.892410507394648,NaN,NaN,NaN,NaN,NaN
4000,NaN,-0.0459113806380845,0.104719232100768,0.160640217117655,0.257311578048989,0.415103133288417,0.462940779919498,0.6974489111768,0.727452259392566,0.714454558308955,0.724680396213729,NaN,NaN,0.962460088063593,0.955499450739965,0.920333806032531,NaN,NaN,NaN,NaN,NaN
4250,NaN,-0.0706264376315798,0.138770442930653,0.19233939763894,0.294722615025202,0.495291604215016,0.542958032469256,0.747306689558155,0.779776082764821,0.75952626586958,0.771316364714062,NaN,NaN,0.988378343099108,0.981410882990005,0.945759233910637,NaN,NaN,NaN,NaN,NaN
4500,NaN,-0.0785684256159579,0.17384464521084,0.224300753824453,0.332230458169209,0.568638580923431,0.616303660929205,0.794569786745188,0.829389968333741,0.80256770286871,0.816395124566846,NaN,NaN,1.01202580787984,1.00519451480827,0.968984722721435,NaN,NaN,NaN,NaN,NaN
4750,NaN,-0.0739612937403822,0.209636682700104,0.256409373146698,0.369742498399777,0.636183233632757,0.684004742637088,0.839445974981093,0.876478155106711,0.843759168394925,0.860027251507712,NaN,NaN,1.03366235984232,1.02709890689407,0.990263863385074,NaN,NaN,NaN,NaN,NaN
5000,NaN,-0.0599066965857605,0.245914190567843,0.288574616456819,0.407185904708453,0.698748069271602,0.746865705212475,0.882127661264712,0.921216162282035,0.883261400403584,0.902311915593004,NaN,NaN,1.05350741798626,1.04733268772217,1.00981296364701,NaN,NaN,NaN,NaN,NaN
5250,NaN,-0.0387103410073749,0.28249878845468,0.320724702734181,0.444503262668385,0.756993207406442,0.805526454135213,0.9227911328223,0.963768353070145,0.921217635921375,0.943338209002921,NaN,NaN,1.07174757820831,1.06607243274384,1.02781718699451,NaN,NaN,NaN,NaN,NaN
5500,NaN,-0.0121049997185823,0.319252642081936,0.352802634572555,0.481649278010714,0.81145500552342,0.860503086770781,0.9615968971266,1.00428703522964,0.957755610974515,0.983186338117719,NaN,NaN,1.0885426014562,1.08346873496963,1.04443571590476,NaN,NaN,NaN,NaN,NaN
5750,NaN,0.0185945367640611,0.356068713294927,0.384763097216766,0.5185882572478,0.862574110745516,0.912217020563218,0.998690578666079,1.04291243779885,0.9929894057477,1.02192867807393,NaN,NaN,1.10403014426949,1.09965093284523,1.05980602701115,NaN,NaN,NaN,NaN,NaN
6000,NaN,0.0523821527541214,0.392863588549331,0.416570073982032,0.555292162682744,0.910716188203156,0.961016220902466,1.03420406627203,1.07977317088632,1.02702110058991,1.05963069771871,NaN,NaN,1.11832952376238,1.11473083029644,1.0740474073923,NaN,NaN,NaN,NaN,NaN
6250,NaN,0.088482221568296,0.429572138332669,0.44819499524105,0.591739097086775,0.95618747118188,1.00719092681474,1.06825673850075,1.11498693400153,1.05994223895735,1.09635176704309,NaN,NaN,1.13154473654949,1.12880565206276,1.08726384149894,NaN,NaN,NaN,NaN,NaN
6500,NaN,0.126292964465885,0.466143495314566,0.47961528923918,0.627912113300744,0.999246584428249,1.05098547304324,1.10095667230704,1.14866133360953,1.09183510804367,1.13214586039239,NaN,NaN,1.14376689723225,1.14196041271474,1.0995463836831,NaN,NaN,NaN,NaN,NaN
6750,NaN,0.165344935192511,0.502537994671449,0.510813238611333,0.663798272008648,1.04011364331029,1.09260729660178,1.13240178556644,1.18089472822354,1.12277385409741,1.16706216846643,NaN,NaN,1.1550762220601,1.15426983166507,1.11097511304542,NaN,NaN,NaN,NaN,NaN
7000,NaN,0.205270261914744,0.538724824779768,0.541775071649844,0.699387890801003,1.07897733409948,1.13223388219871,1.16268089033263,1.21177705441264,1.1528254512738,1.20114563112896,NaN,NaN,1.16554365362314,1.1657998933326,1.12162074982886,NaN,NaN,NaN,NaN,NaN
7250,NaN,0.245779632050388,0.574680208081869,0.572490235396851,0.734673941929073,1.11600047931874,1.17001817827418,1.19187464882825,1.24139060845578,1.182050542493,1.23443740177521,NaN,NaN,1.17523220021287,1.17660912752136,1.13154599739373,NaN,NaN,NaN,NaN,NaN
7500,NaN,0.286644912459576,0.610385981597837,0.602950810690959,0.769651566537919,1.15132445334523,1.20609286408721,1.22005643262532,1.26981077132403,1.2105041693632,1.26697525268681,NaN,NaN,1.18419804680912,1.18674966737813,1.14080666120309,NaN,NaN,NaN,NaN,NaN
