PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,0.160758267800329,-0.0701815309053357,-0.0659739637153404,NaN,NaN,0.000594409403907478,0.0227376906691249,0.0645562623175776,0.10046007322959,NaN,NaN,0.410147677066313,0.413607988118285,0.450705968689792,0.418061691327658,NaN,NaN,NaN,NaN
1750,NaN,NaN,0.0581880497819283,-0.0745705660785966,-0.0574541270980182,NaN,NaN,0.0568716249019758,0.075430757867198,0.134779679270986,0.168171347145114,NaN,NaN,0.501352117102217,0.503972787160037,0.508694164484054,0.479735905047387,NaN,NaN,NaN,NaN
2000,NaN,NaN,-0.00107980181638594,-0.0701580448521417,-0.0420436769257641,NaN,NaN,0.123339081648387,0.140495495937496,0.20517725415359,0.233998040036474,NaN,NaN,0.580909384863064,0.582267508351695,0.572356772737444,0.544384933840269,NaN,NaN,NaN,NaN
2250,NaN,NaN,-0.0324667212339258,-0.0593302327978143,-0.0216043745189304,NaN,NaN,0.193536818755512,0.210680566201669,0.273663524009878,0.297629959289166,NaN,NaN,0.65057905051125,0.650421205365543,0.633316798834548,0.605505374304441,NaN,NaN,NaN,NaN
2500,NaN,NaN,-0.045129960680921,-0.0437433832802263,0.00256382358439283,NaN,NaN,0.263993149808415,0.282092555692569,0.339368849463313,0.358967134657679,NaN,NaN,0.711959325187423,0.710199945159711,0.689259884248857,0.661461727652237,NaN,NaN,NaN,NaN
2750,NaN,NaN,-0.0448075839521387,-0.0245779810409123,0.0295285045421773,-0.394067719725793,-0.33412378150431,0.332897443327056,0.352631651001595,0.402002598731618,0.418028573039787,NaN,NaN,0.76638001945704,0.763060081107605,0.739877872795836,0.712191012882832,NaN,NaN,NaN,NaN
3000,NaN,0.793316715906956,-0.0352520634964005,-0.00269481167404156,0.058605581632503,-0.221531721683531,-0.161945259869107,0.399349906189772,0.421182979653724,0.461553395253442,0.474895535495591,NaN,NaN,0.814922744341349,0.810163855946878,0.78551339675217,0.75811347357394,NaN,NaN,NaN,NaN
3250,NaN,0.506603602456858,-0.0190039206709574,0.0212661024715771,0.0892834943859205,-0.0747232711171209,-0.0160434907439351,0.462951777688565,0.487185142640601,0.518142060241451,0.529678772479915,NaN,NaN,0.858464632325496,0.852432441724456,0.826686992208995,0.799759874530238,NaN,NaN,NaN,NaN
3500,NaN,0.302828607523559,0.00216694187488268,0.0468208771305002,0.121173470393324,0.0526896744961665,0.110321700804253,0.523580431214674,0.550392484939849,0.571947419744206,0.582500159306153,NaN,NaN,0.897719484518947,0.890598748432583,0.863929422790567,0.837644371445001,NaN,NaN,NaN,NaN
3750,NaN,0.159023199999865,0.0269976460285188,0.0735983987401048,0.153975970638613,0.164991300916452,0.221651758455886,0.581264143588791,0.610740415576744,0.623168368517858,0.633482647471866,NaN,NaN,0.933271501332394,0.925250754251057,0.897725398176327,0.872225489454936,NaN,NaN,NaN,NaN
4000,NaN,0.059254725479493,0.0545687027910109,0.101310514778329,0.187457494777132,0.265228580973086,0.321097450918506,0.636111330386949,0.668267374132489,0.672004564345971,0.682744961780042,NaN,NaN,0.965601955255915,0.956864860214292,0.928499140979764,0.90389920422515,NaN,NaN,NaN,NaN
4250,NaN,-0.00774063589892194,0.0841990291603071,0.129731101141794,0.221434200311208,0.355643398395363,0.410940469860795,0.688270130796631,0.72306884975859,0.718646915990255,0.730398993479903,NaN,NaN,0.995110089634301,0.985831015756671,0.956615475379978,0.933003250654453,NaN,NaN,NaN,NaN
4500,NaN,-0.0500631774225367,0.115376653776483,0.158681080963213,0.255760112503414,0.437927774031713,0.492877882624938,0.737905234915851,0.775269989310357,0.763273286729603,0.776548715556183,NaN,NaN,1.02212946438658,1.0124715706976,0.982386134691714,0.959824695744935,NaN,NaN,NaN,NaN
4750,NaN,-0.0736282446176786,0.147711833026111,0.188017519178649,0.29031849424677,0.51338502943522,0.568200088445925,0.785184673634108,0.825009209795569,0.806046979580944,0.821289945576938,NaN,NaN,1.04694074881587,1.03705547976268,1.00607723255817,0.984607774911138,NaN,NaN,NaN,NaN
5000,NaN,-0.0828155502326861,0.180904632559093,0.217625562216938,0.325015433157593,0.583036385429369,0.637906917192834,0.830272440846226,0.872428433584084,0.847116685098876,0.864710566904488,NaN,NaN,1.06978175523009,1.05980909123235,1.02791636317849,1.00756094977599,NaN,NaN,NaN,NaN
5250,NaN,-0.0809082348896913,0.214722075499421,0.247412398337591,0.359775011444003,0.647693927584971,0.70278588102659,0.873324559051939,0.917667359732315,0.886617167952737,0.906890983442447,NaN,NaN,1.09085533643338,1.08092442016828,1.04809882816406,1.02886292021833,NaN,NaN,NaN,NaN
5500,NaN,-0.070394966400949,0.24898175565552,0.277302675663791,0.39453562334272,0.708011903866894,0.763466336648251,0.914487183428088,0.960860215787022,0.924670293319191,0.947904678557212,NaN,NaN,1.11033563170851,1.10056555697411,1.0667929047924,1.04866761835332,NaN,NaN,NaN,NaN
5750,NaN,-0.0531811536290132,0.283539904828996,0.307234986827573,0.429247136377759,0.764523584433668,0.820457824216034,0.953895906897313,1.00213403977385,0.96138617437459,0.987818804663109,NaN,NaN,1.12837303501695,1.11887368140758,1.0841442285624,1.06710831069778,NaN,NaN,NaN,NaN
6000,NaN,-0.0307388060296994,0.31828258255117,0.3371591442285,0.46386868108495,0.817668239655354,0.874177737806731,0.991675761881496,1.04160790440975,0.996864323362122,1.02669476279049,NaN,NaN,1.14509817184514,1.13597102343338,1.10027941193774,1.08430095429351,NaN,NaN,NaN,NaN
6250,NaN,-0.00421431114192971,0.353119089345069,0.367034048297833,0.498366914307721,0.867811203414815,0.924971641074909,1.02794161313384,1.07939271614391,1.03119474586491,1.06458875077293,NaN,NaN,1.16062510357567,1.15196402080967,1.11530902548014,1.10034694226441,NaN,NaN,NaN,NaN
6500,NaN,0.0254930791944822,0.387976986123182,0.396826005402795,0.532714643183029,0.915259006100255,0.973128413177531,1.06279875613263,1.11559135787186,1.06445895017714,1.10155227000557,NaN,NaN,1.17505392666851,1.16694585802292,1.12933005518071,1.11533535474679,NaN,NaN,NaN,NaN
6750,NaN,0.0576734306997103,0.422798288933249,0.426507390105237,0.566889726555198,0.960270934296882,1.01889169780656,1.0963436088731,1.15029902937375,1.09673086169535,1.13763258727463,NaN,NaN,1.18847289483449,1.18099852428497,1.14242793268232,1.12934481067115,NaN,NaN,NaN,NaN
7000,NaN,0.0917630776297516,0.457536534098289,0.456055573581407,0.600874191715982,1.00306796294636,1.06246866741502,1.12866443005469,1.18360369336977,1.12807764209055,1.17287315185473,NaN,NaN,1.20096016283701,1.1941944943169,1.1546782181618,1.14244499753822,NaN,NaN,NaN,NaN
7250,NaN,0.127312252278983,0.492154494996194,0.485452059524009,0.634653519673593,1.04383973015342,1.10403681015106,1.15984202459837,1.21558656938731,1.15856041813688,1.2073139700622,NaN,NaN,1.2125852282219,1.20659811078146,1.16614800069689,1.15469794094758,NaN,NaN,NaN,NaN
7500,NaN,0.163960520248838,0.526622391634064,0.514681783065735,0.668216063349003,1.08275003657778,1.14374924181416,1.1899504147324,1.24632263961681,1.18823492747404,1.24099194042929,NaN,NaN,1.22341013034416,1.21826672886604,1.17689706841344,1.166159063141,NaN,NaN,NaN,NaN
7750,NaN,0.201417979974234,0.56091647636903,0.54373253873342,0.701552571374577,1.11994122060264,1.1817389045189,1.21905746556554,1.27588114506736,1.21715208944472,1.27394115304493,NaN,NaN,1.23349045316951,1.22925166983293,1.18697889048115,1.17687806983806,NaN,NaN,NaN,NaN
8000,NaN,0.239450759589455,0.595017909216693,0.57259451122854,0.734655796349402,1.15553766829454,1.21812191587561,1.2472254605985,1.30432605942586,1.24535850916328,1.30619315664592,NaN,NaN,1.24287616846486,1.23959902006005,1.19644144479283,1.18689969673133,NaN,NaN,NaN,NaN
8250,NaN,0.277869746114563,0.628911857891875,0.601259888674645,0.767520171061482,1.18964865130756,1.25300026341068,1.27451162654445,1.33171653385347,1.27289692254156,1.33777719689179,NaN,NaN,1.25161234839972,1.2493503042857,1.20532791858199,1.19626434076074,NaN,NaN,NaN,NaN
8500,NaN,0.316521766191749,0.662586773548361,0.629722542397791,0.800141539725139,1.2223706382458,1.28646398954829,1.30096860910677,1.35810730966082,1.29980658935739,1.36872042901079,NaN,NaN,1.25973977070364,1.25854305579591,1.21367730398961,1.20500859635559,NaN,NaN,NaN,NaN
8750,NaN,0.355282640744905,0.696033804833432,0.657977760684059,0.832516933992304,1.25378919015159,1.31859297672519,1.32664490260687,1.38354909812739,1.32612364073462,1.39904810771751,NaN,NaN,1.2672954349471,1.26721130168594,1.22152490641372,1.21316571293461,NaN,NaN,NaN,NaN
9000,NaN,0.394051682549719,0.729246321530558,0.686022026556513,0.864644385588454,1.28398052503149,1.34945841604993,1.35158523695683,1.40808892814918,1.35188138668673,1.42878375700815,NaN,NaN,1.27431300492666,1.27538597774838,1.22890278014355,1.22076598686547,NaN,NaN,NaN,NaN
9250,NaN,0.432747312497608,0.762219525552798,0.713852831626747,0.896522769050057,1.31301281711232,1.37912402357552,1.37583092567805,1.43177046322834,1.37711058869755,1.45794932215414,NaN,NaN,1.2808231893086,1.28309528473992,1.23584010311693,1.22783709862871,NaN,NaN,NaN,NaN
9500,NaN,0.471303548811467,0.794950131954328,0.741468519646087,0.928151669312848,1.34094728204623,1.40764705381376,1.3994201786372,1.4546342897651,1.40183970169175,1.48656530594952,NaN,NaN,1.28685407044437,1.29036499557308,1.24236350050392,1.234404403971,NaN,NaN,NaN,NaN
9750,NaN,0.50966718161066,0.827436106362456,0.768868154613706,0.959531269902351,1.36783908829337,1.43507914923948,1.42238838300442,1.47671817881356,1.42609508919151,1.51465089102501,NaN,NaN,1.29243138948469,1.29721872123048,1.24849732510199,1.24049118626146,NaN,NaN,NaN,NaN
10000,NaN,0.547795488634034,0.859676448097564,0.796051409271929,0.990662258271704,1.3937381264977,1.4614670562656,1.44476835570085,1.49805732350857,1.4499012149634,1.54222404982449,NaN,NaN,1.29757879448775,1.30367814180459,1.25426390114072,1.24611887600074,NaN,NaN,NaN,NaN
