PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,0.961208924494161,0.0374716183249826,-0.0252219614579525,NaN,NaN,0.0738696299720794,0.0638610301097045,-0.0485745975284493,-0.0316500360387607,0.178029034155698,0.117908612390623,0.102354949878246,0.122271789983248,0.262681408882533,0.25019871165459,NaN,NaN,NaN,NaN
1750,NaN,NaN,0.653102643414973,-0.00749011596900853,-0.0535008355122693,NaN,NaN,-0.000310457853964462,-0.000560366677326978,-0.0257584922496612,0.00301504843516737,0.224721561167261,0.146788326091135,0.205078191480016,0.228705893971804,0.33355944586108,0.323525991557889,NaN,NaN,NaN,NaN
2000,NaN,NaN,0.437670970298486,-0.0411817628821666,-0.0729431796638746,NaN,NaN,-0.0291555479521955,-0.0203477768948279,0.0106848151350629,0.0446318193916565,0.260670018141642,0.178834971470234,0.304613644916469,0.329258140003623,0.412727227741038,0.401541708685419,NaN,NaN,NaN,NaN
2250,NaN,NaN,0.283985737681525,-0.0657678746303415,-0.0852331641254929,NaN,NaN,-0.025755809316605,-0.0108387704435139,0.0553065420545065,0.0906705736540151,0.293442651442385,0.214285691449386,0.39771257057536,0.421411256072896,0.49034516355243,0.476748540630064,NaN,NaN,NaN,NaN
2500,NaN,NaN,0.173190353577417,-0.0829560956325321,-0.0916889767448036,NaN,NaN,-0.00159385416832852,0.0175638792383544,0.104635866868102,0.139382915465699,0.326352658260484,0.252880172935086,0.48362791626377,0.505092442922618,0.56330448312188,0.54697300377416,NaN,NaN,NaN,NaN
2750,NaN,NaN,0.0931896232722365,-0.0940876269697699,-0.0933451525681224,NaN,NaN,0.0355769577697409,0.0581099726177067,0.156454260698817,0.189583958863975,0.3607702651459,0.294146267086667,0.562535237388666,0.581005572180164,0.630841640490635,0.611843077420832,NaN,NaN,NaN,NaN
3000,NaN,NaN,0.0359007305504007,-0.100220819824044,-0.0910202086754683,NaN,NaN,0.0807490048701956,0.106372211620155,0.209336629217461,0.24047349899174,0.397121695164143,0.337536162945831,0.634940351768049,0.650029028666642,0.693039183869328,0.671602523617351,NaN,NaN,NaN,NaN
3250,NaN,NaN,-0.00426320740753479,-0.102197580315067,-0.0853681076456985,NaN,NaN,0.130685841710931,0.15939709322478,0.26236561239644,0.291510822021174,0.435360705115687,0.382497762383285,0.701443735744066,0.71300787942758,0.750274400740114,0.726685485612943,NaN,NaN,NaN,NaN
3500,NaN,NaN,-0.031274493628782,-0.10069376133672,-0.0769165800070887,NaN,NaN,0.183272551924298,0.215185370051554,0.31495277653174,0.342330691279936,0.475208961369356,0.428514229048825,0.762643068274167,0.770692038500188,0.803005590491776,0.777558149242248,NaN,NaN,NaN,NaN
3750,NaN,NaN,-0.0480259446495794,-0.0962569134201507,-0.0660955957527155,NaN,NaN,0.237111744261874,0.272369282710155,0.366725312525791,0.392687421178774,0.516286879753813,0.475125909773343,0.819093632787981,0.823727249975804,0.851688007193977,0.824660732125806,NaN,NaN,NaN,NaN
4000,NaN,NaN,-0.0566680113095266,-0.089334567880017,-0.0532586336755552,NaN,NaN,0.291273243198636,0.330007084423004,0.417453192900052,0.442417483831107,0.558188500304433,0.521941321912907,0.87129462005989,0.872663750002639,0.896742416518454,0.868388854673273,NaN,NaN,NaN,NaN
4250,NaN,NaN,-0.0588280319566967,-0.0802955477915259,-0.0386987097972154,NaN,NaN,0.345136624965142,0.387449117263762,0.467001656054629,0.491414275308243,0.600525431081147,0.568640696186244,0.919687360758915,0.917969497732845,0.938545654723391,0.909090562673473,NaN,NaN,NaN,NaN
4500,NaN,NaN,-0.0557568164932781,-0.0694461570506792,-0.0226605771872973,NaN,-0.46871209533738,0.398290138830297,0.444248690631738,0.515299789421857,0.539610902135651,0.642952196779265,0.614974154779859,0.964658871397625,0.960043293661976,0.977430368187544,0.947069338957929,NaN,NaN,NaN,NaN
4750,NaN,NaN,-0.0484290435848517,-0.0570425912574223,-0.005350107178817,-0.455892349921882,-0.328868539534326,0.450464493286515,0.500101697108853,0.562319504201768,0.58696830958309,0.685179428843967,0.660755994052878,1.00654744918802,0.999226318443961,1.01368837063798,0.982589076199747,NaN,NaN,NaN,NaN
5000,NaN,0.990475813776785,-0.037613507034412,-0.0433005415542694,0.0130584240227315,-0.324076457300483,-0.20366889576938,0.501488665278348,0.554805057863233,0.608061316962203,0.633467008715896,0.726978539529256,0.705856293847637,1.04564871533681,1.03581182131543,1.04757516731587,1.01587933973738,NaN,NaN,NaN,NaN
5250,NaN,0.758608780596018,-0.0239232078456714,-0.0284026950073105,0.0324166208897464,-0.205446267778101,-0.0903993313199169,0.551259917864465,0.608227738151384,0.652544651206803,0.679101256699968,0.768180220962625,0.750190976853568,1.08222136626334,1.07005310032789,1.07931457902116,1.0471402630733,NaN,NaN,NaN,NaN
5500,NaN,0.569813091202468,-0.00785168645786923,-0.0125046443911634,0.0525974459930955,-0.0977326012699024,0.0130114774524222,0.599723166300372,0.660290293210982,0.695801177853459,0.723874928822723,0.80866854576157,0.793711373187125,1.11649233518285,1.10217002989315,1.10910302821802,1.07654685898141,NaN,NaN,NaN,NaN
5750,NaN,0.416258733827425,0.0102002190340433,0.00426041584014483,0.0734916098319869,0.000838214744405208,0.108168725718629,0.646856604792228,0.710950287803431,0.737870221742204,0.767798569847102,0.848372228276533,0.836394237825534,1.14866128643042,1.13235439468954,1.1371133372941,1.10425271724192,NaN,NaN,NaN,NaN
6000,NaN,0.291717480572373,0.0299043911987851,0.0217779281873084,0.0950046656943585,0.0916696980062767,0.196333594417046,0.692661592651019,0.760191812661659,0.778795586615172,0.810887275840424,0.887254509174742,0.878232986531205,1.17890446668269,1.1607742570476,1.16349801855705,1.13039313534767,NaN,NaN,NaN,NaN
6250,NaN,0.191197817492249,0.0509903230936022,0.0399489365937677,0.117054654166162,0.175884988686584,0.278509435776333,0.737155478938704,0.808017891662678,0.81862336228017,0.853159166231535,0.92530300794309,0.919230656379579,1.2073779784079,1.18757754582471,1.18839209045556,1.15508775343184,NaN,NaN,NaN,NaN
6500,NaN,0.11067097324402,0.0732335599842211,0.0586876193280356,0.139570179771093,0.254392169505687,0.35550365313944,0.780366479313825,0.854444949756093,0.857400416729993,0.89463427885164,0.962520663325739,0.959394788849908,1.2342205523878,1.21289501848692,1.21191547428652,1.17844276758542,NaN,NaN,NaN,NaN
6750,NaN,0.0468635516930642,0.0964467645305486,0.0779192704595533,0.162488830055208,0.32793246656875,0.427972821893114,0.822330001548306,0.899498763533399,0.895173368679018,0.935333770351745,0.998918525075247,0.998734131425092,1.25955589410639,1.23684271748236,1.23417502921001,1.20055278974164,NaN,NaN,NaN,NaN
7000,NaN,-0.00290072878788945,0.120472742844846,0.097578638016541,0.185755868081477,0.397116274909518,0.496456056186521,0.863086003253466,0.943211487262356,0.931987898484748,0.975279338515805,1.03451071079494,1.03725682205507,1.28349467126691,1.25952401717349,1.25526627988722,1.22150241337785,NaN,NaN,NaN,NaN
7250,NaN,-0.0408227855855184,0.145178952304291,0.117608547745374,0.209323144759289,0.462450400464957,0.561400003232506,0.902677091001139,0.985619464697814,0.967888298030501,1.01449280669761,1.06931139504257,1.07496960837086,1.30613620057081,1.28103133786842,1.27527488489083,1.24136753506825,NaN,NaN,NaN,NaN
7500,NaN,-0.0687225531440711,0.170453140449875,0.137958757079948,0.233148189108686,0.524358882791595,0.623177789330908,0.941147155590663,1.02676161866386,1.00291718947996,1.05299582724424,1.1033333722118,1.11187766951951,1.32756988293711,1.30144758794096,1.29427788729251,1.26021647349197,NaN,NaN,NaN,NaN
7750,NaN,-0.0881126836985685,0.196199855424586,0.158584995841087,0.257193443448564,0.583199070496969,0.682103539622994,0.978540397214233,1.06667826779648,1.0371153631946,1.09080967254877,1.13658761207258,1.14798471585807,1.34787642827833,1.32084738280354,1.31234478243544,1.27811092021491,NaN,NaN,NaN,NaN
8000,NaN,-0.100256500631631,0.222337633838078,0.17944815929964,0.28142561732034,0.639274147302027,0.738443619620566,1.01490063542306,1.10541026055858,1.07052169938237,1.12795509078866,1.1690833027183,1.18329317638387,1.36712890399611,1.33929807988055,1.32953843221368,1.2951067504472,NaN,NaN,NaN,NaN
8250,NaN,-0.106213871855401,0.24879671947052,0.200513626261634,0.30581513923397,0.692842977343012,0.792425421693829,1.05027082779439,1.14299834579368,1.10317314812288,1.16445220946467,1.20082805872328,1.21780439061739,1.38539363550252,1.35686066114894,1.34591585029576,1.31125471692611,NaN,NaN,NaN,NaN
8500,NaN,-0.106877750594803,0.275517201113292,0.221750680286745,0.330335689431587,0.744127906543688,0.844244293900512,1.08469274182665,1.1794827201312,1.13510474957565,1.20032047424949,1.2318281474458,1.25151878055819,1.40273098220476,1.37359048881607,1.36152887861459,1.32660104593896,NaN,NaN,NaN,NaN
8750,NaN,-0.10300345703521,0.302447483705542,0.243132016412808,0.354963800085458,0.793320991777284,0.894069049545332,1.11820673938922,1.21490270786714,1.16634968129672,1.23557861386542,1.26208869033347,1.28443600044125,1.41919600837359,1.38953795494382,1.3764247720166,1.3411879511294,NaN,NaN,NaN,NaN
