PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,1.34593434841524,0.0985674199518977,0.013553956364593,NaN,NaN,0.217292057371197,0.170618153346989,-0.0420741409085495,-0.0438373639191515,0.116083785912261,0.064575934404469,0.0133165481451581,0.0322262758059732,0.203148358233588,0.197292070039044,NaN,NaN,NaN,NaN
1750,NaN,NaN,0.957790775664463,0.0445070789054579,-0.0228684852031845,NaN,NaN,0.0985406820246932,0.060379431937298,-0.0386841898793025,-0.0226762516513478,0.154955437547873,0.0857952685629023,0.105633463584581,0.13248052770115,0.273887410408803,0.271233523508822,NaN,NaN,NaN,NaN
2000,NaN,NaN,0.680792676311201,0.00146283239833628,-0.0506432379449046,NaN,NaN,0.0180312061145479,6.44260758299506e-05,-0.0182670057227896,0.00777421314086972,0.184241824928531,0.111496908768237,0.20296765328642,0.233885237006433,0.354327398078182,0.350752384318046,NaN,NaN,NaN,NaN
2250,NaN,NaN,0.478436900347856,-0.0323732804669561,-0.0712019103332709,NaN,NaN,-0.0191554492141623,-0.0218675352781609,0.0135001835321168,0.044764686888865,0.211433123995645,0.14168993455609,0.297905437031494,0.32987403612977,0.434203962741371,0.428114773003706,NaN,NaN,NaN,NaN
2500,NaN,NaN,0.328295090468791,-0.058530211080925,-0.0857294724619289,NaN,NaN,-0.0251439551628618,-0.0176207867410565,0.0526653157248713,0.0862105738833082,0.23969996549191,0.17592488217777,0.387751903475725,0.418650353418541,0.510097111460809,0.500954971637844,NaN,NaN,NaN,NaN
2750,NaN,NaN,0.215889694889222,-0.0782636346003159,-0.0951918959775094,NaN,NaN,-0.0103437965594127,0.00429796550943547,0.0965209000774341,0.130607014465857,0.270272542454553,0.213579178656096,0.471684362974265,0.500147686088286,0.581008561248913,0.568746206061343,NaN,NaN,NaN,NaN
3000,NaN,NaN,0.131493181433469,-0.0925966602404587,-0.100375362731796,NaN,NaN,0.018087518259787,0.0381678788995648,0.143216481498619,0.176882622147521,0.303456109786883,0.253986182820634,0.549661199686169,0.574883007855574,0.646850673517195,0.631615994869836,NaN,NaN,NaN,NaN
3250,NaN,NaN,0.0683492504938087,-0.102363495989441,-0.101922223771241,NaN,NaN,0.0554064280240926,0.0800959473476777,0.191484978287986,0.224276041775246,0.339104036546927,0.296499430953287,0.621969924108828,0.643524848855251,0.707880525122359,0.689914598099253,NaN,NaN,NaN,NaN
3500,NaN,NaN,0.0216327913490229,-0.10824734448026,-0.100360542467621,NaN,NaN,0.0984560120730579,0.127386474669232,0.240456957313773,0.272245105212592,0.376855608706159,0.340526451838537,0.689025636176872,0.706735052833992,0.764472762447041,0.744048977935094,NaN,NaN,NaN,NaN
3750,NaN,NaN,-0.0121847332772339,-0.11081110498232,-0.0961274498063547,NaN,NaN,0.145105625585242,0.178144244545039,0.289535774078838,0.320402719239986,0.416263628265198,0.385546354044483,0.751276688165822,0.765116086891605,0.817025023799586,0.79441811490552,NaN,NaN,NaN,NaN
4000,NaN,NaN,-0.0357368392471845,-0.110521610459047,-0.0895873682725933,NaN,NaN,0.193896302797987,0.23102102035401,0.338313417689328,0.368472126353459,0.456866381922127,0.431117593750802,0.809160348968551,0.819198756179641,0.865918802739228,0.841389262457043,NaN,NaN,NaN,NaN
4250,NaN,NaN,-0.051024172585816,-0.107768596574883,-0.0810462016363788,NaN,NaN,0.243817119748445,0.285049543107477,0.386513360540654,0.416255655457059,0.498229225624081,0.47687912405958,0.863083229830802,0.869444778743493,0.911504545253258,0.885291238065099,NaN,NaN,NaN,NaN
4500,NaN,NaN,-0.0595903721526709,-0.102879538319983,-0.0707624170929858,NaN,NaN,0.294161893938913,0.339532204927622,0.433951376556689,0.463612759809588,0.539968086076693,0.522546775508637,0.913414247479376,0.916254172265816,0.954097555104093,0.92641476981908,NaN,NaN,NaN,NaN
4750,NaN,NaN,-0.0626428951702586,-0.0961312930658877,-0.0589557481696133,NaN,NaN,0.344435402660014,0.393964822686167,0.480508409163133,0.510444452440299,0.581761218677136,0.56790616740045,0.960483829715723,0.959973557658452,0.993978665484382,0.965015579992772,NaN,NaN,NaN,NaN
5000,NaN,NaN,-0.0611378004205882,-0.0877592860218517,-0.0458140749413697,NaN,NaN,0.394290687116839,0.44798351039441,0.526111600049782,0.556682174723539,0.623352765164132,0.612803250979119,1.00458604576883,1.00090395069498,1.03139687808088,1.00131830986659,NaN,NaN,NaN,NaN
5250,NaN,NaN,-0.0558403694037082,-0.0779648023064534,-0.0314989022360744,NaN,-0.450098738935056,0.443486305917303,0.501327083642519,0.57072090365097,0.602279762822674,0.664550368809625,0.657133523559272,1.04598192598551,1.0393076002136,1.06657265836771,1.03552046545726,NaN,NaN,NaN,NaN
5500,NaN,NaN,-0.0473691876351823,-0.0669208145323451,-0.0161497531293073,-0.473928620967658,-0.324135216510577,0.491856675985399,0.553810103954174,0.61431956539126,0.647207599307317,0.705218559655619,0.700830911212674,1.08490309061574,1.07541381767486,1.09970128053491,1.06779605194647,NaN,NaN,NaN,NaN
5750,NaN,1.01954122699561,-0.0362286891140675,-0.0547766714628829,0.000112282389086809,-0.35158058843829,-0.209560386642282,0.53929117713592,0.605303330156291,0.656907299882196,0.691448321028064,0.745269422740353,0.743857229296094,1.12155526555431,1.10942388317219,1.13095595587701,1.09829878733264,NaN,NaN,NaN,NaN
6000,NaN,0.806246649145826,-0.0228335159703283,-0.0416618954274122,0.0171816613731968,-0.240181715100096,-0.104485306104211,0.585719234800153,0.65571939939471,0.698495373946401,0.734993645846379,0.784651981246432,0.786192961380704,1.15612150286971,1.14151515330023,1.16049064398043,1.12716488549993,NaN,NaN,NaN,NaN
6250,NaN,0.62808128999216,-0.00752698125861939,-0.0276892777612732,0.0349660252832139,-0.138004772834582,-0.00742524017903512,0.631099548700696,0.705002246793839,0.739103045469843,0.777842011059013,0.823341620713682,0.827829846128888,1.1887650457939,1.17184449725045,1.18844252555097,1.15451544070164,NaN,NaN,NaN,NaN
6500,NaN,0.47937873481149,0.00940477678626268,-0.0129574176925178,0.0533842536715863,-0.0436694162412851,0.0828007112660665,0.675412239224263,0.753119227698606,0.778754975166062,0.819996805727732,0.861330664865427,0.868765458189713,1.21963183700748,1.20055117442991,1.21493415231501,1.18045846006143,NaN,NaN,NaN,NaN
6750,NaN,0.355504608789768,0.0277218292583634,0.0024471829084107,0.072364851268703,0.0439383612853814,0.167142050760033,0.718653073880682,0.800055213101963,0.817479341606546,0.86146504103726,0.89862086219439,0.908999669010153,1.24885269563427,1.22775925021764,1.24007530453651,1.20509059280174,NaN,NaN,NaN,NaN
7000,NaN,0.252646491738917,0.0472218791459723,0.0184483814615856,0.0918446038069134,0.125725847463723,0.246369917805087,0.760829193777093,0.84580813869121,0.855306467923792,0.902256346107816,0.935218094338127,0.948532642042802,1.27654519837124,1.25357963029338,1.2639645911624,1.22849860161415,NaN,NaN,NaN,NaN
7250,NaN,0.167650782264279,0.0677334918868014,0.0349789448209368,0.111767451819564,0.202438271522227,0.321116434234937,0.801955932808316,0.89038563345679,0.892267822911094,0.942382207264312,0.971129169129422,0.987363904133272,1.30281530202749,1.27811177972193,1.286690826993,1.25076061630846,NaN,NaN,NaN,NaN
7500,NaN,0.097895182163959,0.0891107086009742,0.0519793336771589,0.132083542298142,0.274692628119864,0.391904251106605,0.842054440011857,0.933802455945145,0.928395297399076,0.981855390551833,1.00636023259938,1.02549205122961,1.32775874279,1.30144518096179,1.30833421841679,1.27194720422241,NaN,NaN,NaN,NaN
7750,NaN,0.0411883802062076,0.111228726663049,0.0693966784466968,0.152748426300882,0.343003556394676,0.459168988535459,0.881149896937982,0.976078538727046,0.963720683829876,1.02068950294944,1.04091620923828,1.06291475530296,1.35146224401483,1.32366057505746,1.32896738559688,1.2921222865519,NaN,NaN,NaN,NaN
8000,NaN,-0.00430936039655086,0.133980411379059,0.0871839125303157,0.17372237697951,0.407803329022091,0.523276457134403,0.919270178893641,1.01723749362424,0.998275306273606,1.05889865908838,1.07480075543433,1.09962887606673,1.37400456038382,1.34483102219258,1.34865624526072,1.31134392504757,NaN,NaN,NaN,NaN
8250,NaN,-0.0401494465153969,0.157273460081616,0.105299035571098,0.194969807470074,0.46945742936154,0.584536004047766,0.956444849315861,1.05730546784697,1.03208976204817,1.09649722857743,1.10801639593156,1.13563058995731,1.39545738241153,1.36502281122454,1.36746077475725,1.32966499947786,NaN,NaN,NaN,NaN
8500,NaN,-0.0676456161510231,0.181028082263165,0.123704484630857,0.21645877200834,0.528276791863608,0.643210950334417,0.992704405463539,1.0963102686472,1.06519374619897,1.1334996451462,1.14056469098946,1.17091550922891,1.41588612177241,1.38429624251237,1.3854356749364,1.34713379285073,NaN,NaN,NaN,NaN
8750,NaN,-0.0879147461351496,0.205175090777548,0.142366595375159,0.238160536726191,0.584527496030852,0.699526823604756,1.02807971454253,1.13428069429132,1.09761593746792,1.16992026334659,1.1724463880281,1.20547878698823,1.43535059482555,1.40270630405124,1.40263094670634,1.36379449854417,NaN,NaN,NaN,NaN
9000,NaN,-0.101909898746193,0.229654322676764,0.161255138665348,0.26004920904839,0.638438500516296,0.753677903920742,1.06260159464908,1.17124602412886,1.12938392979979,1.20577325193328,1.20366155180602,1.23931520949769,1.4539056190496,1.42030325744129,1.41909239381689,1.37968766113983,NaN,NaN,NaN,NaN
9250,NaN,-0.110447220380571,0.254413326037882,0.180342920594349,0.282101416579247,0.69020785673975,0.805832467987975,1.09630050615107,1.20723563170943,1.16052419743858,1.24107251558393,1.23420967596891,1.2724192775916,1.47160153483124,1.43713314738691,1.43486206246386,1.3948505608072,NaN,NaN,NaN,NaN
9500,NaN,-0.114227943375806,0.27940626269058,0.199605436118212,0.304296027953238,0.740007733979708,0.856137020519888,1.12920632745389,1.24227869329593,1.19106208464312,1.27583163853861,1.26408977923221,1.30478527878669,1.48848466313336,1.45323824611482,1.44997862666433,1.40931754947743,NaN,NaN,NaN,NaN
9750,NaN,-0.11385646686756,0.304592987163189,0.219020568139925,0.326613909404534,0.787988508780618,0.90471973143478,1.16134819531292,1.27640397046696,1.22102181327246,1.31006384519625,1.29330048884143,1.33640735139586,1.50459770795509,1.46865744221411,1.46447772697269,1.42312034571813,NaN,NaN,NaN,NaN
10000,NaN,-0.109855282126155,0.329938270214734,0.238568325282289,0.349037711850934,0.834282112735397,0.951693245777636,1.19275439452283,1.30963965032387,1.25042650315834,1.34378197381932,1.32184011341394,1.3672795417336,1.51998011114099,1.48342658185568,1.47839226894974,1.4362882941221,NaN,NaN,NaN,NaN
