PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,1.49037782912862,0.121083843551456,0.0284714457772189,NaN,NaN,0.26612828468656,0.212726408951204,-0.0355315766359243,-0.0450712456275581,0.0992548909245886,0.0497654559941188,-0.0126536787339126,0.00459039188142705,0.183754275352942,0.179911253817372,NaN,NaN,NaN,NaN
1750,NaN,NaN,1.07365467743061,0.0644101279175445,-0.0103031515093289,NaN,NaN,0.147870740844928,0.0914954342594504,-0.0388131876574893,-0.0287063400347369,0.135144010051163,0.0681615984070246,0.0735489086282255,0.10052728688703,0.253853817461045,0.253603160396564,NaN,NaN,NaN,NaN
2000,NaN,NaN,0.774573969401435,0.0185602346204172,-0.0405705863572299,NaN,NaN,0.0490010714266607,0.0164183130414164,-0.0241411223478741,-0.00231991119781357,0.161864231929917,0.091487049276921,0.168680132302177,0.20111120515952,0.334230680889348,0.333253271784171,NaN,NaN,NaN,NaN
2250,NaN,NaN,0.55470239465622,-0.0181268583519756,-0.0636604140308011,NaN,NaN,-0.00470648856345457,-0.0175406079907703,0.0028642639262215,0.0313091740988955,0.186879174012174,0.119680521416066,0.263330062929749,0.297774758066466,0.414471574910493,0.411041326928683,NaN,NaN,NaN,NaN
2500,NaN,NaN,0.390363082874241,-0.0471008494854937,-0.0807002110643438,NaN,NaN,-0.0233003756323907,-0.0226635529167126,0.0381540905903879,0.0700033178976381,0.213309098722959,0.152230807433987,0.353895226083096,0.387883358823593,0.491035535502812,0.484523150613478,NaN,NaN,NaN,NaN
2750,NaN,NaN,0.266240007899756,-0.0695748220611024,-0.0926234796344081,NaN,NaN,-0.0179163975402823,-0.00805978166709475,0.0788876605404824,0.112158600729661,0.24233431165155,0.188464809220011,0.4390957237709,0.471001296585318,0.562829297260628,0.553106995877141,NaN,NaN,NaN,NaN
3000,NaN,NaN,0.172023784239133,-0.0865498647416152,-0.100198375571658,NaN,NaN,0.00342721134163132,0.0200660814974256,0.123085655843719,0.156615410848042,0.274216771946586,0.227675266401603,0.518640841250148,0.547473425593254,0.629694683433202,0.616870837725052,NaN,NaN,NaN,NaN
3250,NaN,NaN,0.100542732108595,-0.0988499883447849,-0.104057824337744,NaN,NaN,0.0353487196679813,0.05747102961745,0.169368859525828,0.202538464089157,0.308773801624497,0.269183071478693,0.592674985043722,0.61788340597243,0.69183786685965,0.676128636438155,NaN,NaN,NaN,NaN
3500,NaN,NaN,0.046667832776056,-0.107155083363808,-0.104725677661005,NaN,NaN,0.0742505998941599,0.101203470589275,0.216774375530546,0.249325093326772,0.345615032411911,0.312369361623446,0.661528448484475,0.682849210843069,0.749597238596332,0.731261243411362,NaN,NaN,NaN,NaN
3750,NaN,NaN,0.00664339232948999,-0.112028750428201,-0.102638044072535,NaN,NaN,0.117697167309274,0.149176228269853,0.264629116818572,0.296539108327731,0.384268880296169,0.356691736856751,0.725598504524345,0.742949970082101,0.803344774219116,0.782649022651377,NaN,NaN,NaN,NaN
4000,NaN,NaN,-0.0223371056870421,-0.113940829282299,-0.0981602718993121,NaN,NaN,0.164013456255929,0.199893724736144,0.312463030599432,0.343863954757548,0.424253492157935,0.401690980091089,0.785291472363183,0.798704089294454,0.85344387460507,0.830646024340658,NaN,NaN,NaN,NaN
4250,NaN,NaN,-0.0424082593402414,-0.113285334997173,-0.0916003637946083,NaN,NaN,0.212031524800141,0.252273557991643,0.359949337033561,0.391069626373159,0.465117494156813,0.446991411592076,0.840995276794278,0.850567032570202,0.900232288817338,0.875571749578546,NaN,NaN,NaN,NaN
4500,NaN,NaN,-0.0552189581103002,-0.110394663792684,-0.0832195676203708,NaN,NaN,0.260928212433167,0.305526882102696,0.406863066214656,0.437989194050175,0.506462834957246,0.492296663688155,0.893067739962201,0.898936159675961,0.944016475675194,0.917710400182228,NaN,NaN,NaN,NaN
4750,NaN,NaN,-0.0620604491671061,-0.10555084959886,-0.0732407651754696,NaN,NaN,0.310119273462524,0.359076419751772,0.45305203955786,0.484502036436589,0.547956031092697,0.537382124725844,0.941832962416957,0.944157592178242,0.985071182246947,0.957313179357202,NaN,NaN,NaN,NaN
5000,NaN,NaN,-0.0639562861362303,-0.0989945139666625,-0.0618551506923572,NaN,NaN,0.35918877523986,0.412499197879184,0.498416378077647,0.530521757773452,0.589331323858846,0.582085115734686,0.987581717335916,0.986533154197099,1.02364130699391,0.994601657605417,NaN,NaN,NaN,NaN
5250,NaN,NaN,-0.061726699919343,-0.0909320170346236,-0.0492275798225941,NaN,-0.587092322512609,0.407841030442251,0.465485903811954,0.542893906184946,0.575987406837505,0.630387976708619,0.626293812026531,1.03057368437914,1.02632668765876,1.05994464167246,1.02977131806909,NaN,NaN,NaN,NaN
5500,NaN,NaN,-0.0560354449270837,-0.0815412035986971,-0.0355008812103055,NaN,-0.45179017506734,0.455867255578366,0.517811638003344,0.586449670661328,0.620857040554647,0.670983403255408,0.669935888663146,1.07104038688072,1.0637695517602,1.0941748192795,1.06299490270531,NaN,NaN,NaN,NaN
5750,NaN,NaN,-0.0474244116462855,-0.0709760480090171,-0.0207993543661665,-0.4874556880013,-0.329267040155233,0.503122061642093,0.569314615462937,0.629068359463353,0.665102968001104,0.711023622555887,0.712967786470139,1.10918825924435,1.09906531709432,1.12650415593344,1.09442541725973,NaN,NaN,NaN,NaN
6000,NaN,1.04169318523576,-0.0363395534187982,-0.0593704317213222,-0.00523162551998376,-0.367347314520325,-0.217348732390936,0.54950663912586,0.619880493538801,0.670748782705735,0.708708209643509,0.750452462617248,0.755365330828942,1.14520157222904,1.13239373644112,1.15708625408068,1.12419876242928,NaN,NaN,NaN,NaN
6250,NaN,0.832099559688811,-0.0231505509702201,-0.0468412338819722,0.0111070062651214,-0.257647163500921,-0.114333074844832,0.594956581655822,0.669430734133546,0.711499832855104,0.751663843193038,0.789240831554045,0.797116187236574,1.17924510104974,1.16391409226406,1.18605832354562,1.15243600719473,NaN,NaN,NaN,NaN
6500,NaN,0.655703735297449,-0.00816589833051029,-0.0334908746268536,0.0281326302570429,-0.156754342561291,-0.018871402564635,0.639432974271476,0.717913892238514,0.751337514531189,0.793967001776263,0.827377163346954,0.838214335677661,1.21146650118723,1.19376801767807,1.21354322016306,1.17924533962143,NaN,NaN,NaN,NaN
6750,NaN,0.507347819690025,0.00835540207261654,-0.0194094197841036,0.0457711126751411,-0.0633816807097978,0.0701166597824823,0.682915811264033,0.765299048898775,0.790282753471782,0.835619355864469,0.864859795604155,0.878656446271778,1.24199839582186,1.22208187684573,1.2396512214223,1.20472373580745,NaN,NaN,NaN,NaN
7000,NaN,0.382779760751017,0.0261946852701821,-0.00467633201399574,0.0639567502012648,0.0235153182922581,0.15350538691232,0.72539909673917,0.81157083018207,0.828359776910965,0.876625956631837,0.901691589185348,0.918439807283806,1.27096019641203,1.2489687782233,1.26448156620951,1.22895838665165,NaN,NaN,NaN,NaN
7250,NaN,0.278475385365153,0.0451663944996873,0.0106380647101545,0.0826311390392743,0.104791528718129,0.232008942446191,0.766887173883576,0.856725608943821,0.865594915545734,0.916994351215564,0.937876650947563,0.957561343797588,1.29845968452626,1.27453028215305,1.28812378734938,1.25202791844339,NaN,NaN,NaN,NaN
