PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,1.80430175721324,0.168806335645967,0.0608276081292846,NaN,NaN,0.300036121664806,0.281065388999499,-0.0170325597741714,-0.043371077620587,0.0723915456960936,0.027759806366685,-0.0591254803321831,-0.0466006677477354,0.145177371442534,0.144304699443618,NaN,NaN,0.50769288709087,NaN
1750,NaN,NaN,1.32760280575221,0.107582343982749,0.0179162857134842,NaN,NaN,0.254568626118272,0.164219356951129,-0.0336890628063484,-0.0369840685851093,0.101453114457464,0.0396177286378773,0.0111995527914897,0.0373482776084361,0.212761607490595,0.216443528808343,NaN,NaN,0.582916710512649,NaN
2000,NaN,NaN,0.982012350246069,0.0566375539346295,-0.0168811888942753,NaN,NaN,0.128412779086182,0.0614916623601346,-0.0308949886505283,-0.0191787862624734,0.122379223109134,0.0574680176264762,0.099873938777873,0.134605020093977,0.292148312165318,0.29569772402322,NaN,NaN,0.648377220559873,NaN
2250,NaN,NaN,0.725149716950756,0.0146444237167685,-0.0446657906216357,NaN,NaN,0.0403265514826081,0.00230253336361892,-0.0139609491262917,0.00725920046258903,0.14249762251227,0.0810524378114003,0.192657252586469,0.231664603391586,0.372500525732468,0.373911928913304,NaN,NaN,0.705151749489886,NaN
2500,NaN,NaN,0.530763901449582,-0.0196598011026871,-0.0664321168283091,NaN,NaN,-0.00613492617962687,-0.0229900326470251,0.0129739783044708,0.0399932442164723,0.164785976913364,0.109703636180122,0.283782075242348,0.32383742815044,0.449954212170204,0.448393420887061,NaN,NaN,0.754635574103166,NaN
2750,NaN,NaN,0.381800200138934,-0.0473823122184646,-0.0830350368365799,NaN,NaN,-0.0219407074218287,-0.0243421902413553,0.0468565751759217,0.0772341909743817,0.19030158782796,0.1426270892972,0.37089157027684,0.40978683371822,0.52317590349451,0.518369333433989,NaN,NaN,0.798054969573087,NaN
3000,NaN,NaN,0.266737500315857,-0.0694648331209209,-0.0951961945765195,NaN,NaN,-0.0166830959438829,-0.00890297021432326,0.0854769896633394,0.117651289690222,0.219205942446836,0.179020902836065,0.453110624973811,0.489437917160492,0.591834157376936,0.583788651932343,NaN,NaN,0.836406612674913,NaN
3250,NaN,NaN,0.177536188644012,-0.0866994584411868,-0.103521558256818,NaN,NaN,0.00289057244715602,0.018369784755249,0.127244443432822,0.160262706080625,0.251235476267513,0.218131514612143,0.530246872377846,0.563165861360025,0.656011821892452,0.644874328681635,NaN,NaN,0.870486201771514,NaN
3500,NaN,NaN,0.108430529839966,-0.0997506616988948,-0.10852018850228,NaN,NaN,0.0322070205835565,0.0539990296359855,0.17101396289663,0.204344026115395,0.285934682882995,0.259280798020422,0.602429132142344,0.631478809294617,0.715959844719796,0.701943108125291,NaN,NaN,0.90092932229813,NaN
3750,NaN,NaN,0.055187865632049,-0.109176644552812,-0.110621083964458,NaN,NaN,0.0681523904976289,0.0955035456713805,0.215960203433447,0.249359120824363,0.322779198088968,0.301878622551035,0.669931417902427,0.694895341849528,0.771988186705499,0.755330128709102,NaN,NaN,0.928247232126519,NaN
4000,NaN,NaN,0.0146377560386097,-0.115447933715694,-0.110187370104766,NaN,NaN,0.108573886325626,0.141085013843785,0.261487458640128,0.294909678813999,0.361244047733145,0.345426902325128,0.733083633880515,0.753899655672613,0.824416216354675,0.805357473589967,NaN,NaN,0.952854988301178,NaN
4250,NaN,NaN,-0.0156366219359193,-0.118962885141403,-0.107527935734025,NaN,NaN,0.151958489005952,0.189423735666856,0.307165808692399,0.34069875194526,0.400842325729034,0.389517986364011,0.792226019552413,0.808927963738109,0.873550408170793,0.852322031990396,NaN,NaN,0.975092844446163,NaN
4500,NaN,NaN,-0.037506213093289,-0.120060363902015,-0.102906873366479,NaN,NaN,0.197227371040782,0.239541980199872,0.352685726696636,0.386504429021626,0.441146466614271,0.433828971879267,0.847686668468947,0.86036729243681,0.919675047762369,0.896492038233867,NaN,NaN,0.995242407496621,NaN
4750,NaN,NaN,-0.0524392529050026,-0.119030034266269,-0.0965511138133195,NaN,NaN,0.243602434810319,0.290710322443979,0.397825635284515,0.432160736971782,0.481798297473224,0.478113044610148,0.899771373117627,0.908558934195221,0.963049242273874,0.93810747986821,NaN,NaN,1.01353886917564,NaN
5000,NaN,NaN,-0.0616020130634125,-0.116120694945965,-0.088656605883883,NaN,NaN,0.290517830432124,0.342382070585791,0.44242856013573,0.477543691409893,0.522511279429419,0.522188808251271,0.948759981961554,0.953803352405629,1.00390696836659,0.977382132265809,NaN,NaN,1.03018033034149,NaN
5250,NaN,NaN,-0.0659310238187091,-0.111547039972969,-0.079393333785906,NaN,NaN,0.337559994757527,0.394146524843894,0.486385205591417,0.522561029704757,0.563067092235498,0.565928544686597,0.994906092112993,0.996365229704455,1.04245852138323,1.01450615957433,NaN,NaN,1.04533497166518,NaN
5500,NaN,NaN,-0.0661857189392596,-0.10549515973225,-0.0689094081327291,NaN,NaN,0.384426173608353,0.445695148147951,0.52962159511513,0.567144594349303,0.603308196623222,0.609246335220061,1.0384383546102,1.03647815372165,1.07889253534462,1.04964878526424,NaN,NaN,1.05914662004985,NaN
5750,NaN,NaN,-0.0629873916259816,-0.0981270353270971,-0.057334417800237,NaN,-0.589380848007174,0.430895194482449,0.496796760923585,0.572089981401776,0.611244638299049,0.643127831554677,0.652086905988071,1.07956247275945,1.07434877705509,1.11337815359089,1.08296080980176,NaN,NaN,1.0717391106078,NaN
6000,NaN,NaN,-0.0568484166084665,-0.0895842275038873,-0.0447821902707393,NaN,-0.461747195457851,0.47680653366011,0.547279146899176,0.61376211701133,0.65482553542092,0.682458840188701,0.694415906823705,1.11846341417929,1.11016043254757,1.1460671429183,1.11457688767144,NaN,NaN,1.08321973630364,NaN
6250,NaN,NaN,-0.0481944444564483,-0.0799909192304065,-0.0313530766828234,-0.521288396253396,-0.345165241221793,0.522045109499124,0.597015278288701,0.654624242573186,0.697862526606196,0.721262626291417,0.736212091609719,1.1553075955506,1.14407624250166,1.17709585593118,1.14461754156995,NaN,NaN,1.0936820001519,NaN
6500,NaN,NaN,-0.0373814507241362,-0.069456437569677,-0.0171358531864777,-0.404939046833628,-0.237872193989062,0.566530098408209,0.645912910703451,0.694673334212039,0.740339235370087,0.759519337119052,0.777461570563544,1.1902449267463,1.17624177982878,1.2065870050482,1.17319092243224,NaN,NaN,1.10320782935773,NaN
6750,NaN,0.897652321958607,-0.0247089698755354,-0.0580773542062199,-0.00220931100909465,-0.298085010809807,-0.138466042979011,0.61020662087335,0.693906663122545,0.733914280809066,0.782245759591503,0.797220023495817,0.818154007745516,1.22341066855302,1.20678734189003,1.234651241934,1.20039433720371,NaN,NaN,1.11186937066801,NaN
7000,NaN,0.722837011342274,-0.0104304667962938,-0.0459392434173962,0.0133564073099275,-0.199332805298602,-0.0458201090205577,0.653039503460007,0.740951948397514,0.772357752510125,0.823577197803075,0.834361082183752,0.858280406937135,1.25492709322294,1.23582989370036,1.26138855114949,1.22631557069077,NaN,NaN,1.11973045697781,NaN
7250,NaN,0.573736344413575,0.00523846261379519,-0.0331181602065188,0.0294986797156813,-0.107549822021394,0.0409797512394868,0.69500856077968,0.787020293870167,0.81001858633429,0.864332505516145,0.870940837118549,0.897832016980298,1.28490495456572,1.263474730666,1.28688947357142,1.25103402792617,NaN,NaN,1.12684781377442,NaN
7500,NaN,0.446715384185784,0.0221135538883252,-0.0196818887300178,0.0461614477823124,-0.0218079308336656,0.122681873663288,0.736105002395169,0.832095714519254,0.846914560838511,0.904513603838279,0.90695778566054,0.936799904931359,1.31344478231429,1.28981690409404,1.31123617746962,1.27462172161645,NaN,NaN,1.13327205810222,NaN
7750,NaN,0.338720518947175,0.0400366223101133,-0.00569100127294897,0.0632944016802009,0.0586592879066762,0.199903963058419,0.776328680326715,0.876171888773377,0.883065465035489,0.944124682129331,0.942409909549119,0.975174855676444,1.34063801848297,1.3149424462008,1.33450339516773,1.29714412660356,NaN,NaN,1.13904853085215,NaN
8000,NaN,0.247175179640663,0.0588713140961158,0.00880023975382904,0.0808522830834957,0.134489292382717,0.273159859491594,0.815685970080927,0.919249950460319,0.918492390912048,0.983171650738883,0.977294525991859,1.01294739533108,1.36656801379723,1.33892942556735,1.35675924212025,1.3186609204796,NaN,NaN,1.1442179942275,NaN
8250,NaN,0.169896172794849,0.0784996460675485,0.0237431104754654,0.0987942866055808,0.206215885675816,0.342880110111666,0.854188132791375,0.961336756542729,0.953217196568587,1.02166171043522,1.01160834105795,1.05010784650688,1.39131090133469,1.36184885901494,1.37806593365696,1.33922662683321,NaN,NaN,1.14881721943687,NaN
8500,NaN,0.105026211822884,0.0988191699404618,0.0390937634429074,0.117083543907258,0.274288938372371,0.409427928675286,0.89185004522111,1.00244352426923,0.987262100023952,1.0596030130035,1.04534754785969,1.08664638530394,1.41493636299949,1.38376550165996,1.39848041292288,1.35889117520348,NaN,NaN,1.15287948445716,NaN
8750,NaN,0.0509792400744067,0.119740634932952,0.0548126572200383,0.135686677467001,0.339089883252179,0.473111685878299,0.928689212747227,1.04258475658131,1.02064937339093,1.09700439338859,1.07850792009563,1.12255309371025,1.43750830274593,1.40473853337453,1.41805490185631,1.37770038971121,NaN,NaN,1.15643499769067,NaN
9000,NaN,0.0063959061962769,0.14118605056906,0.0708640632638162,0.154573413288228,0.400943980809861,0.534194765406654,0.964725001210316,1.08177739346727,1.05340111433902,1.13387515820903,1.11108489292281,1.15781800709177,1.45908543877551,1.42482215693103,1.43683738548791,1.39569641652292,NaN,NaN,1.15951126021738,NaN
9250,NaN,-0.0298928630548213,0.163087072888977,0.0872156382102616,0.173716243663585,0.460130098209284,0.592903401775722,0.99997803884912,1.12004014115078,1.08553907717595,1.17022491884813,1.14307363246787,1.19243115730401,1.47972182535266,1.44406612065669,1.45487203844417,1.41291809875735,NaN,NaN,1.16213337689894,NaN
9500,NaN,-0.0588958000730613,0.185383653549637,0.103838051714958,0.19309013261265,0.51688855867859,0.649432958922069,1.03446975096741,1.1573929417646,1.11708454996829,1.20606345991041,1.17446909602799,1.22638261194107,1.49946731346088,1.46251617638598,1.4721996013074,1.42940130613516,NaN,NaN,1.16432432466529,NaN
9750,NaN,-0.0814860074283179,0.208022903810904,0.120704661650608,0.212672257828469,0.57142748261714,0.703952994568609,1.06822199856009,1.19385655437074,1.14805826722485,1.24140063581493,1.20526608462013,1.25966251016167,1.5183679582631,1.48021448180445,1.48885771341345,1.44517922556895,NaN,NaN,1.16610518478829,NaN
10000,NaN,-0.0984214408406251,0.230958135091036,0.137791229813357,0.232441783965762,0.623927941530541,0.756611371944651,1.10125679861457,1.22945222448901,1.17848035003407,1.27624628982954,1.23545928917734,1.29226109546651,1.53646638023354,1.49719995486784,1.50488120774514,1.4602826179609,NaN,NaN,1.16749534472886,NaN
