PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,0.272534095498285,0.133522489035917,NaN,NaN,NaN,0.0244258920778825,0.0400323702453464,-0.022515606333159,0.0475959841422516,0.0145448570829064,-0.112649422788407,-0.118377521042453,0.0721281823793897,0.0738909432380444,NaN,NaN,0.459648062281588,NaN
1750,NaN,NaN,1.92761003397148,0.205078283981038,0.0846747043132224,NaN,NaN,0.345902739360875,0.307206233238151,-0.00183279825413136,-0.036631867863736,0.0594616235876309,0.0100200414190574,-0.0961792330418677,-0.0788857098130765,0.129970690449129,0.139207343762673,NaN,NaN,0.540436865965979,NaN
2000,NaN,NaN,1.47969817291774,0.146191305286926,0.0427310595776001,NaN,NaN,0.340702963679422,0.196504890908596,-0.0231755728848463,-0.037216102762622,0.0661588665249151,0.0142189223033435,-0.0320556258096435,0.00207727414929276,0.203890523959388,0.215072080273638,NaN,NaN,0.611758020595264,NaN
2250,NaN,NaN,1.1409826251356,0.0953558383760609,0.00713349602429334,NaN,NaN,0.203586951550263,0.0886700098713258,-0.0277791246228377,-0.0266929548135657,0.0743476628828854,0.0262853823996848,0.0500369400877208,0.0948259452463991,0.281832550250422,0.292259900403295,NaN,NaN,0.674370268651673,NaN
2500,NaN,NaN,0.879811601601061,0.0517892686927517,-0.0227808982495202,NaN,NaN,0.0935482982828929,0.0186359964932571,-0.0194426450655115,-0.00751653394300528,0.0865271442771299,0.0451231944012702,0.137713588001655,0.188072142780891,0.359039030012069,0.367342807790589,NaN,NaN,0.729516585205067,NaN
2750,NaN,NaN,0.675434722742459,0.0146753778250468,-0.0476591536155107,NaN,NaN,0.0247490121312752,-0.0195063409672589,-0.00134977625498038,0.0182601093940629,0.103405292158294,0.0696230349238745,0.225446724511987,0.277655752874102,0.433534473954247,0.439041791038121,NaN,NaN,0.778355234940253,NaN
3000,NaN,NaN,0.513730405911838,-0.0167491551674148,-0.0680906012980544,NaN,NaN,-0.0112675181423936,-0.0339971951362936,0.023993489730638,0.0490191427099909,0.124883250867384,0.0987467682263141,0.310681820690577,0.362215485131666,0.504531348383895,0.506956168621118,NaN,NaN,0.82185814378106,NaN
3250,NaN,NaN,0.38478252519079,-0.0431670544341411,-0.0845964260327645,NaN,NaN,-0.0237279428810463,-0.0311712184720691,0.0546634985616551,0.0835124718284004,0.150499486054758,0.131559915551138,0.392267777158002,0.441496291757231,0.57178866542083,0.571065432063299,NaN,NaN,0.860818486079802,NaN
3500,NaN,NaN,0.281440582138441,-0.0651767639777287,-0.0976315744202567,NaN,NaN,-0.0195455269294028,-0.0155935911783314,0.0891981615564624,0.120783290370646,0.17964512921886,0.167243250503669,0.469758179279859,0.515673529284747,0.635326387347074,0.631515200371376,NaN,NaN,0.895880516520248,NaN
3750,NaN,NaN,0.198429573682297,-0.0832981555718522,-0.107591115829707,NaN,NaN,-0.00356003617903978,0.00943234598128369,0.126489610391685,0.160097992806986,0.21167499299617,0.205094779346731,0.543070516527073,0.585077739217424,0.695288665963017,0.688519199062002,NaN,NaN,0.927569465798431,NaN
4000,NaN,NaN,0.131780542448095,-0.0979813503835985,-0.114817732725724,NaN,NaN,0.0208562081528097,0.0414777817383426,0.165698364786524,0.200892438467885,0.245967461585741,0.24452641585692,0.612308586327207,0.650081101135828,0.751875079246182,0.742312651836098,NaN,NaN,0.956316496188115,NaN
4250,NaN,NaN,0.0784552910158869,-0.109615979094951,-0.119608979383352,NaN,NaN,0.0513222229440311,0.0787283917872659,0.206187538794626,0.24273104294877,0.281957270148033,0.285057129141462,0.677666624087993,0.711050781067965,0.805305075800199,0.793129891283104,NaN,NaN,0.982478397706792,NaN
4500,NaN,NaN,0.0360925360967946,-0.118539800629427,-0.122223805800667,NaN,NaN,0.0861275981226543,0.119810775216899,0.247473287625665,0.28527604955536,0.31915253764592,0.326303460628364,0.739377077233211,0.768330631678128,0.855799457642803,0.841193885264696,NaN,NaN,1.00635285241899,NaN
4750,NaN,NaN,0.00283221792476294,-0.125046311792567,-0.122888217957789,NaN,NaN,0.124022979303486,0.163674222554447,0.289187717726783,0.328264519481465,0.357141718481874,0.367968068743645,0.797682446978172,0.8222351365817,0.903570917939053,0.886711787585187,NaN,NaN,1.02819022346728,NaN
5000,NaN,NaN,-0.0228086033084416,-0.129391292865311,-0.121800103030636,NaN,NaN,0.164082498600966,0.209508184810025,0.331051138145378,0.371491068221929,0.395593539648201,0.409826967731085,0.852820531340104,0.873048671459092,0.948819501565107,0.929873566214678,NaN,NaN,1.04820268811102,NaN
5250,NaN,NaN,-0.0420250240110062,-0.131798363437884,-0.11913330743226,NaN,NaN,0.205611833933827,0.256683358594745,0.372851246761032,0.414794854426717,0.434251845767445,0.451716202457927,0.905017112603235,0.921027018229111,0.99173077039432,0.970852187080446,NaN,NaN,1.06657135621924,NaN
5500,NaN,NaN,-0.0557895814380625,-0.132463667744525,-0.11504107082622,NaN,NaN,0.248085436178884,0.30470881757324,0.414427452661477,0.458049716553415,0.472926828638802,0.493518751831159,0.954482745818829,0.966399745093814,1.03247544954139,1.00980455031182,NaN,NaN,1.08345185978926,NaN
5750,NaN,NaN,-0.0649007056557617,-0.131559815887403,-0.109658915661696,NaN,NaN,0.291102745152222,0.353200315160696,0.455659008148395,0.501156647866499,0.51148398891437,0.535152427759273,1.00141177586711,1.0093728163795,1.07120986619503,1.0468727507539,NaN,NaN,1.09897877669499,NaN
6000,NaN,NaN,-0.0700191659009135,-0.129239198533859,-0.103107080990258,NaN,NaN,0.334357037519488,0.401856528556165,0.496455976729344,0.544038017655852,0.549832147037038,0.576559410551236,1.04598253714587,1.05013114317708,1.10807678933511,1.08218543511764,NaN,NaN,1.11326915978729,NaN
6250,NaN,NaN,-0.0716958243429254,-0.12563677821981,-0.0954925766722674,NaN,NaN,0.377612863213315,0.450441048634419,0.5367523224464,0.586633104541725,0.587911751046876,0.617697839515526,1.08835815238094,1.08884095046146,1.14320644676327,1.11585913733918,NaN,NaN,1.12642537432012,NaN
6500,NaN,NaN,-0.0703930090212568,-0.120872444994159,-0.0869109218874965,NaN,NaN,0.420689442989211,0.49876858988772,0.576500594572895,0.628894622149173,0.625684538773019,0.658535593213798,1.12868760561421,1.12565191584293,1.1767175927987,1.14799953379044,NaN,NaN,1.13853739648335,NaN
6750,NaN,NaN,-0.0665011435757303,-0.115053009803188,-0.0774476210238352,NaN,-0.62454506263181,0.463448282391258,0.546694339759406,0.615667818928377,0.670786000360241,0.663125277358502,0.699046106036633,1.16710690959779,1.16069907346883,1.20871855651599,1.17870259306473,NaN,NaN,1.14968468881647,NaN
7000,NaN,NaN,-0.0603518099998852,-0.108273896463837,-0.0671794207619601,NaN,-0.508055649240952,0.505783819134237,0.594105669530461,0.654232307009636,0.712279245663867,0.700215864666776,0.739205844311841,1.20374026989339,1.19410449457752,1.23930823356611,1.20805561309076,NaN,NaN,1.15993774087667,NaN
7250,NaN,NaN,-0.0522281001052578,-0.100620582438509,-0.0561753844433242,NaN,-0.400211354896525,0.547616286109692,0.640915639054368,0.692181167189573,0.753353248208285,0.736941633334569,0.778992957939631,1.23870119466199,1.22597876389066,1.2685770040673,1.23613814787935,NaN,NaN,1.1693593431277,NaN
7500,NaN,NaN,-0.0423728855856524,-0.0921698297714727,-0.0444978134313549,-0.50631956253577,-0.299780501132855,0.588886214605793,0.687057875967598,0.729508355879315,0.793992435573492,0.773289370933375,0.818386644363229,1.27209352574573,1.25642227348355,1.29660757035264,1.2630228309655,NaN,NaN,1.17800564671357,NaN
7750,NaN,1.08254598712276,-0.030995475459384,-0.0829907402541094,-0.0322030399494916,-0.403043840971927,-0.205758691161542,0.629550166355959,0.732482516268631,0.766213146147335,0.834185697262841,0.809246445503099,0.857366874617835,1.30401238174172,1.28552635560919,1.32347571478601,1.28877610467043,NaN,NaN,1.18592705022488,NaN
8000,NaN,0.905043573393611,-0.0182770133340136,-0.0731456629112133,-0.0193421116104656,-0.306874927841632,-0.117320235711882,0.669577396042913,0.777152970275439,0.802298920684204,0.873925521771433,0.84480050340096,0.895914271864545,1.33454501218773,1.3133742745437,1.34925098135971,1.31345886487472,NaN,NaN,1.19316894577426,NaN
8250,NaN,0.750046626073094,-0.00437488200117613,-0.0626909770179272,-0.00596138436726441,-0.216892193220495,-0.0337812166847493,0.708947225039961,0.821043334575035,0.837772217947805,0.913207301474741,0.879939394958634,0.93401004508121,1.36377156650569,1.34004209559777,1.3739972865376,1.33712703075935,NaN,NaN,1.19977234996109,NaN
8500,NaN,0.614761949715181,0.0105736797900377,-0.0516777698693453,0.00789696222830122,-0.132328991908375,0.0454288737362367,0.747646963448181,0.864136312548625,0.872641976803697,0.952028770678774,0.914651165356338,0.971635943504382,1.39176578360226,1.36559944738164,1.3977734655203,1.35983204833486,NaN,NaN,1.20577444010715,NaN
8750,NaN,0.496790173387026,0.0264485902066971,-0.040152425266281,0.0221944758992452,-0.0525428868443369,0.120789108411362,0.785670258046243,0.906421537460248,0.906918937420966,0.990389549838658,0.948924057457877,1.0087742221167,1.41859560896034,1.39011019141646,1.42063376021899,1.3816213357686,NaN,NaN,1.21120901210549,NaN
9000,NaN,0.394063325463866,0.0431444437624022,-0.0281571360139113,0.036896038994722,0.0230076817561078,0.192704298714097,0.823015773361081,0.947894215790797,0.940615165635453,1.0282907748073,0.982746515620759,1.04540761515362,1.44432374623803,1.41363301134402,1.44262825499587,1.40253867766432,NaN,NaN,1.21610687306483,NaN
9250,NaN,0.304793326378182,0.0605684408114293,-0.0157303515428693,0.051969524229701,0.094781812895377,0.261518523590542,0.859686134900426,0.98855402651196,0.973743675208855,1.06573479447409,1.01610718945039,1.08151931597788,1.46900815015974,1.43622193233697,1.46380326582504,1.4226245746156,NaN,NaN,1.2204961794446,NaN
9500,NaN,0.227429329392687,0.0786386509406213,-0.00290716996429733,0.0673854920130675,0.163170784425452,0.327525868541319,0.895687079860869,1.02840422578412,1.00631812795133,1.10272492362911,1.04899493766302,1.11709296206906,1.49270246703847,1.4579267798587,1.48420168804413,1.44191655358115,NaN,NaN,1.22440272940479,NaN
9750,NaN,0.160622257947376,0.0972825497442637,0.0102803176120355,0.0831169236294949,0.228509768017207,0.390979011025764,0.931026772866555,1.06745091718748,1.03835259594814,1.13926524058897,1.08139883218394,1.1521126241266,1.51545642872752,1.47879358565691,1.50386330736194,1.460449443929,NaN,NaN,1.22785021652511,NaN
10000,NaN,0.103195217859152,0.116435780606316,0.0238027238930315,0.0991389854232234,0.291087263104061,0.452096130682487,0.965715253580683,1.10570245583204,1.06986137344301,1.17536042122882,1.11330816252761,1.18656279847977,1.53731620523307,1.4988649477818,1.52282507829434,1.47825562337337,NaN,NaN,1.23086045078952,NaN
