PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,0.874656460768657,0.589088671056788,NaN,NaN,NaN,NaN,0.569438421554352,0.363790826189525,0.473942174055091,0.282603969936904,NaN,NaN,0.0780536679015305,0.0215106116670627,0.0247338357748869,0.0174294955032307,0.12721455461715,0.137192353065549
1750,NaN,NaN,NaN,0.85079395010804,0.565488976737971,NaN,NaN,NaN,NaN,0.603825289733748,0.350571036773853,0.412637297604827,0.216352330758592,NaN,NaN,0.00858038397734003,-0.025216323673857,0.00227948279878637,0.0151752971323199,0.196306185573981,0.204195396017417
2000,NaN,NaN,NaN,0.813655470406796,0.534235137066951,NaN,NaN,NaN,NaN,0.562031153131478,0.299454181104062,0.33810621977428,0.153855486429821,NaN,NaN,-0.0313172855108161,-0.043110840735464,-0.00640093616945081,0.029054547574666,0.269556756660578,0.278541981093642
2250,NaN,NaN,NaN,0.769034876784607,0.498815603746255,NaN,NaN,NaN,NaN,0.492788646680529,0.23746140940548,0.265480155167937,0.0994294557066895,NaN,NaN,-0.0469517544344266,-0.0396901427186892,-0.00467815900867974,0.0549210990689629,0.342818985030051,0.353870999124512
2500,NaN,NaN,NaN,0.720520142009502,0.461384380636284,NaN,NaN,NaN,NaN,0.416073769316477,0.176299244475754,0.200538184141171,0.0542532074652179,NaN,NaN,-0.0437428909154549,-0.0207966143838871,0.00491698478241985,0.0897972099133723,0.414062757500365,0.427286127968568
2750,NaN,NaN,NaN,0.670372225090806,0.423298726624537,NaN,NaN,NaN,NaN,0.341186588308231,0.1210050434848,0.145156635575918,0.0181800589893537,NaN,NaN,-0.026293523017194,0.00919100614674122,0.0204601712195482,0.131504043801854,0.482324524331764,0.49748373452549
3000,NaN,NaN,NaN,0.620030548131615,0.385423561316783,NaN,NaN,NaN,NaN,0.272519662992234,0.0735260014175923,0.0995032977200046,-0.00949175206117453,NaN,-0.114429443030907,0.00174789515527342,0.0470472856741665,0.0404683084448507,0.178417011403131,0.547201015959019,0.56394201491761
3250,NaN,NaN,NaN,0.57041336161042,0.348311012291859,NaN,NaN,NaN,NaN,0.211968695228546,0.0343342282365004,0.0629929405076783,-0.029666404017419,-0.178828111223145,-0.269841440726089,0.0375695931616745,0.0904079175011156,0.063785365843537,0.229305607804036,0.608588147865443,0.626534685145648
3500,NaN,NaN,NaN,0.522101588802328,0.312310041432631,NaN,NaN,NaN,NaN,0.16010846296153,0.00320019174776026,0.0347306307704418,-0.0432811633483867,-0.26426683621308,-0.288525947062985,0.0790289276608219,0.137538222096164,0.0895029036043863,0.283227047505457,0.66654091173925,0.685335874081452
3750,NaN,NaN,NaN,0.475454316054904,0.277635358533443,NaN,NaN,NaN,0.223101124391708,0.116814902752301,-0.0204224876959676,0.0137280527287536,-0.0512236459844065,-0.285747555961331,-0.252345409472876,0.124499250552461,0.187161339773994,0.116903578376758,0.339453781363069,0.721196230889097,0.740517854604967
