PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,42514.1897858587,5599.38969260917,NaN,NaN,34146.009487634,66382.7904022917,2972.06578289439,5841.71722120868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,NaN,31610.2067406344,4110.52846058079,NaN,NaN,21834.5802358068,42378.7725038462,1976.86344026559,3830.10959557049,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,24190.0356785807,3117.82582433953,NaN,NaN,14666.8517799195,28424.7093580928,1370.69879200554,2623.83291449982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250,NaN,18955.776316102,2428.20572251915,NaN,NaN,10248.7089833887,19835.3570834441,983.136537862256,1862.62276390574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500,NaN,15151.8429523169,1932.82902769363,NaN,NaN,7396.8394644326,14298.0252640248,725.272030263421,1361.80498102524,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750,NaN,12317.1483001959,1566.94602165813,NaN,NaN,5484.56374348504,10589.3983650115,547.893305193611,1020.65080350475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,NaN,10158.9893924863,1290.28331277132,NaN,NaN,4160.68456526343,8024.68710977199,422.382836679874,781.321636716215,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3250,NaN,8485.21012509531,1076.83670316169,NaN,NaN,3218.87620139019,6202.00357273073,331.391569189305,609.138153396739,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,7165.96072484639,909.271347003228,NaN,NaN,2532.9762188494,4875.84510744178,264.020226147638,482.524554519232,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3750,NaN,6111.25798800282,775.709045862498,NaN,NaN,2023.14329403209,3890.9895173935,213.206893908914,387.622013542181,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000,NaN,5257.35093251584,667.812886539681,NaN,NaN,1637.32005686738,3146.31824184162,174.250804957017,315.277001493815,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4250,NaN,4558.1801043297,579.606576820564,NaN,NaN,1340.66509105884,2574.20940631511,143.947497356848,259.293540008217,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4500,NaN,3979.88154883567,506.725039423003,NaN,NaN,1109.31397978684,2128.38196843999,120.065805572267,215.38523347574,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4750,NaN,3497.1642592943,445.926259514986,NaN,NaN,926.58090207393,1776.50060596067,101.022544342427,180.528444310283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,48865.0890164753,3090.87064802314,394.765885690085,NaN,NaN,780.581971551636,1495.55194406553,85.6750100993812,152.552623974428,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5250,43217.15900938,2746.30159806293,351.37578496446,NaN,NaN,662.711337003478,1268.88187199635,73.1856086248611,129.874768193061,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5500,38417.2599932446,2452.0461273726,314.310501851578,NaN,NaN,566.642322350656,1084.25489732572,62.9317178592668,111.323656599843,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5750,34310.9653955635,2199.15048649773,282.438981669174,NaN,NaN,487.6595410764,932.557360014836,54.4445482442323,96.0212921563198,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6000,30776.5442177214,1980.51957436679,254.867027282854,NaN,NaN,422.204155848845,806.915032823256,47.3669652377763,83.3015307155148,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6250,27717.1382184619,1790.47990400091,230.880976709467,NaN,NaN,367.559098702991,702.082665365895,41.4239391075173,72.6533443350393,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6500,25055.0116136448,1624.45655828775,209.906260581893,NaN,NaN,321.627845295527,614.015200529269,36.4015448462575,63.6806815523748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6750,22727.2745069253,1478.73166704304,191.476541947557,NaN,NaN,282.776753577138,539.562358738317,32.1318410509443,56.073686398256,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7000,20682.6677145037,1350.26191528105,175.210480999497,NaN,NaN,249.721245682241,476.248269490488,28.4818488247167,49.5878044094476,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7250,18879.1211097249,1236.53929384152,160.794060657147,NaN,NaN,221.442654187454,422.110555330962,25.3454278673363,44.0284388477893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7500,17281.8819261337,1135.48386883917,147.967013442654,NaN,NaN,197.126793853858,375.581516597403,22.637224939864,39.2395615636381,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7750,15862.0673566926,1045.36049839965,136.512304960435,NaN,NaN,176.118111516121,335.399489827604,20.2881216635572,35.0951744523856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8000,14595.5360557125,964.713628607844,126.247917718614,NaN,NaN,157.885131857395,300.542075248021,18.2417786491093,31.4928480149202,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8250,13462.0014914611,892.315858983876,117.020382010063,NaN,NaN,141.994180033376,270.175381190923,16.4519892854591,28.3487888023936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8500,12444.3302671491,827.127082036863,108.699645044209,NaN,NaN,128.089228681592,243.61511490848,14.8806370801059,25.5940429461974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8750,11527.9830326191,768.261806301048,101.174973451027,NaN,NaN,115.876318462862,220.296516199171,13.4961068721393,23.1715514503633,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9000,10700.566142505,714.962859252635,94.3516597932258,NaN,NaN,105.111423650413,199.750949187763,12.2720401890956,21.0338494614193,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9250,9951.46993707618,666.58009850593,88.1483591083786,NaN,NaN,95.5909339502534,181.5875483861,11.1863535877736,19.1412562881563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9500,9271.57523018061,622.553080349456,82.4949224862931,NaN,NaN,87.144138468399,165.478731167694,10.2204594441778,17.4604422094947,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9750,8653.01384399686,582.396874633491,77.3306252677293,NaN,NaN,79.6272530565063,151.148689570047,9.35864368174875,15.9632866269126,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10000,8088.97222733343,545.690395954765,72.6027104502959,NaN,NaN,72.9186456055644,138.364193743206,8.58756596421909,14.6259630093279,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
