PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,32861.0131949961,5746.58788597046,2046.53454271611,NaN,NaN,40669.9966265482,81033.2794376719,5241.45726789623,9875.98247723205,NaN,NaN,53029.5175812166,80184.7684298642,6785.72498741914,10653.3520084742,NaN,NaN
1750,NaN,NaN,25507.3941902765,4370.34746135863,1602.78156938392,NaN,NaN,30339.0895687211,59765.6379641119,3899.69035335069,7123.76365337608,NaN,NaN,33054.77335575,49894.1993423753,4309.46690065723,6791.25065686214,NaN,NaN
2000,NaN,NaN,20296.6320661041,3425.84865498799,1285.99052463179,NaN,NaN,23193.1987713485,45251.8043608305,2980.1864769255,5316.55587247809,NaN,NaN,21643.4440086397,32615.6257943462,2860.12823328173,4521.79694330532,NaN,NaN
2250,NaN,NaN,16482.8287680154,2751.3557968919,1052.48259707722,NaN,NaN,18101.2650867059,35027.3088794549,2328.93674100606,4078.94350902465,NaN,NaN,14748.894665512,22191.2904091642,1968.31496555244,3120.59303619107,NaN,NaN
2500,NaN,NaN,13615.6834454841,2253.9511333053,875.752871720719,NaN,NaN,14380.0423821469,27628.2915325969,1854.74466985853,3201.77317824136,NaN,NaN,10388.2701955251,15607.2963745261,1396.33673367068,2219.2474326733,NaN,NaN
2750,NaN,NaN,11411.0770203338,1877.28292237569,738.992267204147,NaN,196774.609874037,11600.7276364101,22149.1706151559,1501.24794127127,2562.01698925528,NaN,NaN,7523.15195087815,11287.0460634923,1016.45802547367,1619.05637197748,NaN,NaN
3000,NaN,NaN,9682.99128036393,1585.62433762788,631.140125224828,82124.0794736687,156778.401305877,9485.24121516389,18009.9458463355,1232.32671364568,2083.97909856785,NaN,NaN,5578.97113978205,8359.15441066955,756.529366390362,1207.42464021501,NaN,NaN
3250,NaN,38116.5856757148,8305.74801103791,1355.46910236125,544.686868337316,66869.0961967707,126737.169665829,7848.04799009416,14827.8340759237,1024.10158906022,1719.28828084017,NaN,NaN,4222.75396691808,6319.18092478553,574.03684719623,917.817647352496,NaN,NaN
3500,NaN,33779.6257198142,7192.1076080118,1170.85729109966,474.394802596292,55106.9458063532,103768.583218894,6562.23752762963,12343.5088456871,860.352977969297,1436.01826855395,NaN,NaN,3253.76187831832,4863.33365214134,443.000055965783,709.472965147022,NaN,NaN
3750,NaN,30097.9218616291,6280.07035808281,1020.65590530715,416.524329995907,45902.3430385649,85929.8299849363,5539.06945733503,10377.1849421186,729.79991652375,1212.49959671718,NaN,NaN,2546.77675296595,3802.30296465111,347.031110360223,556.619945211367,NaN,NaN
4000,NaN,26950.0149381121,5524.65390014246,896.914591117662,368.350092688636,38603.2307027101,71880.5278006236,4715.26674902643,8801.64444940696,624.430283443119,1033.66111786369,NaN,NaN,2021.32880906592,3014.55062892119,275.50119035362,442.509747319053,NaN,NaN
4250,NaN,24240.7977753439,4892.61973435001,793.837738746277,327.849505561657,32745.9991118337,60676.6070633425,4044.9111303699,7525.20527664519,538.446500477705,888.793085693551,NaN,NaN,1624.33175689889,2419.97317725118,221.344730948972,355.987453378443,NaN,NaN
4500,NaN,21895.0276024391,4359.00320131175,707.12290741995,293.497059267421,27995.1732606478,51640.730813498,3494.15050362578,6480.69960000701,467.582747307436,770.13842936461,NaN,NaN,1319.94018703585,1964.531876448,179.760537283255,289.459906595602,NaN,NaN
