PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,36005.3701430245,6887.28331276446,NaN,NaN,NaN,45715.6894165019,92172.1374758474,6743.67391665677,13229.6442648988,NaN,NaN,69412.0656552842,104866.69037965,8790.99572127829,13690.1133923761,NaN,NaN
1750,NaN,NaN,28109.859639082,5244.69383976137,NaN,NaN,NaN,34506.9436871465,68620.3534256404,5030.32222884985,9613.31442940556,NaN,NaN,43698.3652680566,65881.2894080055,5654.83575649395,8827.31246602594,NaN,NaN
2000,NaN,NaN,22476.8532689127,4116.06672895983,NaN,NaN,NaN,26646.6531756937,52374.0096306088,3853.00566796934,7217.96627331205,NaN,NaN,28851.0212691179,43413.1308386489,3794.05295093327,5934.92086438272,NaN,NaN
2250,NaN,NaN,18330.1857806409,3309.21422691852,NaN,NaN,NaN,20979.262677865,40823.0689260354,3017.17102676669,5565.79838578996,NaN,NaN,19800.0524391007,29740.570432918,2635.69447410485,4130.50259150234,NaN,NaN
2500,NaN,NaN,15197.3206673524,2713.61327296973,NaN,NaN,NaN,16794.8482896874,32396.9755906328,2407.2826138341,4387.74456368021,NaN,NaN,14031.7568098429,21041.2060996481,1885.25850647924,2959.30372517688,NaN,NaN
2750,NaN,NaN,12777.9708664221,2262.17313331589,NaN,NaN,NaN,13641.3288745902,26113.2346240421,1951.75464564217,3524.11843211612,NaN,NaN,10216.6062864301,15296.3272737313,1382.44269576275,2173.23529797543,NaN,NaN
3000,NaN,NaN,10874.3180543266,1912.32202107498,NaN,NaN,NaN,11221.7784762904,21336.4291438425,1604.60739533211,2875.92583987816,NaN,NaN,7612.68556228765,11381.023392236,1035.69236291543,1630.32201618004,NaN,NaN
3250,NaN,NaN,9351.99093149203,1636.02765093486,NaN,78971.5347131865,150157.231138701,9335.85487908114,17643.589879133,1335.38081432813,2379.49681929872,NaN,NaN,5786.85374837583,8639.43472530469,790.530251721142,1245.9347473911,NaN,NaN
3500,NaN,36133.5261002053,8117.27173075601,1414.2428377108,NaN,65348.1136247727,123354.339045952,7845.14649639266,14745.9710601651,1123.34707240366,1992.57049688683,NaN,NaN,4476.28189291361,6674.09362723236,613.375231374831,967.822243357035,NaN,NaN
3750,NaN,32311.1792458593,7103.27444661172,1233.67167323742,NaN,54635.9601296146,102457.987052887,6652.00260858019,12442.01838576,954.065094957258,1686.32084518255,NaN,NaN,3516.06984464077,5235.92927395213,482.879711270792,762.719793245831,NaN,NaN
4000,NaN,29027.8649604271,6261.28677961283,1084.81290199507,NaN,46104.5239119887,85943.4653412071,5686.22925985595,10588.2270619251,817.262230942281,1440.61126488446,NaN,NaN,2799.69526852829,4164.23272972197,385.100453939238,608.87141573064,NaN,NaN
4250,NaN,26190.0215125014,5555.19006765018,960.73598597718,NaN,39231.3025291162,72731.8663804618,4896.5149276856,9080.59631395186,705.494355553482,1241.07627330433,NaN,NaN,2256.55425562938,3352.60242797661,310.709125729105,491.703952736117,NaN,NaN
