PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,51138.0694374474,14204.7918164175,2363.59446775416,NaN,NaN,68945.8461861691,154234.173222531,16800.9918729786,33733.6273007669,1069.57142433796,1560.29765246703,217867.138096541,329041.493550529,26951.3625270997,40954.0481587834,NaN,NaN
1750,NaN,NaN,41216.2757523699,10966.826151991,1846.10857723316,NaN,NaN,55255.6791874603,120316.454363259,12920.8898589358,25432.4072328498,811.831763919838,1205.91609180142,144208.824680941,216795.799483549,18487.2484388547,27983.3469923255,NaN,NaN
2000,NaN,NaN,33858.0513080058,8706.68526141149,1478.6390843094,NaN,NaN,44946.1820735673,95606.5877996811,10158.3689318617,19686.6074475125,633.148369368063,953.878960485361,99295.7985942424,148678.433807204,13103.3032767974,19770.0144695625,NaN,NaN
2250,NaN,NaN,28260.6308602813,7069.46055167221,1208.84057173256,NaN,NaN,37037.7925908171,77189.6048979481,8136.65381985265,15575.9387647101,504.911752709062,769.260139956957,70634.1520900407,105388.240104875,9546.25604975589,14364.1098786863,NaN,NaN
2500,NaN,NaN,23910.5016528864,5847.19324185434,1005.24456231224,NaN,NaN,30872.1602708258,63189.3022395048,6622.08111159606,12552.8265701661,410.208886109251,630.630450811002,51638.2210167977,76801.7823550407,7119.68882970956,10688.0636454238,NaN,NaN
2750,NaN,NaN,20467.3010449978,4911.64580289523,848.040931760452,NaN,NaN,25995.8217416636,52361.3443354063,5464.37749102332,10276.9562021671,338.56825868361,524.311100066535,38639.8415375601,57304.7728393841,5418.28918509516,8117.65515547292,NaN,NaN
3000,NaN,NaN,17698.5047720498,4180.34425860268,724.271223693306,NaN,NaN,22089.5943089849,43858.6253661228,4563.84064948103,8528.90684937806,283.250901466922,441.272316060502,29499.0709287225,43634.4724858588,4196.67649370451,6276.48064090779,NaN,NaN
3250,NaN,NaN,15441.064190083,3598.34333478652,625.179522225672,NaN,NaN,18924.4393413929,37091.0595015663,3852.5091137429,7162.68775628771,239.775111569186,375.378666302035,22917.2911414219,33817.682455631,3301.15118151244,4929.58467872115,NaN,NaN
3500,NaN,NaN,13578.0215914239,3127.92309942375,544.682834687104,NaN,NaN,16333.1420380777,31639.1403362776,3282.94833015048,6078.48645712059,205.074949884065,322.355395606048,18079.1789649996,26619.387481863,2632.5400683477,3925.82162959221,NaN,NaN
3750,NaN,NaN,12023.7895045487,2742.51099536682,478.452118492323,NaN,NaN,14191.710676493,27199.1575815377,2821.35185477321,5206.420539711,177.000835072519,279.157851832813,14457.4448054527,21243.125716795,2125.1596706482,3165.35209401147,NaN,NaN
4000,NaN,NaN,10714.618932731,2422.96157116243,423.340929241287,NaN,NaN,12406.9005465533,23547.6125680123,2443.17399838574,4496.52653470059,154.012808405336,243.574873851254,11702.0727890373,17161.5720615918,1734.48799074586,2580.66196007655,NaN,NaN
4250,NaN,NaN,9602.27169571411,2155.20522446467,377.019417281979,NaN,NaN,10907.6856147332,20517.5889140314,2130.29391840222,3912.41103189101,134.986391989575,213.972518282075,9575.29135993478,14017.3610794043,1429.71633482176,2125.13077277017,NaN,NaN
4500,NaN,NaN,8649.72554021026,1928.7198969133,337.733618290662,NaN,NaN,9639.32739537886,17982.7466190732,1869.13187188394,3427.11997184299,119.086409594936,189.124450806231,7912.21271277655,11563.2188240185,1189.12566341187,1765.95505468355,NaN,NaN
4750,NaN,NaN,7828.20041729569,1735.51275307518,304.143406905241,NaN,NaN,8559.18466975784,15846.2827914155,1649.37214072263,3020.38904568759,105.683022319977,168.097261021438,6596.35400438568,9624.82234256532,997.145646626334,1479.65834690716,NaN,NaN
5000,NaN,NaN,7115.06225794858,1569.42652948728,275.211107353776,NaN,NaN,7633.71010405647,14033.1917748314,1463.08112184913,2676.77549882544,94.2946638067214,150.171403259479,5544.03911127363,8077.18757408813,842.442522369039,1249.1785302784,NaN,NaN
5250,NaN,NaN,6492.32109741248,1425.65760646473,250.123476026132,NaN,93739.445975692,6836.26883752195,12484.7564077517,1304.08800866333,2384.36506254266,84.5485129711785,134.785735470321,4694.23893448595,6829.32286315369,716.650875249118,1061.93996411254,NaN,NaN
5500,NaN,NaN,5945.53898705188,1300.41515976527,228.236123714858,NaN,82796.8666657566,6145.53456944973,11154.5727881514,1167.54316897195,2133.861779233,76.1526391950042,121.497988957089,4001.82123832087,5814.05308627027,613.517108045976,908.55388482264,NaN,NaN
5750,NaN,NaN,5463.02506236156,1190.67616942122,209.033308931186,40731.9899738809,73468.4645063479,5544.29681863885,10005.64494458,1049.59878615628,1917.93743930977,68.8760632892831,109.95618068873,3432.98391675876,4981.14824553533,528.311288913854,781.927534218957,NaN,NaN
6000,NaN,20541.4761138303,5035.23484422377,1094.00672098473,192.098439495486,36492.0402635969,65469.8108477932,5018.56456516386,9008.23634615368,947.174915897008,1730.76000248933,62.5342790306159,99.8776618342816,2962.11387493039,4292.60551079427,457.417086899089,676.644012642988,NaN,NaN
