PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,19429.312416471,2917.90588464096,NaN,NaN,NaN,NaN,23024.480212607,49732.4140494562,2209.11226617576,3828.46594377594,391748.221544665,594626.028939355,47796.92949202,72407.1369482438,5420.51186212507,7769.30130104053
1750,NaN,NaN,NaN,15243.0312209887,2280.83927395849,NaN,NaN,64805.044988824,155222.873534405,18304.1282549174,38382.2128438544,1716.30160684379,2963.17001862189,267841.537526771,403786.618614416,34152.1971656553,51365.0534421372,3118.36920020668,4457.14977252729
2000,NaN,NaN,40122.2142468436,12261.7898500752,1828.91123522529,NaN,NaN,54450.5915100633,126531.108798706,14805.4165382602,30299.9792388816,1365.49583448116,2348.20433468049,189532.88759927,284056.771369444,25072.2625481254,37478.8437062267,1899.51797392445,2709.26073071845
2250,NaN,NaN,34047.3993113407,10066.3339563071,1497.22047926046,NaN,NaN,46187.2221976169,104483.30941769,12154.8829387555,24378.0232966705,1107.97720723637,1897.72527739372,138021.84464854,205794.954254486,18835.2518552577,28007.9363663752,1212.07908753514,1725.93026760263
2500,NaN,NaN,29226.8255557553,8404.5087475248,1246.89652665637,NaN,NaN,39512.9567879007,87264.5383318528,10108.645782763,19932.9988384295,914.030263437182,1559.27771085075,102981.391887623,152850.65972272,14433.2547292853,21364.3444273722,803.770068809091,1143.04050319218
2750,NaN,NaN,25340.9452300242,7117.42540628564,1053.53528472369,NaN,NaN,34063.6903409914,73623.3305084183,8502.70175056109,16526.9819258821,764.757570841336,1299.4751165364,78454.1992813359,115972.276729586,11252.6355370103,16589.6691772224,550.563291118767,782.149361352509
3000,NaN,NaN,22165.2775227,6101.01499072071,901.203865784285,NaN,NaN,29570.9717216642,62677.8118291317,7223.91143783468,13870.0688216158,647.71116354228,1096.32243291031,60858.0817364712,89630.8383235559,8906.92751471785,13084.8683908542,387.701889096609,550.328070699673
3250,NaN,NaN,19538.5065741621,5284.85212040729,779.151078648661,NaN,NaN,25833.9323184082,53794.4357769795,6192.45445814198,11764.8927317922,554.441215343159,934.894811835195,47960.9460093878,70399.9183181186,7145.44410870545,10463.9389624345,279.618455078124,396.643468949036
3500,NaN,NaN,17342.373875102,4619.92849641671,679.91460873521,NaN,NaN,22700.2465133897,46510.1248821477,5350.88785852995,10073.7638899546,479.060855692004,804.802230828474,38328.2833614396,56088.1579325288,5801.29998138557,8471.41932828622,205.91438403138,291.935595585915
3750,NaN,NaN,15488.6415687683,4071.30506737431,598.186915487521,NaN,NaN,20052.9824150438,40481.0967112019,4657.1342066861,8698.53877689646,417.374620268105,698.647647547534,31012.8515581218,45254.9055659978,4760.81332441987,6934.19892712473,154.445243674267,218.869468646649
