PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,24506.8242660561,4567.1670324115,NaN,NaN,NaN,NaN,26945.1103113367,71610.5526448929,4533.83208355901,10219.8953001676,NaN,NaN,83559.6173097426,127659.135942604,47690.8229275054,66675.2199000426
1750,NaN,NaN,NaN,19755.396438222,3588.11409552908,NaN,NaN,NaN,NaN,22464.4967368483,56851.7724469463,3640.89135058742,7958.00269632594,NaN,NaN,62690.7633100251,94791.4711013578,29113.7475990852,40547.265991361
2000,NaN,NaN,NaN,16250.6141297614,2891.97668587928,NaN,NaN,NaN,NaN,18941.2560644006,45971.4707997806,2979.69882866391,6342.95395506765,369194.956109996,557309.993508567,48019.5927876098,71962.0134036753,18659.2312119745,25907.9940536396
2250,NaN,NaN,NaN,13593.4766655532,2379.58402211122,NaN,NaN,NaN,NaN,16130.381531309,37760.1276474133,2477.71885774677,5154.42143225587,276838.229288266,414772.562203705,37447.9350126356,55682.9040712998,12445.894156296,17238.3016199642
2500,NaN,NaN,NaN,11532.3418406218,1991.65279754934,NaN,NaN,NaN,117119.018445681,13858.8540786899,31437.2837118778,2088.47028950463,4257.43742933909,211905.023632626,315390.126163408,29665.2627689357,43807.8350291505,8582.98660778553,11863.8358557151
2750,NaN,NaN,NaN,9902.23230863426,1690.98879398836,NaN,NaN,41141.3173243589,101006.26249197,12002.0289653971,26483.1165129144,1781.11692914084,3565.86305894549,165122.579783107,244313.135066049,23827.0928391797,34971.6214010713,6088.72923722958,8401.91598089475
3000,NaN,NaN,26435.0975826841,8591.39455557416,1453.30544944096,NaN,NaN,36632.7783261756,87725.941511902,10468.5004457095,22541.7857612318,1534.58666157719,3022.78675415578,130692.701812619,192345.847933868,19374.2076733614,28280.525614993,4425.42056487065,6097.98822697055
3250,NaN,NaN,23622.4789593928,7521.9823674332,1262.20291625432,NaN,NaN,32762.0144357949,76681.1620809018,9190.16099530667,19363.8101195315,1334.10629705704,2589.4770126311,104876.228232753,153608.775469701,15927.2732016531,23134.4283881192,3284.95940361309,4521.00164646776
3500,NaN,NaN,21229.054009857,6638.44163200244,1106.28527805543,NaN,NaN,29419.8917895812,67419.9677812961,8115.52815554257,16770.5555125616,1169.08454013544,2238.89036346174,85195.800571138,124236.261382153,13223.4113927502,19121.2100859731,2483.81783612279,3414.85178062024
3750,NaN,NaN,19176.105552565,5900.28005335193,977.435605284313,NaN,NaN,26518.9703687498,59595.8614225897,7205.17596435514,14631.7038078407,1031.77719921659,1951.71623998397,69970.4237473273,101623.340722899,11076.926431226,15952.1225932215,1908.92487901357,2622.10366098218
4000,NaN,NaN,17402.481053604,5277.42868273148,869.746529331836,NaN,NaN,23988.6304696721,52940.1588498939,6428.55106755889,12850.5840695601,916.421988062766,1713.89053826686,58034.9935380343,83975.7679462936,9354.36292629326,13421.1797059407,1488.52797141004,2043.04495062562
4250,NaN,NaN,15860.1043613162,4747.18629030871,778.836458503582,NaN,NaN,21771.4121551536,47242.3286603231,5761.71761899665,11354.4006727215,818.663800773283,1514.98871745056,48566.4687871864,70033.2839831332,7958.30140926157,11379.025402274,1175.88872858942,1612.83446752202
4500,NaN,NaN,14510.7680187345,4292.158625919,701.400380661384,NaN,NaN,19820.2381741203,42335.8127016315,5185.73622996953,10087.587932345,735.164503531411,1347.16158218409,40973.3991150549,58894.9733208549,6816.61163060967,9715.75382388821,939.845627318577,1288.30553470867
