PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,25085.2027026448,5019.83333423269,NaN,NaN,NaN,NaN,27125.3723227964,75476.6907460029,5021.5667469951,11889.955614189,NaN,NaN,90422.2418797642,138525.858961736,62339.8032248532,86915.167682176
1750,NaN,NaN,NaN,20328.057991042,3949.39576885854,NaN,NaN,NaN,NaN,22798.8946663838,60203.6735596409,4056.55599964255,9273.46826426847,NaN,NaN,68385.9509281179,103646.026863919,38388.483187852,53308.3350120009
2000,NaN,NaN,NaN,16794.7054481066,3187.59889925071,NaN,NaN,NaN,NaN,19361.9209582466,48878.5712776384,3336.79061254073,7402.27640179208,NaN,NaN,52751.882893005,79209.0622139218,24786.3389061203,34310.0261512815
2250,NaN,NaN,NaN,14100.4092099975,2626.34499805332,NaN,NaN,NaN,NaN,16594.8674117209,40288.6901519714,2786.93057565364,6023.27648853337,307511.256814389,461425.70743889,41395.6485211368,61651.6391537435,16639.260052991,22972.8878058353
2500,NaN,NaN,NaN,12000.2043304744,2201.00932745256,NaN,NaN,NaN,NaN,14340.5164240725,33645.5397585117,2358.2432313029,4981.1888277344,236415.510387607,352268.487988915,32975.7097158587,48758.3212459331,11539.8481642188,15898.2852464308
2750,NaN,NaN,NaN,10332.1995947074,1871.03600134848,NaN,NaN,NaN,105434.666184284,12484.2054282675,28420.4774919756,2018.1369442179,4176.77518947911,184937.145092748,273846.613050567,26619.2038488887,39107.1556105306,8227.5860010277,11314.6923684333
3000,NaN,NaN,NaN,8985.97897907242,1609.9334119223,NaN,NaN,37421.2014371337,91879.7296334459,10940.9150921851,24249.5353956263,1744.18296276301,3544.3870601305,146883.426710028,216278.842733769,21743.1317828192,31759.7488507668,6007.08488554948,8248.47699255375
3250,NaN,NaN,24115.0027222956,7884.17133192694,1399.80455736361,NaN,NaN,33594.8361160139,80559.776924908,9646.66127664713,20876.2339451263,1520.55939382585,3039.29526447941,118236.706614088,173213.108565258,17948.9708982488,26081.465683559,4477.33196724831,6139.94988860229
3500,NaN,NaN,21718.9370728653,6971.27513392773,1228.20685006627,NaN,NaN,30275.1395278746,71031.659025876,8552.63818672685,18116.0963707414,1335.86055773917,2630.23505485613,96320.8629502919,140452.910233124,14958.6205030208,21633.6629174226,3398.08827307721,4654.72100419038
3750,NaN,NaN,19657.8234534259,6206.65135689542,1086.27303710124,NaN,NaN,27380.7369056455,62953.7472133157,7621.15942700507,15833.9961667183,1181.70562455097,2294.85928192578,79311.3204246891,115158.132518526,12574.3892059853,18107.2075005435,2620.58219986556,3586.19911260875
4000,NaN,NaN,17872.4635080067,5559.9993632841,967.54603163322,NaN,NaN,24845.4718490461,56059.7811105464,6822.79766115258,13929.3289729102,1051.83083676059,2016.87699494393,65937.9871526604,95364.9534678789,10653.3810023965,15280.3935902859,2049.96624469016,2802.94322683863
4250,NaN,NaN,16316.1276193778,5008.35971462067,867.233741341255,NaN,NaN,22615.183002029,50140.1457371897,6134.33797372894,12326.0860809653,941.482955318534,1784.20242065382,55300.1350087912,79689.138144586,9090.73330093751,12991.6813147871,1624.19552904038,2219.12469618711
4500,NaN,NaN,14951.5396457014,4534.08261041899,781.719405769643,NaN,NaN,20645.238595301,45028.284199291,5537.29286727794,10966.0740007763,847.005254019916,1587.7279498969,46748.1678878048,67137.960256019,7808.42678241614,11121.6646071909,1301.74174098934,1777.38702653482
4750,NaN,NaN,13748.6777192643,4123.42241284724,708.232024580766,NaN,NaN,18898.6340164838,40590.7133352725,5016.81085188288,9804.1978822703,765.549478730542,1420.49284229642,39806.4198309304,56988.2336009331,6747.67823450497,9580.91565261883,1054.23129044646,1438.5974132568
5000,NaN,NaN,12683.1484568083,3765.54727025122,644.619747297246,NaN,NaN,17344.5117006925,36719.6016570787,4560.86475142884,8805.12588363996,694.871949218377,1277.10888830775,34121.7244438166,48705.5694499507,5863.6827373791,8301.64807887445,861.915360893906,1175.55258416963
