PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,26062.5620706809,6342.62531204733,NaN,NaN,NaN,NaN,27058.735909099,84914.2643927063,6276.38445778141,16802.6599283882,NaN,NaN,107363.691050857,165859.976183144,108340.451276259,150257.107664741
1750,NaN,NaN,NaN,21401.1098375836,5011.11836056773,NaN,NaN,NaN,NaN,23180.7791165612,68496.3332311393,5144.38238767929,13167.3115282332,NaN,NaN,82755.8498326731,126368.733252538,68049.5847195139,93966.3567954665
2000,NaN,NaN,NaN,17877.5297428369,4060.85977277606,NaN,NaN,NaN,NaN,20024.6994388518,56151.3646799159,4284.73101216308,10554.6638910058,NaN,NaN,64913.4865692412,98123.0884158084,44684.2116960088,61485.2811460295
2250,NaN,NaN,NaN,15150.824931447,3358.7334842055,NaN,NaN,NaN,NaN,17428.1656918253,46674.5983048898,3617.76301713258,8620.83489199596,NaN,NaN,51702.2728804432,77457.3717605399,30437.5393829366,41760.9380281449
2500,NaN,NaN,NaN,12998.5270289268,2825.10278697683,NaN,NaN,NaN,NaN,15271.0619836002,39268.1988647901,3090.71857915968,7153.75487490511,NaN,453823.10515086,41738.4520561082,62035.1571033355,21381.3878512612,29265.0297289328
2750,NaN,NaN,NaN,11270.5490805389,2409.93586676005,NaN,NaN,NaN,NaN,13463.1539420167,33388.6707762612,2667.58766333358,6017.26761874597,239644.275233559,355822.343937857,34100.4853298934,50323.620517239,15418.6751433762,21060.8193581736
3000,NaN,NaN,NaN,9862.69812494228,2080.50683203063,NaN,NaN,NaN,NaN,11935.7212674452,28656.5560560351,2323.14467736017,5120.93103243423,191941.53354879,283177.992368246,28159.9462121163,41291.3028312146,11372.8427235598,15507.4930100709
3250,NaN,NaN,NaN,8700.83295317789,1814.67321044922,NaN,NaN,NaN,89641.6238347231,10635.7737982603,24801.1341705167,2039.31344287756,4402.89312358469,155683.026459643,228358.078034025,23479.168597205,34228.3448379262,8555.26035465387,11648.0807497464
3500,NaN,NaN,NaN,7731.04737520833,1597.0157261457,NaN,NaN,NaN,79580.8116367921,9521.98490260526,21625.5273519616,1802.88000085118,3819.77354598052,127701.590154789,186327.781437042,19747.5393859353,28636.3225674988,6547.9031202571,8903.42645436191
3750,NaN,NaN,NaN,6913.39711281288,1416.52719140463,NaN,NaN,29061.8792403482,70978.6785626933,8561.78768164767,18984.0915523327,1604.01245505696,3340.4683455393,105812.335216739,153643.542801487,16740.8408686183,24158.9153582808,5088.81757721888,6911.56017894395
4000,NaN,NaN,18790.7027854656,6217.78139323678,1265.17841139134,NaN,NaN,26566.0763665165,63579.3804365289,7729.27189322976,16767.4184400767,1435.27897793571,2942.2374046938,88478.1249811962,127901.535826548,14294.7136022756,20537.2196145615,4009.19834263884,5439.76287764086
4250,NaN,NaN,17226.0569611284,5621.17372916019,1137.00021423622,NaN,NaN,24349.8772627713,57179.1890462774,7003.64083517629,14892.174084803,1290.98172760424,2608.16522356136,74598.2838256457,107392.689308011,12286.9802900117,17580.3221125045,3197.53659641394,4334.61871822185
4500,NaN,NaN,15846.5936102917,5105.71978686349,1027.47963871474,NaN,NaN,22375.0547521729,51614.4992252151,6368.06542018529,13294.0823433723,1166.69598467351,2325.47266522407,63371.9928143178,90881.6175889223,10625.6526394084,15145.5412653175,2578.52501631193,3492.70579557405
4750,NaN,NaN,14624.3787169444,4657.40562225906,933.153094063515,NaN,NaN,20609.5005618408,46752.8921089632,5808.8237048851,11922.9954975263,1058.94551852952,2084.36998735921,54208.0944362233,77461.8313463452,9240.6559330315,13124.9229248408,2100.28453180014,2842.891989517
5000,NaN,NaN,13536.5348848959,4265.10902954701,851.326301918784,NaN,NaN,19026.1105837173,42486.4049576051,5314.64807486788,10739.3764725353,964.970171077709,1877.26234879778,46664.392150427,66459.0164900246,8078.03010732045,11435.8602093605,1726.42875479861,2335.35974821215
5250,NaN,NaN,12564.1839137474,3919.91313381934,779.877775319501,NaN,NaN,17601.8965978173,38726.4126112637,4876.22520328825,9711.75213542847,882.556983092298,1698.18973871428,40406.0827969752,57365.2512744943,7095.80816278394,10014.4803692442,1431.01837209927,1934.64133962197
5500,NaN,NaN,11691.6382327606,3614.60260057982,717.118509931883,NaN,NaN,16317.2739403329,35399.698767824,4485.80959179873,8814.84516512764,809.915819512488,1542.42582335256,35176.8343431445,49793.5242043109,6261.0481374511,8810.9181804979,1195.2849827923,1615.10448908205
5750,NaN,NaN,10905.7765191025,3343.28902112641,661.690225561946,NaN,NaN,15155.4868250861,32445.4145265563,4136.9223879284,8028.18696081888,745.586623088791,1406.18641405747,30778.3655817817,43445.8100999005,5547.66972063148,7785.89468250466,1005.4627978334,1357.9693300787
