PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,26181.2880930876,6626.03661624418,NaN,NaN,NaN,NaN,26973.1807091992,86758.4308333878,6529.05718887167,17910.7303250167,NaN,NaN,110660.957169594,171281.100418107,118945.525722592,164831.533622352
1750,NaN,NaN,NaN,21555.4157705993,5239.92935356613,NaN,NaN,NaN,NaN,23190.6427593771,70135.1294599396,5366.69730959115,14050.5386816289,NaN,NaN,85606.9662432456,130953.886639974,74986.1507207873,103453.572900788
2000,NaN,NaN,NaN,18046.3811579882,4250.06203152023,NaN,NaN,NaN,NaN,20098.0888702152,57602.0951665993,4480.84832372716,11273.1226497053,NaN,NaN,67365.2473518914,101995.185418936,49393.254593486,67900.8219356044
2250,NaN,NaN,NaN,15322.8448724302,3518.1905392911,NaN,NaN,NaN,NaN,17543.2943518326,47958.5326854455,3791.44359085466,9215.27402755284,NaN,NaN,53808.4373904344,80733.2641402929,33736.2415884743,46240.5816183713
2500,NaN,NaN,NaN,13167.5714000122,2961.5926457363,NaN,NaN,NaN,NaN,15412.9117311656,40406.4024017815,3245.20873615872,7652.7191565288,NaN,NaN,43550.2763160786,64816.5233587026,23754.8125801082,32479.4410266778
2750,NaN,NaN,NaN,11433.3883406148,2528.28305405636,NaN,NaN,NaN,NaN,13621.3061213875,34400.3845235452,2805.63397046182,6441.30571545104,251430.576796581,373571.396544472,35663.3892850651,52695.5958338068,17166.2254566503,23422.1603006637
3000,NaN,NaN,NaN,10017.7561955771,2184.24670708701,NaN,NaN,NaN,NaN,12102.9224177701,29558.7097242184,2447.05209750864,5485.18548685675,201712.586755423,297746.265742266,29512.8160602877,43323.9216727852,12685.6746536822,17277.9396519574
3250,NaN,NaN,NaN,8847.48021960518,1906.46052061977,NaN,NaN,NaN,91339.7694877142,10806.972206478,25608.3501076538,2151.01230081015,4718.75124354228,163850.829662061,240428.508295494,24654.7319336681,35978.7876734097,9559.06686980365,12999.4786807435
3500,NaN,NaN,NaN,7869.19478733381,1678.8859061594,NaN,NaN,NaN,81195.383643991,9693.6743438893,22350.3211092475,1903.98870932716,4095.95203532499,134582.254451719,196415.588220153,20773.1151605876,30151.1771635182,7327.49934309452,9951.41555029224
3750,NaN,NaN,NaN,7043.25894359374,1490.06913188621,NaN,NaN,29317.1435744899,72507.5210501981,8731.55481829581,19637.1342410569,1695.89185425394,3583.74498777137,111650.609190975,162141.867820788,17639.1589957829,25476.1751424064,5702.76116397698,7735.78859356574
4000,NaN,NaN,18929.1585105841,6339.73489031616,1331.6520027091,NaN,NaN,26837.0543331422,65023.0552208757,7895.48066894251,17357.8009610208,1519.07775080496,3157.95627992994,93465.2268274796,135113.646659544,15084.6791331468,21687.9531157173,4498.75201550227,6096.23632987316
4250,NaN,NaN,17367.2039519772,5735.6756062223,1197.4183283869,NaN,NaN,24630.8693558122,58539.9726960635,7165.21024211982,15427.6486553857,1367.67370344903,2800.59284087486,78884.9315544307,113554.941526657,12984.339086264,18590.0298324101,3592.31302102096,4863.45516855212
4500,NaN,NaN,15988.6094027244,5213.25662327023,1082.66656723683,NaN,NaN,22661.6494567185,52895.7089696373,6524.31166991408,13781.2732983142,1237.11053624261,2498.05368617169,67077.9922696777,96180.0071978077,11243.5517760314,16035.2435097989,2900.12940149375,3923.1262264093
