PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,26378.7395379217,8154.45273503206,NaN,NaN,NaN,NaN,25921.3182414035,99213.4536721646,8249.83083573431,26757.1573046495,NaN,NaN,132102.74857036,207697.491968249,201666.119935417,278376.53789086
1750,NaN,NaN,NaN,22116.0984030369,6495.06514867855,NaN,NaN,NaN,NaN,22804.5315386559,81362.1917883577,6912.07428265318,21167.4582654641,NaN,NaN,104656.512985136,162495.791844132,130183.838546142,178827.147200111
2000,NaN,NaN,NaN,18802.5869614037,5303.96627107632,NaN,NaN,NaN,NaN,20180.0150011187,67659.7854083929,5867.53191466187,17107.5426624943,NaN,NaN,84114.8590195073,129164.320550961,87493.9287260835,119707.208719626
2250,NaN,NaN,NaN,16176.825794462,4418.81535257524,NaN,NaN,NaN,NaN,17952.9937708034,56950.6537854267,5037.35986498451,14074.7794177235,NaN,NaN,68470.4395476424,104110.79522927,60805.6685035748,82917.4297866057
2500,NaN,NaN,NaN,14061.4367559814,3742.27929033613,NaN,NaN,NaN,NaN,16049.9572526803,48448.2820848349,4367.36223576222,11755.3612218256,NaN,NaN,56370.1968085752,84958.8584282255,43470.351588141,59112.6863693992
2750,NaN,NaN,NaN,12332.6475898317,3213.04034790876,NaN,NaN,NaN,NaN,14413.262743193,41603.903561373,3819.33043426483,9945.64998844328,NaN,NaN,46881.2591621298,70097.227630069,31838.5119034167,43192.1029530927
3000,NaN,NaN,NaN,10901.9857455747,2790.86677250964,NaN,NaN,NaN,NaN,12997.2555800871,36026.2005235257,3365.72525238245,8509.1028132581,NaN,NaN,39347.375425571,58409.2074914936,23812.6886411817,32237.9084382286
3250,NaN,NaN,NaN,9704.86574554147,2448.44834306074,NaN,NaN,NaN,NaN,11765.4412347316,31430.696604993,2986.30763792197,7351.55736499876,NaN,NaN,33298.4800359509,49105.6073509807,18138.9993531051,24512.8983504071
3500,NaN,NaN,NaN,8693.25699962301,2166.70281248751,NaN,NaN,NaN,NaN,10688.398047564,27606.9995536696,2665.9445947188,6406.47556037729,188147.234318114,275352.608639193,28392.3431565304,41618.8162091502,14041.8614365215,18946.3051585566
3750,NaN,NaN,NaN,7830.84699223145,1931.96147515214,NaN,NaN,NaN,NaN,9742.21863860225,24397.0891339963,2393.14515734097,5625.82466008167,157398.444372005,229024.595503402,24376.1003961259,35534.0668253488,11027.0188757284,14857.8539913992
4000,NaN,NaN,NaN,7089.77498449045,1734.21948420567,NaN,NaN,NaN,NaN,8907.33350797348,21680.6168603997,2159.06208996938,4974.27024322999,132776.924254326,192172.385569849,21060.3884022719,30543.885227547,8771.09891364383,11803.67069161
4250,NaN,NaN,NaN,6448.37970222151,1566.01354678107,NaN,NaN,NaN,67478.2297294266,8167.61419850503,19364.7607520487,1956.79777678944,4425.37903333985,112860.317556932,162543.001597898,18301.6436050467,26417.3244910746,7057.52406323123,9487.18602126605
4500,NaN,NaN,NaN,5889.61680464006,1421.68206718569,NaN,NaN,NaN,61384.0371114151,7509.68319900852,17377.101237789,1780.91306129234,3959.07689756755,96599.4748184169,138487.929542281,15989.7892471814,22978.8206302442,5738.17426142081,7706.00736053494
4750,NaN,NaN,NaN,5399.92795000163,1296.86548663155,NaN,NaN,NaN,56008.035987701,6922.37830181385,15660.5389853718,1627.07411223998,3559.91097129786,83210.1029136394,118783.92231427,14039.5418792268,20093.4288639934,4709.82134720519,6319.35438558234
5000,NaN,NaN,NaN,4968.42005792521,1188.16151167496,NaN,NaN,20865.1084971747,51246.9805829721,6396.3334558195,14169.6167312986,1491.79481391685,3215.83885625361,72098.6751834041,102511.59584512,12384.1885499932,17656.3636193044,3899.28587317372,5227.600022039
