PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,26326.2172317981,8180.29276493246,NaN,NaN,NaN,NaN,25724.7070122926,100924.233548794,8483.04684160983,28162.4017614509,NaN,NaN,134858.254324317,212576.455950125,214167.372405458,295532.459430261
1750,NaN,NaN,NaN,22127.9632488409,6522.71761848147,NaN,NaN,NaN,NaN,22699.0590491717,82926.2213345546,7126.08693084626,22308.8011444761,NaN,NaN,107180.721939377,166830.495144586,138687.77948425,190432.463587407
2000,NaN,NaN,NaN,18853.2980739082,5331.98922569414,NaN,NaN,NaN,NaN,20141.4732529446,69077.4052293586,6062.99009321662,18050.6626857178,NaN,NaN,86388.9483082366,132976.076683716,93457.2462711195,127808.066017644
2250,NaN,NaN,NaN,16250.6937508739,4446.42909962488,NaN,NaN,NaN,NaN,17963.5927300263,58230.733811483,5215.59852310474,14865.6127232154,NaN,NaN,70501.4969141181,107447.992892277,65098.9073226015,88727.2436194007
2500,NaN,NaN,NaN,14148.6232446613,3769.06989398323,NaN,NaN,NaN,NaN,16096.5158726726,49602.9468297846,4529.94226720304,12426.9100339,NaN,NaN,58176.6260813967,87877.3410399241,46632.8173835783,63378.4058038488
2750,NaN,NaN,NaN,12426.8925153809,3238.80054608268,NaN,NaN,NaN,NaN,14485.9470904245,42645.9804198238,3967.81984086127,10522.1826649835,NaN,NaN,48485.4543053188,72651.5492865691,34215.196189525,46389.0059862198
3000,NaN,NaN,NaN,10999.27093405,2815.5077951615,NaN,NaN,NaN,NaN,13088.686979147,36968.0250006761,3501.59991637913,9008.83160578502,NaN,NaN,40772.1113819745,60649.0676321065,25630.660464023,34677.4009056737
3250,NaN,NaN,NaN,9802.60604862361,2471.94966637699,NaN,NaN,NaN,NaN,11870.0583589741,32283.6007155354,3110.91189495259,7788.39614656128,NaN,NaN,34565.2237883402,51074.7371993281,19551.5494677074,26404.3860548556
3500,NaN,NaN,NaN,8789.79823927607,2189.08288744062,NaN,NaN,NaN,NaN,10801.9956474627,28381.1430491048,2780.48148141436,6791.22382592735,NaN,287783.495179045,29520.5571583704,43354.9913956237,15154.841459591,20433.8985597631
3750,NaN,NaN,NaN,7925.14757003969,1953.26038869061,NaN,NaN,NaN,NaN,9861.61065769412,25101.4587897462,2498.68091160535,5966.98361111769,164606.8695301,239614.09596435,25383.0519552371,37069.5982333141,11915.0188332574,16042.8007906393
4000,NaN,NaN,NaN,7181.20019361678,1754.48857673677,NaN,NaN,NaN,NaN,9030.10479130626,22323.1033416188,2256.53695498734,5278.61696096248,139006.00354294,201250.892795321,21961.2078282946,31906.2738352592,9487.64723705216,12758.4387588588
4250,NaN,NaN,NaN,6536.56672455888,1585.30916839377,NaN,NaN,NaN,68659.4354093381,8291.93596304843,19952.266317251,2047.03903252944,4698.37797573833,118271.488551363,170372.479296096,19109.4950320342,27629.932186593,7641.67305917348,10264.5214262896
4500,NaN,NaN,NaN,5974.38490212811,1440.06183723002,NaN,NaN,NaN,62516.3165338529,7634.17484092901,17915.6545440917,1864.64824069136,4205.17976361015,101323.472623562,145277.740181827,16716.0828285907,24061.491964399,6218.84442190558,8344.88976573227
4750,NaN,NaN,NaN,5481.21804680035,1314.38608672538,NaN,NaN,NaN,57090.8456683412,7046.00318028017,16155.4054414766,1704.94343324315,3782.77854115522,87353.4615299427,124702.66757985,14694.150968944,21063.039765903,5108.72390895304,6848.99146177828
5000,NaN,NaN,NaN,5046.25372458289,1204.87742611548,NaN,NaN,NaN,52280.7091043464,6518.31979760759,14625.3992873751,1564.36242392103,3418.50738042246,75748.7392895057,107696.040893551,12975.6543229024,18527.2928615507,4232.92440878187,5670.15579276544
5250,NaN,NaN,NaN,4660.71268674506,1108.84544187963,NaN,NaN,19624.8183836269,48000.6641149077,6043.42879282816,13288.5504099178,1440.01024877445,3102.37806181875,66039.7518143594,93533.6338073009,11506.7917593675,16370.0156511171,3534.94326475556,4731.61651387076
5500,NaN,NaN,12580.6058571284,4317.40734969577,1024.14059243737,NaN,NaN,18351.5989073271,44179.2990993633,5614.79113092342,12114.7932859939,1329.51539035746,2826.43407976346,57862.9354915253,81658.0949562296,10244.6751078767,14524.4945307098,2973.47475608835,3977.33664589464
5750,NaN,NaN,11792.3087799097,4010.40811614402,949.028244015376,NaN,NaN,17187.2267853877,40756.4789265939,5226.82540674146,11079.5684829986,1230.92076202434,2584.27793206585,50934.0995310999,71636.2214109162,9154.85384313313,12937.4663969374,2517.93010099716,3365.87384933269
6000,NaN,NaN,11075.2343034618,3734.78847165016,882.095746320509,NaN,NaN,16120.2502301696,37681.3164721582,4874.74706481287,10162.6725514433,1142.60019439341,2370.72123813581,45029.1258364826,63128.1954136015,8209.45710718304,11566.0864203055,2145.38590601635,2866.20921324081
6250,NaN,NaN,10421.0887629118,3486.42831158819,822.182982246311,NaN,NaN,15140.6385528104,34910.5513458411,4554.43789158319,9347.3759408692,1063.1938449371,2181.52266183927,39969.8115015774,55865.1661241337,7385.78596678265,10375.647407369,1838.4735325759,2454.86688177765
6500,NaN,NaN,9822.74860460996,3261.8607877551,768.32983720571,NaN,NaN,14239.5800897194,32407.2460022771,4262.33949259607,8619.74038772845,991.557797468151,2013.18942933403,35613.3710505724,49632.7287384602,6665.23739451604,9337.84855397793,1583.89848512869,2113.89648943804
6750,NaN,NaN,9274.06804008077,3058.15201439147,719.736026160276,NaN,NaN,13409.3123721276,30139.7309277403,3995.36588937279,7968.08622476302,926.724407036052,1862.8254684173,31844.573701293,44258.6220031027,6032.47499957096,8429.46983141613,1371.38808536862,1829.4411830085
7000,NaN,NaN,8769.72256230734,2872.80582205428,675.730057132297,NaN,NaN,12642.9788563278,28080.7465631797,3750.83144613636,7382.57341169543,867.870856699871,1728.01411197552,28569.7986290855,39603.4773941968,5474.78495267409,7631.34869059809,1192.93440695827,1590.70874413532
7250,NaN,NaN,8305.08088746343,2703.68777542186,635.745026236408,NaN,NaN,11934.5076247222,26206.741575989,3526.39115553954,6854.86957510186,814.29404399618,1606.72669533136,25712.5006164956,35553.7993283618,4981.57208231172,6927.58408130968,1042.24343427483,1389.22386654393
7500,NaN,NaN,7876.09957521746,2548.96413062409,599.299574471712,NaN,NaN,11278.5083334062,24497.2961079794,3319.99094056435,6377.88516117155,765.390385688241,1497.25074183739,23209.7227727148,32016.592639965,4543.96291140433,6304.91281735461,914.330018490476,1218.27894938801
7750,NaN,NaN,7479.23585475671,2407.05246933957,565.982782765746,NaN,NaN,10670.1843712318,22934.6454753145,3129.82611443645,5945.56075078774,720.639473077899,1398.13310196933,21009.3936042161,28915.2176318711,4154.49089627675,5752.21763910955,805.217086699512,1072.52667002406
8000,NaN,NaN,7111.37515159002,2276.58152677978,535.442099159003,NaN,NaN,10105.2577466389,21503.2850340314,2954.30651676776,5552.69520922889,679.590763472005,1308.13460542925,19068.2166200451,26186.167945995,3806.84530241967,5260.13665993771,711.710193987639,947.674904857994
8250,NaN,NaN,6769.77055095943,2156.35830889139,507.373620379897,NaN,NaN,9579.90466159041,20189.6409569263,2792.02713812901,5194.80602039376,641.852681761057,1226.19364849339,17350.0111441877,23776.5478781318,3495.66967691592,4820.75140903349,631.227070870925,840.256279090862
8500,NaN,NaN,6451.99200458745,2045.34102654813,481.51421613611,NaN,NaN,9090.7000895104,18981.7947907707,2641.74327618417,4868.01515116099,607.083647321807,1151.39676832791,15824.3993104995,21642.0839565817,3216.39922238758,4427.33621090771,561.667691740084,747.452649462901
