PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,4f5,4f7
1500,NaN,NaN,NaN,NaN,7060.41182120501,NaN,NaN,NaN,NaN,24872.1444611435,107587.33485748,9367.76044003487,34072.3837822838,NaN,NaN,144885.048854642,230956.538759064,264132.073764224,364142.665651171
1750,NaN,NaN,NaN,22027.8088010619,5654.39650442799,NaN,NaN,NaN,NaN,22193.465045713,89069.3207970545,7949.51735594452,27142.2349825305,NaN,NaN,116569.195006522,183441.891854564,173111.121293919,237425.905252708
2000,NaN,NaN,NaN,18927.8135001529,4641.19931433862,NaN,NaN,NaN,NaN,19896.1491100508,74684.6869826408,6823.76004037403,22067.6649954839,NaN,NaN,94991.3822639431,147785.119525823,117848.686990657,160946.030167065
2250,NaN,NaN,NaN,16435.3289637634,3885.32787734751,NaN,NaN,NaN,NaN,17913.6736743057,63324.4062334469,5916.089229159,18250.414086951,NaN,NaN,78290.7851768336,120562.174892366,82812.8376238935,112696.127050794
2500,NaN,NaN,NaN,14401.8169789895,3305.4152572855,NaN,NaN,NaN,NaN,16193.09815444,54221.5002984838,5174.19993209192,15313.2276472618,NaN,NaN,65184.7117834149,99458.4596841732,59778.354495012,81104.8338644127
2750,NaN,NaN,NaN,12721.4411755371,2850.10239406577,NaN,NaN,NaN,NaN,14691.9154405286,46833.2610084276,4560.48123142671,13009.1846949894,NaN,NaN,54770.8645011994,82873.9621619491,44158.0821299958,59757.3087139373
3000,NaN,NaN,NaN,11317.1544253921,2485.61965476347,NaN,NaN,NaN,NaN,13375.7142414835,40767.8354239848,4047.34670120009,11171.4761460928,NaN,NaN,46402.8868913697,69680.3754806522,33279.0685495571,44934.5324189448
3250,NaN,NaN,NaN,10131.7976022906,2188.9920966844,NaN,NaN,NaN,NaN,12216.4241273024,35737.1655028412,3614.20398668485,9684.30519125789,NaN,NaN,39610.1162721595,59067.6781042185,25523.9730219931,34396.0219212277
3500,NaN,NaN,NaN,9122.2490440575,1944.12986327296,NaN,NaN,NaN,NaN,11190.9842601565,31526.0633156656,3245.43875095844,8465.36317817293,NaN,NaN,34044.7011708897,50444.891836982,19881.631086259,26746.331526355
3750,NaN,NaN,NaN,8255.48635219736,1739.48115360983,NaN,NaN,NaN,NaN,10280.3237218086,27971.4338127868,2929.04349531364,7454.91788419604,NaN,NaN,29446.0587695748,43374.4956910916,15701.4625804859,21090.6204574298
4000,NaN,NaN,NaN,7505.8784949655,1566.57118532784,NaN,NaN,NaN,NaN,9468.57343990642,24948.034382192,2655.66633143378,6608.8176284168,NaN,239810.013768534,25616.5550015923,37528.2331014444,12554.1343964315,16840.0978684405
4250,NaN,NaN,NaN,6853.28801189097,1419.06368406279,NaN,NaN,NaN,NaN,8742.45196292242,22358.5372555626,2417.93920334437,5893.88878780577,141255.886773093,203722.738022837,22404.589382387,32656.8041532546,10149.8474047775,13598.3706801372
4500,NaN,NaN,NaN,6281.71788023236,1292.14124630638,NaN,NaN,NaN,NaN,8090.78294517714,20126.4802429475,2209.99572717984,5284.83765875929,121450.146571967,174276.47052216,19692.6523391568,28568.7423911126,8288.98708867189,11093.0418819557
4750,NaN,NaN,NaN,5778.33154967692,1182.0862094315,NaN,NaN,NaN,61222.5221823059,7504.11328513383,18191.1911134127,2027.11999254302,4762.12170686066,105056.011922013,150043.399685207,17388.7761656192,25115.4734689255,6831.52580380896,9133.43079531129
5000,NaN,NaN,NaN,5332.73306647902,1085.99098190368,NaN,NaN,NaN,56244.7003918237,6974.40881146782,16504.0827217842,1865.48728616759,4310.45959746665,91384.4276457446,129943.653416233,15420.336823456,22180.6015342318,5677.59730082617,7583.80562156569
5250,NaN,NaN,NaN,4936.43133021388,1001.55395519629,NaN,NaN,NaN,51797.4505513979,6494.81017448247,15025.9144673335,1721.97029714746,3917.77072397637,79904.5577625741,113151.23879933,13729.5068180246,19672.1297982243,4754.89730741098,6346.06559853285
5500,NaN,NaN,NaN,4582.43658985093,926.933199377339,NaN,NaN,NaN,47811.5290221008,6059.43581733811,13724.7444113162,1593.99260676682,3574.40884588871,70203.3769888458,99027.7440826357,12269.8825799544,17516.7454286515,4010.35090108374,5348.31397510504
5750,NaN,NaN,NaN,4264.95317042751,860.639924312681,NaN,NaN,17749.9552223554,44228.2985721609,5663.22201483851,12574.3813303326,1479.41675355208,3272.60050917125,61956.5560700095,87074.9654724592,11003.9573215925,15655.575231547,3404.50289342518,4537.18122934664
6000,NaN,NaN,NaN,3979.14308359815,801.45978381566,NaN,NaN,16702.1189110667,40997.875583996,5301.79228550879,11553.2029324565,1376.45787526032,3006.0282421193,54907.2294724331,76900.6261087261,9901.20928787309,14041.0016195266,2907.6793172861,3872.58206611532
6250,NaN,NaN,10610.547637316,3720.94244278003,748.393984051057,NaN,NaN,15736.05032988,38077.6387913309,4971.35022239541,10643.2452063165,1283.61647616431,2769.51754666778,48850.3367440961,68193.2766468856,8936.64259079089,12634.2513547995,2497.3211345038,3324.07992807934
6500,NaN,NaN,10019.1783574055,3486.91762825057,700.614682684318,NaN,NaN,14843.8767256909,35431.0219707564,4668.59110360857,9829.49459202832,1199.62563940725,2558.79927159121,43620.9531712413,60703.717007889,8089.66413080368,11403.5533147204,2156.10635192646,2868.33064056232
