X-ray absorption edges for Ga
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  10367.0	  1.820	  0.49677	  7.468
    L1	  1299.0	  3.380	  0.00210	  1.135
    L2	  1143.2	  0.830	  0.01200	  1.400
    L3	  1116.4	  0.760	  0.01300	  2.959
    M1	  159.5	  2.563	  0.00001	  1.040
    M2	  103.5	  2.053	  0.00002	  1.058
    M3	  100.0	  2.053	  0.00000	  1.111
    M4	  18.7	  0.044	  0.00262	  1.000
    M5	  18.7	  0.044	  0.00000	  1.000
    N1	  1.0	  0.002	  0.00001	  1.000
    N2	  2.0	  0.001	  0.01061	  1.000
    N3	  2.0	  0.001	  0.01061	  1.000
