X-ray absorption edges for As
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  11867.0	  2.140	  0.54899	  7.314
    L1	  1527.0	  3.790	  0.00280	  1.137
    L2	  1359.1	  1.030	  0.01400	  1.400
    L3	  1323.6	  0.940	  0.01600	  4.156
    M1	  204.7	  3.478	  0.00002	  1.040
    M2	  146.2	  2.164	  0.00003	  1.058
    M3	  141.2	  2.164	  0.00002	  1.115
    M4	  41.7	  0.059	  0.00270	  1.000
    M5	  41.7	  0.059	  0.00000	  1.000
    N1	  8.0	  0.014	  0.00001	  1.000
    N2	  3.0	  0.001	  0.01129	  1.000
    N3	  3.0	  0.001	  0.01129	  1.000
