X-ray absorption edges for Zr
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  17998.0	  3.840	  0.70511	  6.749
    L1	  2532.0	  4.780	  0.00680	  1.143
    L2	  2307.0	  1.780	  0.02800	  1.400
    L3	  2223.0	  1.570	  0.03100	  3.836
    M1	  430.3	  6.331	  0.00007	  1.040
    M2	  343.5	  2.600	  0.00001	  1.058
    M3	  329.8	  2.600	  0.00015	  1.128
    M4	  181.1	  0.070	  0.00270	  1.159
    M5	  178.8	  0.070	  0.00000	  1.565
    N1	  50.6	  6.200	  0.00000	  1.000
    N2	  28.5	  0.001	  0.00002	  1.000
    N3	  27.1	  0.001	  0.00002	  1.000
