X-ray absorption edges for Xe
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  34561.0	  11.400	  0.90290	  5.988
    L1	  5453.0	  3.640	  0.04600	  1.150
    L2	  5107.0	  3.400	  0.08300	  1.400
    L3	  4786.0	  3.130	  0.08500	  2.920
    M1	  1148.7	  10.296	  0.00047	  1.040
    M2	  1002.1	  5.348	  0.00090	  1.058
    M3	  940.6	  5.348	  0.00068	  1.144
    M4	  689.0	  0.746	  0.00270	  1.144
    M5	  676.4	  0.686	  0.00000	  1.149
    N1	  213.2	  4.806	  0.00002	  1.189
    N2	  146.7	  2.700	  0.00006	  1.005
    N3	  145.5	  2.700	  0.00006	  1.726
    N4	  69.5	  0.108	  0.00006	  1.000
    N5	  67.5	  0.108	  0.00006	  1.000
    O1	  23.3	  0.100	  0.00000	  1.000
    O2	  13.4	  0.100	  0.00000	  1.000
    O3	  12.1	  0.100	  0.00000	  1.000
