X-ray absorption edges for La
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  38925.0	  14.100	  0.92779	  5.863
    L1	  6266.0	  4.060	  0.05500	  1.151
    L2	  5891.0	  3.680	  0.10300	  1.400
    L3	  5483.0	  3.410	  0.10400	  2.868
    M1	  1362.0	  11.239	  0.00084	  1.040
    M2	  1209.0	  6.242	  0.00110	  1.058
    M3	  1128.0	  6.242	  0.00099	  1.146
    M4	  853.0	  0.929	  0.00270	  1.085
    M5	  836.0	  0.820	  0.00000	  1.271
    N1	  274.7	  6.520	  0.00002	  1.164
    N2	  205.8	  3.625	  0.00011	  1.005
    N3	  196.0	  3.625	  0.00009	  1.512
    N4	  105.3	  0.230	  0.00014	  1.000
    N5	  102.5	  0.230	  0.00014	  1.000
    O1	  34.3	  0.100	  0.00000	  1.000
    O2	  19.3	  0.100	  0.00000	  1.000
    O3	  16.8	  0.100	  0.00000	  1.000
