X-ray absorption edges for Gd
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  50239.0	  22.300	  0.96601	  5.537
    L1	  8376.0	  5.050	  0.07900	  1.153
    L2	  7930.0	  4.320	  0.15800	  1.400
    L3	  7243.0	  4.010	  0.15500	  2.747
    M1	  1881.0	  13.788	  0.00092	  1.040
    M2	  1688.0	  8.952	  0.00156	  1.058
    M3	  1544.0	  8.952	  0.00131	  1.151
    M4	  1221.9	  1.587	  0.00475	  1.228
    M5	  1189.6	  1.185	  0.00707	  1.142
    N1	  378.6	  12.205	  0.00003	  1.117
    N2	  286.0	  7.211	  0.00007	  1.005
    N3	  271.0	  7.211	  0.00006	  1.137
    N4	  142.6	  2.010	  0.00011	  1.135
    N5	  142.6	  2.010	  0.00011	  1.135
    N6	  8.6	  0.001	  0.00000	  1.000
    N7	  8.6	  0.001	  0.00000	  1.000
    O1	  36.0	  0.100	  0.00000	  1.000
    O2	  20.0	  0.100	  0.00000	  1.000
    O3	  20.0	  0.100	  0.00000	  1.000
