X-ray absorption edges for Os
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  73871.0	  44.400	  0.98270	  5.007
    L1	  12968.0	  7.250	  0.13000	  1.155
    L2	  12385.0	  5.590	  0.29500	  1.400
    L3	  10871.0	  5.160	  0.28100	  2.587
    M1	  3049.0	  19.575	  0.00165	  1.040
    M2	  2792.0	  13.527	  0.00325	  1.058
    M3	  2457.0	  10.323	  0.00320	  1.157
    M4	  2031.0	  4.000	  0.01370	  1.100
    M5	  1960.0	  2.200	  0.02320	  1.050
    N1	  658.2	  14.953	  0.00009	  1.056
    N2	  549.1	  13.000	  0.00009	  1.005
    N3	  470.7	  13.000	  0.00007	  1.067
    N4	  293.1	  8.000	  0.00013	  1.020
    N5	  278.5	  8.000	  0.00014	  1.031
    N6	  53.4	  0.105	  0.00002	  1.000
    N7	  50.7	  0.105	  0.00002	  1.000
    O1	  84.0	  0.100	  0.00000	  1.000
    O2	  58.0	  0.100	  0.00000	  1.000
    O3	  44.5	  0.100	  0.00000	  1.000
