X-ray absorption edges for Tl
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  85530.0	  57.400	  0.97888	  4.781
    L1	  15347.0	  12.000	  0.10700	  1.156
    L2	  14698.0	  6.320	  0.36000	  1.400
    L3	  12658.0	  5.650	  0.34700	  2.520
    M1	  3704.0	  22.000	  0.00251	  1.040
    M2	  3416.0	  15.064	  0.02441	  1.058
    M3	  2957.0	  10.000	  0.00477	  1.159
    M4	  2485.0	  2.893	  0.02970	  1.162
    M5	  2389.0	  2.674	  0.02905	  1.367
    N1	  846.2	  15.781	  0.00018	  1.036
    N2	  720.5	  13.000	  0.00015	  1.005
    N3	  609.5	  13.000	  0.00012	  1.060
    N4	  405.7	  8.000	  0.00019	  1.020
    N5	  385.0	  8.000	  0.00019	  1.017
    N6	  122.2	  0.176	  0.00011	  1.000
    N7	  117.8	  0.176	  0.00011	  1.047
    O1	  136.0	  0.100	  0.00000	  1.172
    O2	  94.6	  0.100	  0.00000	  1.000
    O3	  73.5	  0.100	  0.00000	  1.000
    O4	  14.7	  0.100	  0.00000	  1.000
    O5	  12.5	  0.100	  0.00000	  1.000
