X-ray absorption edges for Pb
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  88005.0	  60.400	  0.97779	  4.731
    L1	  15861.0	  12.200	  0.11200	  1.156
    L2	  15200.0	  6.480	  0.37300	  1.400
    L3	  13035.0	  5.810	  0.36000	  2.506
    M1	  3851.0	  22.000	  0.00270	  1.040
    M2	  3554.0	  15.129	  0.01546	  1.058
    M3	  3066.0	  10.000	  0.00505	  1.159
    M4	  2586.0	  2.994	  0.03135	  1.265
    M5	  2484.0	  2.766	  0.03078	  1.757
    N1	  891.8	  15.566	  0.00021	  1.032
    N2	  761.9	  13.000	  0.00017	  1.005
    N3	  643.5	  13.000	  0.00013	  1.060
    N4	  434.3	  7.738	  0.00021	  1.020
    N5	  412.2	  7.738	  0.00021	  1.007
    N6	  141.7	  0.157	  0.00014	  1.000
    N7	  136.9	  0.157	  0.00014	  1.168
    O1	  147.0	  0.100	  0.00000	  1.172
    O2	  106.4	  0.100	  0.00000	  1.160
    O3	  83.3	  0.100	  0.00000	  1.000
    O4	  20.7	  0.100	  0.00000	  1.000
    O5	  18.1	  0.100	  0.00000	  1.000
    P1	  3.0	  0.100	  0.00000	  1.000
    P2	  1.0	  0.100	  0.00000	  1.000
    P3	  1.0	  0.100	  0.00000	  1.000
