X-ray absorption edges for Po
  Edge  	  Energy (eV)  	  Width (eV)	  Fluorescence Yield	  Edge Jump
    K	  93105.0	  66.600	  0.97552	  4.628
    L1	  16939.0	  12.600	  0.12200	  1.156
    L2	  16244.0	  6.830	  0.40100	  1.400
    L3	  13814.0	  6.130	  0.38600	  2.478
    M1	  4149.0	  22.000	  0.00324	  1.040
    M2	  3854.0	  15.259	  0.00760	  1.058
    M3	  3302.0	  10.000	  0.00565	  1.160
    M4	  2798.0	  3.207	  0.03383	  1.526
    M5	  2683.0	  2.959	  0.03373	  2.969
    N1	  995.0	  15.144	  0.00028	  1.025
    N2	  851.0	  13.000	  0.00019	  1.005
    N3	  705.0	  13.000	  0.00013	  1.060
    N4	  500.0	  7.239	  0.00025	  1.020
    N5	  473.0	  7.239	  0.00025	  1.005
    N6	  184.0	  0.125	  0.00027	  1.283
    N7	  184.0	  0.125	  0.00027	  1.283
    O1	  177.0	  0.100	  0.00000	  1.297
    O2	  132.0	  0.100	  0.00000	  1.160
    O3	  104.0	  0.100	  0.00000	  1.500
    O4	  31.0	  0.100	  0.00000	  1.000
    O5	  31.0	  0.100	  0.00000	  1.000
    P1	  9.0	  0.100	  0.00000	  1.000
    P2	  4.0	  0.100	  0.00000	  1.000
    P3	  1.0	  0.100	  0.00000	  1.000
