PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,1.99759970057938,1.99596181500389,NaN,NaN,1.07124409234411,1.07550430452458,1.0873900595069,1.11544642988691,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,NaN,1.99581078498489,1.99454326902245,NaN,NaN,0.994435983399383,1.00209419672066,1.03011868041053,1.05961599437055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,1.99386762357687,1.99291916329157,NaN,NaN,0.926482253061664,0.936351227315396,0.978687837717952,1.0085682552431,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250,1.99902850644071,1.99181413594144,1.99111976224015,NaN,NaN,0.865972378885984,0.877318368486243,0.931919745663337,0.961437192192544,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500,1.99660198491968,1.98967844684214,1.98916789582205,NaN,NaN,0.811736160065481,0.824087993417358,0.888965021965339,0.917575653919631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750,1.99416159622072,1.98747952453372,1.98708137344399,NaN,NaN,0.762825884258386,0.775873367536559,0.849190557819859,0.876488475625936,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,1.99170972703773,1.98523069627387,1.98487445895832,NaN,NaN,0.718476049847503,0.732012215902801,0.812111473788663,0.837788476741335,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3250,1.98924819481698,1.98294164168342,1.98255882187424,NaN,NaN,0.678065099033072,0.691951592602367,0.777347916940313,0.80116705562441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500,1.98677841577382,1.9806195866462,1.98014417781489,NaN,NaN,0.641084219621127,0.655229628804513,0.744596562938527,0.766374086073931,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3750,1.98430151510718,1.97827005126043,1.97763873523456,NaN,NaN,0.607113098703649,0.621458891252538,0.713611197611214,0.733203845620754,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000,1.98181840175878,1.97589733636651,1.97504951631399,NaN,NaN,0.575801352374595,0.590312465492378,0.684189111186478,0.701484943826794,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4250,1.97932982058783,1.97350485029311,1.97238259329673,NaN,NaN,0.546854320703563,0.561512699352559,0.656161332087393,0.671072964715905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4500,1.97683638968872,1.97109533440798,1.96964326631676,NaN,NaN,0.520022151141909,0.534822211458408,0.629385467084806,0.641844991497192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4750,1.9743386276588,1.9686710225792,1.96683619971309,NaN,NaN,0.495091347287431,0.510036730122139,0.603740353595586,0.613695463384277,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,1.97183697390069,1.96623375630194,1.96396552823869,NaN,NaN,0.471878170527316,0.486979379530992,0.579121998922833,0.586532992787384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5250,1.96933180399209,1.96378506937449,1.96103494101276,NaN,NaN,0.450223442600797,0.465496101090047,0.555440450871742,0.560277886701672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5500,1.96682344149558,1.96132625121739,1.9580477487362,NaN,NaN,0.429988415507194,0.445451963965114,0.53261735391437,0.534860192476828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
