PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,1.99486789865242,1.98819647065223,NaN,0.621068141153869,0.88526628411567,1.5848997425205,1.6021895382897,1.57838710013756,1.5934801997129,NaN,NaN,1.08546619503892,1.07033001677894,NaN,NaN,NaN,NaN,NaN,NaN
1750,NaN,1.98309762523345,1.99555887864196,1.98779750076725,NaN,1.2628581016205,1.30440060667905,1.55519246660881,1.57086317099364,1.54587654663843,1.55673753031964,NaN,NaN,1.03450304821334,1.01810926674863,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,1.98871473515876,1.99598619580336,1.98778671518497,NaN,1.38338679329335,1.42121175780657,1.52432522326125,1.53941884742287,1.51468015626525,1.52196179780334,NaN,NaN,0.985635481518641,0.968560159801997,NaN,NaN,NaN,NaN,NaN,NaN
2250,NaN,1.99277263110447,1.99619520575567,1.98802001364212,NaN,1.4270686171846,1.46790536554328,1.49335671491415,1.50849731935111,1.48477292666246,1.48903633285145,NaN,NaN,0.939253482911473,0.922100719255833,NaN,NaN,NaN,NaN,NaN,NaN
2500,NaN,1.99570659873496,1.9962186139482,1.98839798599085,NaN,1.44202627026303,1.48448937867149,1.46281616968389,1.4783712378471,1.4560816537687,1.45780706030554,NaN,NaN,0.895449498661891,0.878764706719137,NaN,NaN,NaN,NaN,NaN,NaN
2750,NaN,1.99780001359309,1.99608101208589,1.98884893093683,NaN,1.44242460902241,1.48523790206355,1.43296726632014,1.44914487020711,1.42851881279949,1.42811830153368,NaN,NaN,0.854186460803813,0.838430013943748,NaN,NaN,NaN,NaN,NaN,NaN
3000,NaN,1.99924599888356,1.99580150448209,1.98931933186381,NaN,1.43435273481841,1.47680199521548,1.40393383655283,1.42084170107213,1.40199641158678,1.39982541701223,NaN,NaN,0.815370184052892,0.800915230822519,NaN,NaN,NaN,NaN,NaN,NaN
3250,NaN,2.00018112959906,1.9953953253487,1.98976817735828,NaN,1.42101442528955,1.46276091171805,1.37576370755872,1.39344579147957,1.3764315240908,1.37279847703751,NaN,NaN,0.778882935511682,0.766022435698053,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,2.00070498332335,1.99487488505269,1.99016340342213,NaN,1.40430171492808,1.44521989004252,1.34846275270855,1.36692235198343,1.35174821651193,1.34692241299093,NaN,NaN,0.744599698744467,0.733556371481301,NaN,NaN,NaN,NaN,NaN,NaN
3750,NaN,2.00089204613871,1.99425047481431,1.99047957263797,NaN,1.38541320971991,1.42549267737746,1.32201374036729,1.34122833966886,1.327877887436,1.32209585766342,NaN,NaN,0.712396188753939,0.703332727359336,NaN,NaN,NaN,NaN,NaN,NaN
4000,NaN,2.00079926331648,1.99353075756939,1.99069630790114,NaN,1.36514337023673,1.40443363069115,1.29638705768219,1.31631802006915,1.30475892813684,1.29822959209463,NaN,NaN,0.682152742159329,0.675181247729703,NaN,NaN,NaN,NaN,NaN,NaN
4250,NaN,2.00047099559553,1.99272311973959,1.99079720425538,NaN,1.34403509432756,1.38261494774855,1.27154692633147,1.29214588869161,1.2823361198145,1.27524497684122,NaN,NaN,0.65375607781793,0.648946367638323,NaN,NaN,NaN,NaN,NaN,NaN
4500,NaN,1.99994237008954,1.99183392953784,1.99076905356071,NaN,1.32246725619267,1.36042796006371,1.24745504056352,1.26866816874123,1.26055996049231,1.25307251326037,NaN,NaN,0.627099939075012,0.624486691615901,NaN,NaN,NaN,NaN,NaN,NaN
4750,NaN,1.99924160473261,1.99086873068546,1.99060127955135,NaN,1.30070806917437,1.33814415439287,1.22407269560654,1.24584352700162,1.23938600860495,1.23165057945874,NaN,NaN,0.602085148499877,0.601673971568941,NaN,NaN,NaN,NaN,NaN,NaN
5000,NaN,1.9983916574042,1.98983239039496,1.99028551775914,NaN,1.27894911918697,1.31595349374109,1.20136201560632,1.22363335701846,1.2187742796112,1.21092434260279,NaN,NaN,0.578619361001931,0.580391912030078,NaN,NaN,NaN,NaN,NaN,NaN
5250,NaN,1.99741141945591,1.98872921426876,1.98981529722125,NaN,1.25732783905229,1.29398930390491,1.17928663744336,1.20200182397951,1.19868870761551,1.190844832352,NaN,NaN,0.556616671808004,0.560534964909816,NaN,NaN,NaN,NaN,NaN,NaN
5500,NaN,1.99631659495533,1.98756303680792,1.98918579494842,NaN,1.23594276488592,1.27234488751837,1.15781206333743,1.18091578137815,1.17909667253318,1.17136815490442,NaN,NaN,0.535997165475414,0.54200719021182,NaN,NaN,NaN,NaN,NaN,NaN
5750,NaN,1.99512035877886,1.98633729363404,1.9883936431735,NaN,1.21486412760066,1.2510848737697,1.1369058116576,1.16034462245161,1.15996858827255,1.15245482695161,NaN,NaN,0.516686453092067,0.52472121476115,NaN,NaN,NaN,NaN,NaN,NaN
6000,NaN,1.9938338562847,1.98505507979172,1.98743677535687,NaN,1.19414134394689,1.23025312398416,1.11653744568247,1.14026010253703,1.1412775455076,1.13406921068491,NaN,NaN,0.498615222825255,0.508597298165419,NaN,NaN,NaN,NaN,NaN,NaN
6250,NaN,1.99246658765821,1.98371919731037,1.98631430093502,NaN,1.17380839835385,1.209878330061,1.0966785299399,1.1206361529405,1.12299900224981,1.11617903348065,NaN,NaN,0.48171881648404,0.493562503834909,NaN,NaN,NaN,NaN,NaN,NaN
6500,NaN,1.99102670706242,1.98233219437504,1.98502640155064,NaN,1.153887761389,1.18997803562098,1.07730254520254,1.10144869780899,1.10511051577332,1.09875497839968,NaN,NaN,0.465936837652877,0.479549967583684,NaN,NaN,NaN,NaN,NaN,NaN
6750,NaN,1.98952125800728,1.98089639786807,1.98357424342584,NaN,1.13439327560426,1.17056155957389,1.05838478163263,1.08267548013061,1.08759151008376,1.08177033391622,NaN,NaN,0.451212792950296,0.466498254257217,NaN,NaN,NaN,NaN,NaN,NaN
7000,NaN,1.9879563603818,1.97941394061914,1.98195990190671,NaN,1.11533230195483,1.15163214398089,1.03990222225909,1.06429589982681,1.07042307383958,1.06520069326153,NaN,NaN,0.437493765766493,0.454350792433117,NaN,NaN,NaN,NaN,NaN,NaN
