PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,1.97857160474458,1.98275263932235,1.97492821512147,NaN,NaN,1.59485326295217,1.63802847229391,1.68877242412963,1.73810421264479,NaN,NaN,1.24002146423681,1.21793325804816,1.29841267170647,1.26709776217086,NaN,NaN,NaN,NaN
1750,NaN,NaN,1.9809478874585,1.98241728507752,1.97591056271896,NaN,NaN,1.61443137070128,1.65665493389563,1.67380989892231,1.72411856474034,NaN,NaN,1.22975127650765,1.20590147619733,1.26382336382124,1.22812876421319,NaN,NaN,NaN,NaN
2000,NaN,NaN,1.98292111508804,1.9825010852431,1.97703564697148,NaN,NaN,1.62086639225012,1.66145683118615,1.65696712379005,1.70770344211466,NaN,NaN,1.21030547435272,1.18454571484962,1.22711465988138,1.18976347584968,NaN,NaN,NaN,NaN
2250,NaN,NaN,1.98457468012468,1.98287014993489,1.97823920675479,NaN,NaN,1.61933184146899,1.65849099235291,1.63910700825935,1.68998555693087,NaN,NaN,1.18617178828037,1.15853663791104,1.19008322585455,1.15271014708668,NaN,NaN,NaN,NaN
2500,NaN,NaN,1.98596614464408,1.98343150610078,1.97947618740991,NaN,NaN,1.61269418349457,1.65085370619795,1.62072988559204,1.67161151513408,NaN,NaN,1.15959826291344,1.13027225212403,1.15361494639892,1.1172346755995,NaN,NaN,NaN,NaN
2750,NaN,NaN,1.9871371459491,1.98411775673425,1.98071361410196,NaN,NaN,1.60267839593137,1.64028126269112,1.60213812285068,1.65296778572227,NaN,NaN,1.13182516442155,1.10108123788747,1.11815742883142,1.0834029391593,NaN,NaN,NaN,NaN
3000,NaN,NaN,1.98811893203344,1.98487835840236,1.98192653182136,NaN,NaN,1.59038154608252,1.6278145370265,1.58351965757355,1.63429170738496,NaN,NaN,1.10358432242735,1.07173597222383,1.08393220876544,1.05118843206475,NaN,NaN,NaN,NaN
3250,NaN,NaN,1.98893566069226,1.98567436459192,1.98309555063213,NaN,NaN,1.57652987875469,1.61410952408077,1.56499329967721,1.61573130958738,NaN,NaN,1.07532796772821,1.0426980557302,1.05103856657296,1.02052291720182,NaN,NaN,NaN,NaN
3500,NaN,NaN,1.98960647007871,1.98647510473824,1.98420528850929,NaN,1.03677843637131,1.56161901271503,1.5995958506436,1.54663462540444,1.59737927588725,NaN,NaN,1.04734417769283,1.01424624991318,1.01950765200508,0.991321174778468,NaN,NaN,NaN,NaN
3750,NaN,NaN,1.99014683454512,1.98725600267565,1.98524334366609,1.13816990492051,1.28095333536948,1.54599530040562,1.58456344837415,1.52849142194391,1.57929305898797,NaN,NaN,1.01981968589992,0.98654755169444,0.989332094409468,0.96349331879257,NaN,NaN,NaN,NaN
4000,NaN,1.96858205151761,1.99056948455083,1.98799709576078,1.98619959338777,1.28831986152969,1.37995447844086,1.5299053573201,1.56921262708844,1.51059322790896,1.56150721527797,NaN,NaN,0.99287616755078,0.959698679596748,0.960482805303141,0.936950900238438,NaN,NaN,NaN,NaN
4250,NaN,1.9735491297808,1.99088504988973,1.98868200106395,1.98706570186425,1.35275984087839,1.4320617415178,1.51352739163992,1.55368433538788,1.49295740091575,1.54404118971912,NaN,NaN,0.966592237743843,0.933751251484661,0.932918776409719,0.911609815766645,NaN,NaN,NaN,NaN
4500,NaN,1.97777514417842,1.9911025212555,1.98929717595846,1.98783476613638,1.38652940124084,1.46183246338634,1.49699165729044,1.538079146045,1.47559307175548,1.52690434896301,NaN,NaN,0.941017322098353,0.908727548733791,0.906592902986764,0.887391546589416,NaN,NaN,NaN,NaN
4750,NaN,1.98137191643881,1.99122958898759,1.98983137792494,1.98850105585701,1.40526459815261,1.47888961588405,1.48039416585333,1.5224695500012,1.4585037746204,1.51009930145345,NaN,NaN,0.916180689805497,0.884630637885923,0.881455483406805,0.864223522088517,NaN,NaN,NaN,NaN
5000,NaN,1.98442932712344,1.99127289663351,1.99027526239261,1.98905981831913,1.41526058247963,1.48790882816337,1.46380609029631,1.506908135214,1.44168922697282,1.49362412440696,NaN,NaN,0.892097496283927,0.861451002756821,0.857456327238476,0.842039031688685,NaN,NaN,NaN,NaN
5250,NaN,1.98702050105684,1.99123823408754,1.99062107822762,1.98950712985199,1.41960422154631,1.49148674234538,1.44728034208514,1.49143315593121,1.42514655129812,1.4774738781431,NaN,NaN,0.868772917198172,0.839170961134936,0.834546014227128,0.82077691423105,NaN,NaN,NaN,NaN
5500,NaN,1.98920558054086,1.99113068700651,1.99086243356235,1.98983978077138,1.42002521550637,1.49120502233795,1.43085625093325,1.47607240247432,1.40887112359343,1.46164164710277,NaN,NaN,0.84620503058541,0.817767643452381,0.812676627809406,0.800381149668989,NaN,NaN,NaN,NaN
5750,NaN,1.99103451699983,1.99095475401931,1.99099411310974,1.9900551850102,1.41759110933494,1.488094423995,1.41456294518464,1.46084593810176,1.3928571680925,1.44611926140784,NaN,NaN,0.824386858369904,0.797215020288876,0.79180216040046,0.780800420704971,NaN,NaN,NaN,NaN
6000,NaN,1.99254916758931,1.99071443983106,1.99101193369122,1.99015130816523,1.41300992689556,1.48286187969911,1.39842182643603,1.44576806493522,1.37709817698612,1.43089779977592,NaN,NaN,0.803307831853053,0.777485290594941,0.771878712800523,0.761987680211894,NaN,NaN,NaN,NaN
6250,NaN,1.99378489133349,1.99041333002279,1.99091262847615,1.99012660946198,1.40677743741726,1.4760117614312,1.38244840271168,1.43084875559979,1.36158720794439,1.41596794098202,NaN,NaN,0.782954855449867,0.758549834404036,0.752864564713042,0.743899742498011,NaN,NaN,NaN,NaN
6500,NaN,1.99477177936291,1.99005465176832,1.99069375302217,1.98997999435685,1.39925542393346,1.46791527226763,1.36665366088795,1.41609470849622,1.34631709539272,1.40132020933209,NaN,NaN,0.763313085856792,0.740379865479094,0.734720165375597,0.726496906519828,NaN,NaN,NaN,NaN
6750,NaN,1.99553561390036,1.98964132358604,1.99035360801945,1.9897107753497,1.39071640013832,1.45885245440828,1.35104510390617,1.40151013404312,1.33128060035551,1.38694514532906,NaN,NaN,0.744366506906565,0.72294687529446,0.717408075745922,0.709742613630348,NaN,NaN,NaN,NaN
7000,NaN,1.99609862358857,1.98917599645915,1.98989117493071,1.98931863918827,1.38137074761327,1.44903883536269,1.33562754127156,1.38709734606685,1.31647051620458,1.3728334231726,NaN,NaN,0.726098355977087,0.706222930855446,0.70089288251607,0.693603139469249,NaN,NaN,NaN,NaN
7250,NaN,1.99648008411391,1.98866108809301,1.98930606164831,1.9888036190857,1.37138404281555,1.43864300627972,1.32040369605652,1.37285721037766,1.30187974255874,1.35897593027361,NaN,NaN,0.708491441413991,0.690180869594989,0.685141097039181,0.678047318074399,NaN,NaN,NaN,NaN
7500,NaN,1.99669680004069,1.98809881166464,1.98859845596976,1.98816607089455,1.36088860534895,1.42779861083139,1.30537467411708,1.35878948754072,1.28750133606927,1.34536381953272,NaN,NaN,0.691528379203704,0.674794421564781,0.670121047582585,0.663046295596921,NaN,NaN,NaN,NaN
7750,NaN,1.99676349451994,1.98749120011423,1.98776908519554,1.9874066524196,1.34999147918483,1.4166127580206,1.29054032894026,1.34489309649187,1.27332854437571,1.33198854205693,NaN,NaN,0.675191769341036,0.660038280222662,0.6558027702637,0.6485733107727,NaN,NaN,NaN,NaN
8000,NaN,1.99669312688832,1.98684012679949,1.98681918053077,1.9865263052312,1.3387801206028,1.40517207193181,1.27589954680317,1.33116631840856,1.25935482778761,1.31884186583195,NaN,NaN,0.659464326850204,0.645888136944458,0.642157902014042,0.634603499330259,NaN,NaN,NaN,NaN
8250,NaN,1.99649715333679,1.98614732316052,1.98575044525724,1.98552623847671,1.32732655859692,1.39354713531966,1.26145047064441,1.31760695512217,1.24557387201678,1.30591588434115,NaN,NaN,0.644328978509428,0.632320690069732,0.629159577590459,0.621113719675137,NaN,NaN,NaN,NaN
8500,NaN,1.99618574227119,1.98541439391068,1.98456502586169,1.98440791429189,1.31569050592131,1.38179581414077,1.24719067648482,1.30421245268778,1.23197959439981,1.29320301803222,NaN,NaN,0.629768933512082,0.619313636242208,0.616782331778646,0.608082397412652,NaN,NaN,NaN,NaN
8750,NaN,1.99576795334325,1.98464283016674,1.98326548547481,1.98317303449465,1.30392172963207,1.3699657852158,1.23311731288685,1.29097999807056,1.21856614540982,1.28069601074811,NaN,NaN,0.615767734246043,0.606845649635981,0.605002007360594,0.595489386513535,NaN,NaN,NaN,NaN
9000,NaN,1.99525188714583,1.98383402085235,1.98185477910824,1.98182352830662,1.29206188670365,1.35809648539105,1.21922721146319,1.27790659496481,1.20532790678891,1.26838792267068,NaN,NaN,0.602309291865038,0.594896353103476,0.593795669044835,0.583315845167605,NaN,NaN,NaN,NaN
9250,NaN,1.99464481106316,1.98298926264638,1.98033623028057,1.98036154089724,1.28014596526061,1.34622063346864,1.20551697459435,1.26498912332716,1.19225948728909,1.25627212091143,NaN,NaN,0.589377910207721,0.583446284159606,0.583141523320275,0.571544124597725,NaN,NaN,NaN,NaN
9500,NaN,1.99395326561846,1.98210976869844,1.97871350870672,1.97878942258481,1.26820342981415,1.33436543176427,1.1919830451223,1.25222438613778,1.17935571675618,1.24434226857992,NaN,NaN,0.57695830078466,0.572476857903288,0.573018844046364,0.560157669313986,NaN,NaN,NaN,NaN
9750,NaN,1.99318315477728,1.98119667629497,1.97699060879144,1.97710971856008,1.2562591408539,1.32255352411997,1.17862176173114,1.23960914610147,1.16661163910273,1.23259231293731,NaN,NaN,0.565035590924332,0.5619703283853,0.563407903504953,0.549140927474646,NaN,NaN,NaN,NaN
10000,NaN,1.99233982297834,1.98025105362733,1.97517182872161,1.97532515902344,1.24433410005138,1.31080376649263,1.16542940291996,1.22714015439444,1.15402250457538,1.22101647307713,NaN,NaN,0.553595326692504,0.551909749498633,0.554289908591914,0.538479270185836,NaN,NaN,NaN,NaN
