PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,1.95580743889311,1.97365337031272,1.96630841225395,NaN,NaN,1.38274183316427,1.40812019120193,1.69631583404196,1.74416264375094,1.71155460223993,1.76763828463785,1.13926542722543,1.14951500044668,1.35716764899556,1.33456795694315,NaN,NaN,NaN,NaN
1750,NaN,NaN,1.95976529631339,1.97353513728596,1.96730389189425,NaN,NaN,1.49207372115341,1.52385406278783,1.69656572774773,1.74907532169509,1.70205404858505,1.7699973347019,1.20175013682246,1.1979503566129,1.34526592454153,1.3125009281331,NaN,NaN,NaN,NaN
2000,NaN,NaN,1.96312539950285,1.97377670091401,1.96844448885987,NaN,NaN,1.54793632215361,1.58589245280604,1.69196064083377,1.74795102347718,1.69015886393163,1.76840125897223,1.2274782285207,1.21436895744227,1.32607218888696,1.28661334056762,NaN,NaN,NaN,NaN
2250,NaN,NaN,1.96602436517137,1.97427569389878,1.96967574620443,NaN,NaN,1.57982668083708,1.62145851519783,1.68425203789909,1.74293683318842,1.67686540315493,1.76402239063104,1.23434247981886,1.21450217146728,1.30295096662255,1.25903564612519,NaN,NaN,NaN,NaN
2500,NaN,NaN,1.96855448044511,1.97495776230381,1.97095851251536,NaN,NaN,1.59824028035074,1.64199151423617,1.67449121766645,1.73533499530437,1.66276122208385,1.75762116104032,1.23062225019757,1.20554473529022,1.27772923378911,1.23089898265652,NaN,NaN,NaN,NaN
2750,NaN,NaN,1.97078116947783,1.97576726139403,1.97226357671967,NaN,NaN,1.60811156092708,1.65319550083664,1.66334420493722,1.72597555777646,1.64820840565891,1.74971377931889,1.22054802964743,1.1912071789889,1.25146623902247,1.2028279640931,NaN,NaN,NaN,NaN
3000,NaN,NaN,1.97275261492008,1.97666145128097,1.97356848536822,NaN,NaN,1.61217800630927,1.65824804051546,1.651250657667,1.71540836676834,1.63343738797749,1.74066347096821,1.20647942335458,1.17358972477292,1.22480468828115,1.1751739657001,NaN,NaN,NaN,NaN
3250,NaN,NaN,1.97450541422172,1.97760676929802,1.97485555782047,NaN,NaN,1.61212279705549,1.65906327451209,1.63851028423724,1.70400893731348,1.61859822012333,1.73073333702438,1.18983022864327,1.15396556933084,1.19814688517217,1.14813396103188,NaN,NaN,NaN,NaN
3500,NaN,NaN,1.97606808330261,1.9785763631034,1.97611059586686,NaN,NaN,1.60905326899403,1.65686342945221,1.62533267470389,1.69204008193461,1.60379009023191,1.72011856104516,1.17149721591678,1.1331461099673,1.17174965686833,1.12181461542191,NaN,NaN,NaN,NaN
3750,NaN,NaN,1.97746332209858,1.97954841165176,1.97732201487429,NaN,NaN,1.60373307334548,1.65246487387379,1.61186742558672,1.67968940930296,1.58907906176466,1.70896686291111,1.15207533976774,1.11166756647154,1.14577846923523,1.09626845922334,NaN,NaN,NaN,NaN
