PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,1.96328165611685,1.95719518564921,NaN,NaN,0.728305942200945,0.981597329143429,1.6785481635001,1.71579640698301,1.71615483965297,1.75166932048816,0.924564006425478,0.984489307092599,1.36242521701172,1.35293870105593,NaN,NaN,1.00672433451956,NaN
1750,NaN,NaN,1.93861402668558,1.96360183455495,1.95830338945514,NaN,NaN,1.2426426543821,1.3034814546801,1.69009626630658,1.73445276950964,1.71480453194784,1.76240692734898,1.08207034399888,1.11491311710826,1.36705332286074,1.34375856864325,NaN,NaN,0.971463651938804,NaN
2000,NaN,NaN,1.9431820629464,1.96415117817622,1.95952386791536,NaN,NaN,1.40751106310979,1.44933869391594,1.69445519211089,1.74444669684343,1.70957331449973,1.76801816706085,1.1637947482201,1.17655622826823,1.36079828273186,1.3275431961146,NaN,NaN,0.935354902092298,NaN
2250,NaN,NaN,1.94714310410282,1.96487994806415,1.96081907463736,NaN,NaN,1.48856344789146,1.53142588482427,1.69411691063884,1.74867410560077,1.70186710130957,1.76996059235331,1.20605354388136,1.20466925354925,1.34813139859188,1.30745033384016,NaN,NaN,0.899817725954857,NaN
2500,NaN,NaN,1.9506253204754,1.96574430449363,1.96216004015499,NaN,NaN,1.53598735769511,1.58208694430686,1.69057442472914,1.74891496959152,1.69253949910319,1.76918734073728,1.22653831178747,1.21481746932775,1.33153648627145,1.28523655280854,NaN,NaN,0.865514417295881,NaN
2750,NaN,NaN,1.95371868189108,1.96670753958544,1.96352405634249,NaN,NaN,1.56583140801312,1.61472456251176,1.68477757140939,1.74632130949435,1.68213417613296,1.76635084400125,1.23414922869394,1.21449510412716,1.31249640933051,1.26193099847265,NaN,NaN,0.832740654870553,NaN
3000,NaN,NaN,1.95648882607447,1.96773930367416,1.96489301705744,NaN,NaN,1.5849642077487,1.63601695026585,1.67735870171621,1.74166931700716,1.67101044245975,1.76191413159272,1.2336772260418,1.20767804712311,1.29194393755231,1.2381591897034,NaN,NaN,0.801606696113477,NaN
3250,NaN,NaN,1.95898516068466,1.96881448778744,1.96625225315356,NaN,NaN,1.5969358840362,1.64970102725227,1.66875403308703,1.73549907071655,1.6594127678903,1.75621558219726,1.22788473907693,1.19666048778676,1.27048915647475,1.21431092631847,NaN,NaN,0.772126619741666,NaN
3500,NaN,NaN,1.96124585167717,1.9699122032545,1.96758971033927,NaN,NaN,1.60382839962001,1.65804379465603,1.65927318858136,1.72819637168607,1.64751135907357,1.7495085413773,1.218464896473,1.18285817339606,1.24854307508056,1.19063270102024,NaN,NaN,0.744264362431623,NaN
3750,NaN,NaN,1.96330103004521,1.97101494848535,1.96889536107101,NaN,NaN,1.60697287659317,1.66250523136599,1.64914111783875,1.7200428884416,1.63542689463762,1.74198658738472,1.20651059178051,1.16719143373076,1.22638886163463,1.16728105609206,NaN,NaN,0.717958328070044,NaN
4000,NaN,NaN,1.96517492912493,1.97210795387019,1.97016077704889,NaN,NaN,1.60727362478962,1.66406991608245,1.6385244383311,1.71124805794034,1.62324615911774,1.73380021361842,1.19275830652729,1.15028291608326,1.20422487492236,1.14435462406904,NaN,NaN,0.693134891325144,NaN
4250,NaN,NaN,1.96688735357376,1.97317867284766,1.97137881334388,NaN,NaN,1.60537263128333,1.66342657734438,1.62754856935883,1.70197003432077,1.6110322317563,1.72506817379403,1.17772227299347,1.13256695428422,1.18219168231666,1.12191400605755,NaN,NaN,0.669715929912076,NaN
4500,NaN,NaN,1.96845471607824,1.97421638691054,1.97254337131671,NaN,NaN,1.60174093324808,1.66107153841375,1.61630920854649,1.69232982481977,1.59883130306156,1.71588539609498,1.16177217186715,1.11435369886221,1.16038958073491,1.09999444625301,NaN,NaN,0.647623046376368,NaN
4750,NaN,NaN,1.96989078603999,1.97521189777345,1.97364921803528,NaN,NaN,1.59673306128236,1.65737138507367,1.60488021484156,1.68242105607798,1.5866773397998,1.7063286274444,1.14518021238792,1.09586860341147,1.13889027445592,1.07861410156139,NaN,NaN,0.626779908120505,NaN
5000,NaN,NaN,1.97120724130945,1.97615728589267,1.97469184683107,NaN,NaN,1.5906213164985,1.65260253886019,1.59331914285143,1.67231686223712,1.57459534121689,1.69646053793255,1.12815081691436,1.07727774808577,1.1177448435681,1.05777954299305,NaN,NaN,0.607113496986673,NaN
5250,NaN,NaN,1.9724140821287,1.97704571957835,1.97566736824889,NaN,NaN,1.58361831855372,1.64697713375619,1.58167120342085,1.66207483233133,1.56260365163516,1.68633275730041,1.11084000055965,1.05870464226515,1.09698929308713,1.03748947563626,NaN,NaN,0.588554718695575,NaN
5500,NaN,NaN,1.97351994669733,1.9778713028692,1.97657242375695,NaN,NaN,1.57589237266953,1.64066044765468,1.56997214633489,1.65174062171927,1.55071562815746,1.67598815608526,1.09336841495327,1.04024169656277,1.07664848648314,1.01773728834018,NaN,NaN,0.571038634427411,NaN
5750,NaN,NaN,1.97453235521607,1.97862895329467,1.97740411671624,NaN,NaN,1.56757825105998,1.63378295006558,1.55825039030604,1.64135062671159,1.53894085968575,1.66546258307637,1.07583036541042,1.02195824676631,1.05673897773065,0.998512820607006,NaN,NaN,0.554504470326803,NaN
6000,NaN,NaN,1.97545790107646,1.97931430284267,1.97815995658957,NaN,NaN,1.5587849421255,1.62644881719342,1.54652861812281,1.63093399131044,1.52728606873305,1.65478620520203,1.0583001926639,1.00390628270653,1.03727107846478,0.979803597577513,NaN,NaN,0.538895498898998,NaN
6250,NaN,NaN,1.97630240241192,1.97992361707242,1.97883781341472,NaN,0.668686857310787,1.54960133506302,1.61874206973571,1.53482498580802,1.62051413060945,1.51575578573393,1.64398455252123,1.04083688386003,0.986124611364991,1.01825038520378,0.961595698585639,NaN,NaN,0.524158849606064,NaN
6500,NaN,NaN,1.97707102351991,1.98045372851359,1.9794358803129,NaN,1.12103033107239,1.54010046346311,1.61073107484268,1.52315404926545,1.61010989963448,1.50435285806114,1.63307934162439,1.02348746564875,0.968641928698976,0.999678919800894,0.94387437024604,NaN,NaN,0.510245283818934,NaN
6750,NaN,NaN,1.97776837310128,1.98090198138673,1.97995264234304,0.647959252284878,1.26883408039961,1.5303427215278,1.60247189991632,1.51152748149759,1.59973649886337,1.49307883752869,1.62208913054401,1.0062895418966,0.951479116560659,0.981555989158631,0.926624459594063,NaN,NaN,0.497108955678811,NaN
7000,NaN,NaN,1.97839858446048,1.98126618534962,1.98038685040888,1.09827129061095,1.34752766420846,1.52037833420456,1.59401084613344,1.49995463275657,1.58940618196637,1.48193427760938,1.61102984415532,0.989273219268456,0.934650980279218,0.963878838726113,0.909830719359826,NaN,NaN,0.484707171960595,NaN
7250,NaN,1.93755751323384,1.97896538152349,1.98154457647893,1.98073749921831,1.22471164302035,1.39596879579128,1.51024927671547,1.58538638652413,1.48844297163955,1.57912881345014,1.47091896291665,1.5999151990317,0.972462587305331,0.918167576620605,0.946643152875472,0.893478021722565,NaN,NaN,0.473000158717372,NaN
7500,NaN,1.9426299767376,1.97947213359872,1.9817357840799,1.98100380851455,1.28807004489896,1.42795152498638,1.49999078192225,1.57663066553444,1.47699843505646,1.56891231130316,1.46003208741804,1.58875704952039,0.955876869304479,0.902035237882633,0.929843440464108,0.877551506179973,NaN,NaN,0.461950839128132,NaN
7750,NaN,1.94724991829709,1.97992190112408,1.98183880221031,1.98118520696451,1.32534025982137,1.4498271158208,1.48963253522538,1.56777067138402,1.46562570781715,1.55876300075595,1.44927239353093,1.57756567156452,0.939531326579668,0.886257367972466,0.913473333537468,0.862036679783632,NaN,NaN,0.451524624847205,NaN
8000,NaN,1.9514590586411,1.98031747413678,1.98185296503101,1.98128131821679,1.34896151996837,1.46498179976323,1.47919962987185,1.55882916133804,1.45432844740974,1.54868589877946,1.4386382811514,1.56634999694073,0.923437975649527,0.870835065607084,0.897525819787647,0.84691948284352,NaN,NaN,0.441689221815845,NaN
8250,NaN,1.95529404064707,1.98066140482302,1.98177792527156,1.98129194873938,1.3644307911482,1.47540607441119,1.46871333665357,1.54982539833945,1.44310946576747,1.53868494420481,1.42812789341792,1.55511780771158,0.907606161907004,0.855767615218197,0.8819934241181,0.832186329577499,NaN,NaN,0.432414450663345,NaN
8500,NaN,1.95878718524794,1.98095603521729,1.98161363523629,1.98121707712345,1.37458129523404,1.48235613904768,1.45819172846813,1.54077574216504,1.43197087704183,1.52876318484976,1.41773918436285,1.54387589853582,0.892043022039785,0.841052875761767,0.866868350846421,0.817824130602046,NaN,NaN,0.423672081318339,NaN
8750,NaN,1.96196711570586,1.9812035209011,1.98136032988529,1.98105684459876,1.38103228648804,1.48666931631768,1.44765019041705,1.53169412734554,1.42091421833065,1.51892293043123,1.40746997238494,1.53263021284429,0.876753859397012,0.826687590134843,0.852142595280061,0.803820302309835,NaN,NaN,0.415435681155714,NaN
9000,NaN,1.96485927629151,1.9814058513816,1.98101851161023,1.98081154655351,1.38478249446399,1.48892861380838,1.43710183892425,1.52259245218421,1.40994054875688,1.5091658780851,1.39731798256623,1.5213859576379,0.861742450642645,0.812667632424472,0.837808031331499,0.79016276684184,NaN,NaN,0.407680475846214,NaN
9250,NaN,1.96748636567719,1.98156486769839,1.98058893639413,1.98048162488885,1.38648568393061,1.48955472351646,1.42655786801638,1.51348089742054,1.39905053111785,1.49949321582951,1.38728088017214,1.51014770070008,0.847011297738133,0.798988206168204,0.823856480296696,0.776839945387464,NaN,NaN,0.40038322200549,NaN
9500,NaN,1.96986870100298,1.98168227770365,1.98007260109911,1.9800676610681,1.38659091867095,1.48886037883328,1.41602783689829,1.50436818880212,1.38824449942694,1.48990570817444,1.3773562971551,1.49891945326593,0.832561836106711,0.785644003789082,0.810279764760499,0.763840746832447,NaN,NaN,0.393522090724927,NaN
9750,NaN,1.97202452524722,1.98175966937909,1.9794707316713,1.97957036974475,1.38541920158564,1.48708396771744,1.40551990992073,1.49526181462626,1.37752251497936,1.48040376720751,1.36754185308619,1.48770474060396,0.818394607438509,0.772629335098179,0.797069750713765,0.751154553248422,NaN,NaN,0.387076561086784,NaN
10000,NaN,1.97397026796587,1.98179852248809,1.97878477208827,1.97899059287331,1.3832078066223,1.48441113205671,1.39504105771579,1.48616820689736,1.36688441303917,1.47098751181004,1.35783517163525,1.47650666250422,0.804509403782994,0.759938231035431,0.784218380296222,0.738771203328648,NaN,NaN,0.381027322807091,NaN
