PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,1.98870833631602,1.98962290220942,NaN,NaN,NaN,0.269013117870419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,1.98614550634607,1.98709066907811,NaN,NaN,NaN,0.210684126722072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,1.98358077076327,1.98454373506803,NaN,NaN,NaN,0.162626584775347,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250,1.98101460801555,1.98198638900215,NaN,NaN,NaN,0.122374645300064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500,1.97844733937656,1.97942137073925,NaN,NaN,NaN,0.0882455721756221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750,1.97587919054392,1.97685052090144,NaN,NaN,NaN,0.0590409244155894,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,1.97331032585194,1.97427512625072,NaN,NaN,NaN,0.0338775126813624,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3250,1.97074086848972,1.97169611592429,NaN,NaN,NaN,0.0120860231160307,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500,1.96817091306009,1.96911417905743,NaN,NaN,NaN,-0.00685272884423706,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3750,1.96560053370788,1.96652983845567,NaN,NaN,NaN,-0.0233494888579556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000,1.96302978956472,1.96394349846972,NaN,NaN,NaN,-0.0377347477472109,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4250,1.96045872850462,1.96135547709605,NaN,NaN,NaN,-0.0502783421247951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4500,1.95788738980073,1.95876602808898,NaN,NaN,NaN,-0.061203423679575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4750,1.95531580604631,1.95617535655415,NaN,NaN,NaN,-0.0706966303934904,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,1.95274400457102,1.95358363017423,NaN,NaN,NaN,-0.0789156333520563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5250,1.95017200850297,1.95099098743941,NaN,NaN,NaN,-0.0859948308984444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5500,1.94759983757744,1.94839754378095,NaN,NaN,NaN,-0.0920497097729806,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5750,1.9450275087613,1.94580339620954,NaN,NaN,NaN,-0.0971802306076764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
