PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,1.91347625008154,1.91780397014615,NaN,NaN,NaN,NaN,1.57434273834353,1.56581733697934,1.67262385012217,1.6634973567593,NaN,NaN,1.2887782230021,1.32610260242802,1.33018499996747,NaN,1.05887568147385,1.04683726261758
1750,NaN,NaN,NaN,1.91739182914021,1.92015605189572,NaN,NaN,NaN,NaN,1.61717828249188,1.62017877091833,1.69205666207631,1.69416989233652,0.354901104673654,0.484212948932443,1.33492991430482,1.35193300194225,1.36257045779598,NaN,1.04778982531425,1.03276257163583
2000,NaN,NaN,NaN,1.92047014817853,1.92228104241933,NaN,NaN,NaN,NaN,1.64566437797862,1.65896732640241,1.70383530918504,1.71690481928192,0.661451700055019,0.794385419409082,1.3616240666596,1.36227438049092,1.38013093564445,NaN,1.0293002450396,1.01239293242761
2250,NaN,NaN,NaN,1.92306569236885,1.92426671084342,NaN,NaN,NaN,0.87997482032566,1.66481525209659,1.68710468107828,1.71040375263797,1.73384708235512,0.874694707522993,0.977509484130217,1.37597678855197,1.36299024411917,1.38781224537484,NaN,1.0068693290456,0.988842908513076
2500,NaN,NaN,1.87949215756633,1.92536344737746,1.92615905588645,NaN,NaN,0.924233218714575,1.18044256890971,1.67752438428153,1.70763431811549,1.71329026545766,1.746413706136,1.01066272038673,1.08265531823869,1.38203925310746,1.35747797900173,1.38869880021831,NaN,0.982425272275781,0.963819211671733
2750,NaN,NaN,1.88555646325861,1.92746583212491,1.92798303851554,NaN,NaN,1.20277519928904,1.33589167798789,1.68559737903121,1.72254974125083,1.71349920766948,1.75558469628414,1.09754414212128,1.14424318866581,1.38230487316747,1.34782636909807,1.38479922741094,NaN,0.957092328958949,0.93830021073972
3000,NaN,NaN,1.89101526188165,1.92943192519109,1.92975234709524,NaN,NaN,1.3369680551816,1.43306856185824,1.69022693572968,1.73321473434713,1.71171700622286,1.76206285080809,1.1538713242143,1.18068148813941,1.37839839925176,1.33537881315832,1.37746757776883,NaN,0.931547132342949,0.91286371095929
3250,NaN,NaN,1.89597136054283,1.93129671548333,1.93147434775106,NaN,NaN,1.4162516249942,1.49943398176597,1.69223574394306,1.74059487812666,1.70842788903117,1.7663672364171,1.19064716657229,1.20174693339673,1.37142558932512,1.32103024486425,1.36764283451487,NaN,0.906204828573426,0.887856153253946
3500,NaN,NaN,1.90050308875927,1.93308119362336,1.93315274254075,NaN,NaN,1.46852314096376,1.54710872342543,1.69221094833133,1.74539319852444,1.70398247250348,1.76889069093484,1.21442335132917,1.21287527419501,1.36216516932875,1.3053937370481,1.35599169543086,NaN,0.881321823955406,0.863484964580119
3750,NaN,NaN,1.90467146387918,1.93479792990371,1.93478906371509,NaN,NaN,1.5052224320539,1.58244004303241,1.69058330435661,1.74813360193459,1.69864022760708,1.76993669350057,1.22922172451941,1.21726700222745,1.35118088090379,1.2888987887748,1.34299707303496,NaN,0.857055158558964,0.839871395343385
4000,NaN,NaN,1.90852492576152,1.93645429406353,1.93638354521405,NaN,NaN,1.53192273426761,1.60913022785601,1.68767611727506,1.74921426927034,1.69259675378936,1.76974384109255,1.23760553235894,1.21691473710042,1.33889017712417,1.27185175078914,1.32901477511729,NaN,0.833498162695135,0.817081988319607
4250,NaN,NaN,1.91210256365252,1.93805438178537,1.93793564624085,NaN,NaN,1.55169766885907,1.62950757254735,1.68373673723023,1.7489429752469,1.68600184937495,1.76850258462894,1.24127090066814,1.21312249541156,1.32560806976238,1.25447428099105,1.31431083577499,NaN,0.810702578706818,0.795147971237911
