PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,1.82782880865171,1.85716609001384,NaN,NaN,NaN,NaN,1.39502848505302,1.37490504417209,1.59439877442257,1.55355340014629,NaN,NaN,1.1299263360878,1.23700067880121,1.28161486727796,1.34384962611931,1.04680919812597,1.04268517995317
1750,NaN,NaN,NaN,1.84068286973664,1.8627660951654,NaN,NaN,NaN,NaN,1.4822954305869,1.46278338257703,1.63149911149482,1.60002252727673,NaN,NaN,1.21910505089887,1.29730438972749,1.33425039182973,1.37060461197738,1.05885026477732,1.04967760901071
2000,NaN,NaN,NaN,1.85000439958715,1.86728151667149,NaN,NaN,NaN,NaN,1.54091550388713,1.52755325897369,1.65772143099617,1.63630570160379,NaN,NaN,1.27844888367429,1.33342846555072,1.36901590669588,1.38436834857041,1.05773120810673,1.04495277120681
2250,NaN,NaN,NaN,1.85718253226993,1.87109923487027,NaN,NaN,NaN,NaN,1.5823899703644,1.57684981031444,1.67640813392426,1.66510027072984,NaN,0.327998428528154,1.31892955685096,1.35424253375416,1.39159125246085,1.38954966156184,1.04869499113951,1.03331844281442
2500,NaN,NaN,NaN,1.86297405361527,1.87444221325456,NaN,NaN,NaN,NaN,1.61262252234966,1.61514916838927,1.68966522568146,1.68819538933424,0.434465709127242,0.632467426083018,1.34663251071902,1.36486371969158,1.40555665719088,1.38887149818199,1.03477600629249,1.01752998222772
2750,NaN,NaN,NaN,1.86782209939284,1.87744694741512,NaN,NaN,NaN,-0.267861048339349,1.63501206972355,1.64531017675135,1.69888941724363,1.7068334945782,0.669098416930367,0.845947073906921,1.36525210862934,1.36845038271289,1.41327121240454,1.38409450352337,1.0178238907708,0.999251249520791
3000,NaN,NaN,NaN,1.87200100138817,1.88020099431476,NaN,NaN,NaN,0.821943460663116,1.65168078022643,1.66926627454188,1.70504488941551,1.72190926150332,0.838718269618391,0.981747389216873,1.37718228182231,1.36705225074035,1.41634577542015,1.37639897672862,0.999011705763535,0.979527690105002
3250,NaN,NaN,NaN,1.8756882496309,1.88276263424414,NaN,NaN,0.513789915789599,1.09514924559638,1.66403521530075,1.68838057708225,1.70881909403748,1.73408621609652,0.957892580012765,1.06840805775829,1.38405218927762,1.36205236124162,1.41591310039572,1.36659953729537,0.97910636143023,0.95903606913461
3500,NaN,NaN,1.8161833203433,1.87900284978187,1.88517183186869,NaN,NaN,0.97626078292185,1.24860685878489,1.67305107254872,1.70364542212788,1.71071540860977,1.74386862407234,1.04209422657517,1.12466869218091,1.38701357648378,1.35441335528735,1.41278969134907,1.35527199410699,0.958620850011083,0.938224032006725
3750,NaN,NaN,1.82293797905515,1.88202696818774,1.88745666402542,NaN,NaN,1.17914123495337,1.35014043688827,1.67942980952403,1.7158020687928,1.71111075333703,1.75164768577765,1.1023176885289,1.16162034833052,1.3869058512954,1.34482244512993,1.40757667833991,1.34283148776544,0.937904031102259,0.917391903484499
4000,NaN,NaN,1.82918270353028,1.88481873636607,1.88963725109104,NaN,NaN,1.29483513642639,1.42292914681818,1.68369045020729,1.72541614026205,1.71029277616908,1.75773227012423,1.14584085067548,1.18582496376653,1.38435621083534,1.33378060272834,1.40072481125987,1.32958231329006,0.917195703188684,0.896742607133501
4250,NaN,NaN,1.83498485424284,1.88742013249508,1.8917282484212,NaN,NaN,1.3697593590908,1.47767060140478,1.68622622448516,1.73292707126479,1.70848461834106,1.76236997542516,1.17745259063603,1.20127681202013,1.3798431137041,1.32165948245506,1.39257754138463,1.3157506330112,0.896661527199229,0.876413194805725
4500,NaN,NaN,1.84039924580692,1.88986199978302,1.89374047395374,NaN,NaN,1.42218854474598,1.52015313644543,1.6873410095984,1.73868157177927,1.70586186009485,1.76576193364156,1.20035101667929,1.21049944400655,1.37373801287836,1.30873889422066,1.38340029067536,1.30150650476361,0.876415813106277,0.856495352702459
4750,NaN,NaN,1.84547105269056,1.89216733656692,1.89568199977869,NaN,NaN,1.4607635736474,1.55384280137465,1.68727361107047,1.74295688986481,1.70256439107109,1.76807344985924,1.21671968760578,1.21514990646684,1.36633365155122,1.29523213622975,1.37340077181059,1.28697904447595,0.85653675528816,0.837049074724128
5000,NaN,NaN,1.85023792586479,1.89435350898027,1.89755890117971,NaN,NaN,1.49009625882427,1.58096800426777,1.6862144266696,1.74597735860253,1.69870489843283,1.7694417989851,1.22808602022679,1.21635693546819,1.35786375846932,1.28130351912274,1.36274336819175,1.27226706589741,0.837076835277221,0.818111975004595
5250,NaN,NaN,1.85473156288916,1.89643377271067,1.89937578109314,NaN,NaN,1.51287986125294,1.60303938950909,1.68431717605765,1.74792640276205,1.69437504800176,1.76998203864002,1.23554445421526,1.21491553384054,1.34851707138533,1.26708073501189,1.35155948614333,1.25744667473182,0.818070054286449,0.799705745307944
5500,NaN,NaN,1.85897889157023,1.89841834053897,1.90113614393105,NaN,NaN,1.53080248589063,1.62112403846263,1.68170734010244,1.74895540474727,1.68965005907143,1.76979141022302,1.23989730123655,1.21140251546967,1.33844752184037,1.25266374439992,1.33995512332478,1.24257677165084,0.799537040349283,0.781840701001625
5750,NaN,NaN,1.86300297535983,1.90031514458523,1.90284266630182,NaN,NaN,1.54498447023336,1.63600094983317,1.6784883502394,1.74919035377359,1.68459213998213,1.7689527174108,1.24174531391436,1.20624737918682,1.32778176239352,1.23813126286362,1.32801647982777,1.22770309436591,0.781488703019029,0.764519022303053
6000,NaN,NaN,1.86682371505292,1.90213038925744,1.90449739587256,NaN,NaN,1.55620505473097,1.64825437053879,1.67474620501777,1.74873690224543,1.67925310224599,1.76753695223807,1.24154712976512,1.19977718046885,1.31662481678076,1.22354556305782,1.31581417149581,1.21286122296891,0.763928878611534,0.747737089725283
6250,NaN,NaN,1.87045839912666,1.90386895813619,1.90610189932599,NaN,NaN,1.56502768300858,1.65833246650196,1.67055296555297,1.74768425926524,1.67367637344123,1.76560535956847,1.23965910659412,1.19224580843375,1.30506438042288,1.2089560749278,1.30340643080923,1.19807883912881,0.746856263337812,0.731487181330417
6500,NaN,NaN,1.87392214007894,1.90553471727015,1.90765737371911,NaN,NaN,1.57187313013351,1.66658564288139,1.66596943789237,1.74610822287127,1.66789856403994,1.76321107689678,1.23636256572074,1.18385363269678,1.29317413487613,1.19440211595759,1.29084156487369,1.18337744136885,0.730265837431251,0.715758714525356
6750,NaN,NaN,1.87722822383484,1.90713074392245,1.90916473117494,NaN,NaN,1.57706421705251,1.67329239299146,1.66104725644556,1.74407356601946,1.66195069916284,1.76040044920135,1.23188278975571,1.17476103467821,1.2810163314116,1.17991498324211,1.27815986174972,1.16877365919326,0.714149921189923,0.700539159162228
7000,NaN,NaN,1.88038839210623,1.90865950094628,1.91062466390459,NaN,NaN,1.5808542815816,1.6786772226111,1.65583052000482,1.74163593185923,1.65585919576281,1.75721409243162,1.22640251690648,1.16509795128076,1.26864382574345,1.1655195717199,1.26539508259274,1.15428026818933,0.698498962093296,0.685814711119241
7250,NaN,NaN,1.88341307249874,1.91012297101764,1.91203769455764,NaN,NaN,1.58344596272434,1.68292337977701,1.65035708927735,1.73884335234324,1.64964664436878,1.7536877605975,1.22007169356978,1.15497075332011,1.25610169565864,1.1512356366755,1.25257563962297,1.13990698004218,0.683302123654746,0.671570789882943
7500,NaN,NaN,1.88631156750143,1.91152276089485,1.91340421551597,NaN,NaN,1.5850039890942,1.68618208642642,1.64465962535719,1.73573747480659,1.6433324393348,1.74985305798356,1.21301463784867,1.14446730112031,1.2434285382009,1.13707878646001,1.23972553351555,1.12566106158853,0.668547726939912,0.657792405883634
7750,NaN,NaN,1.88909221083193,1.912860183064,1.91472451977569,NaN,NaN,1.58566413084758,1.68857935781065,1.63876642781954,1.73235456003706,1.63693329060674,1.74573802818305,1.2053353814503,1.13366072662949,1.23065751818784,1.12306126869644,1.22686510492237,1.11154782293904,0.654223581837849,0.64446443086435
8000,NaN,NaN,1.89176249764767,1.91413632015777,1.91599882537348,NaN,NaN,1.58553962284399,1.69022112327469,1.63270211631533,1.72872630000832,1.63046364205562,1.74136764437882,1.19712170961792,1.12261230825908,1.21781722197257,1.10919259703469,1.21401164119787,1.0975710045559,0.640317235342452,0.631571795705954
8250,NaN,NaN,1.89432919367375,1.91535207613321,1.91722729481794,NaN,NaN,1.58472587587328,1.69119712834743,1.62648818883713,1.72488049216026,1.62393601556154,1.7367642198663,1.18844825663941,1.11137368762584,1.20493235736534,1.09548005381293,1.20117986944347,1.08373308579548,0.6268161570451,0.619099633771147
8500,NaN,NaN,1.89679842719856,1.91650821718681,1.9184100506269,NaN,NaN,1.58330400065725,1.69158394770583,1.62014348198919,1.72084159872076,1.61736129566814,1.73194775371359,1.17937890670178,1.09998860102318,1.19202433106817,1.08192909542821,1.18838235964337,1.07003553200914,0.613707876922763,0.60703338321953
8750,NaN,NaN,1.899175767054,1.91760540465254,1.91954718780772,NaN,NaN,1.58134349036061,1.6914473395726,1.61368455279064,1.71663121326591,1.61074896634904,1.72693622332977,1.16996867710045,1.08849424764229,1.17911172786462,1.06854368090752,1.17562985620122,1.05647899328094,0.600980086761418,0.595358858373376
9000,NaN,NaN,1.90146628905687,1.91864422159068,1.92063878392164,NaN,NaN,1.57890429476453,1.69084410558706,1.60712599719895,1.71226845194488,1.60410730894305,1.72174583331241,1.16026521096458,1.07692238212379,1.16621071046509,1.05532653946818,1.16293155208595,1.04306346488108,0.588620713791566,0.584062297727231
9250,NaN,NaN,1.9036746328944,1.91962519437705,1.92168490722705,NaN,NaN,1.57603844670468,1.68982357466169,1.60048071725998,1.7077702831503,1.59744356841528,1.71639122808532,1.15030997202849,1.06530019526809,1.1533353548592,1.04227938932325,1.15029531669178,1.02978841725329,0.576617973057917,0.573130394347775
9500,NaN,NaN,1.90580505105115,1.920548810304,1.92268562328645,NaN,NaN,1.57279135357058,1.68842879765031,1.5937601462904,1.70315180660678,1.59076409363879,1.71088567438624,1.1401392096003,1.05365103008158,1.14049793293006,1.02940311731074,1.13772788615029,1.01665290163917,0.564960403506637,0.562550313029789
