PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,1.64837202806682,1.74194907084072,NaN,NaN,NaN,NaN,0.961331593624839,1.07373341110388,1.4663725720846,1.40451401034182,NaN,NaN,0.847234233456045,1.07079188470424,1.17041505782993,1.31355812834691,0.990592019536765,0.998160687073319
1750,NaN,NaN,NaN,1.68502354527528,1.75599761369457,NaN,NaN,NaN,NaN,1.18758377576642,1.2236395059174,1.52876173908902,1.46817937131491,NaN,NaN,1.00365812504885,1.18060836344227,1.24771018057807,1.35713157410464,1.03037373162606,1.03057673094402
2000,NaN,NaN,NaN,1.71072677359436,1.76672419147027,NaN,NaN,NaN,NaN,1.32196258439641,1.32761397253481,1.57353238699787,1.51903879403042,NaN,NaN,1.10960014670915,1.25164901707081,1.30292221836818,1.38425846883273,1.05035264639772,1.04504117377228
2250,NaN,NaN,NaN,1.72980156425562,1.77529944742377,NaN,NaN,NaN,NaN,1.41110629680581,1.40543084572877,1.60693290264375,1.56052308159652,NaN,NaN,1.18530098086661,1.29879022978984,1.3429127285818,1.40038690045894,1.05784047114559,1.0483089885193
2500,NaN,NaN,NaN,1.74458782498859,1.78240417376476,NaN,NaN,NaN,NaN,1.47443751784878,1.46621558111266,1.63240881170454,1.59486246877491,NaN,NaN,1.24113723207091,1.33013614777408,1.37201103668193,1.40889006466909,1.05714651644348,1.0443393154599
2750,NaN,NaN,NaN,1.75645418986905,1.78846040339914,NaN,NaN,NaN,NaN,1.52146618718757,1.51497123200063,1.65207664403987,1.62359574181393,NaN,NaN,1.28307323858867,1.3505346563796,1.39307846916004,1.41195830546631,1.05095369653065,1.03558223360835
3000,NaN,NaN,NaN,1.7662502353515,1.79374314229013,NaN,NaN,NaN,NaN,1.55742711380863,1.55477888647223,1.66733608162668,1.6478294575108,NaN,0.318101617567355,1.31483226171058,1.36307992920312,1.40807791416893,1.41106844349125,1.04100437751544,1.02361915928417
3250,NaN,NaN,NaN,1.77452892255983,1.79843890655088,NaN,NaN,NaN,NaN,1.58546501296265,1.58768993676377,1.6791618847307,1.66838486947477,0.313217633829148,0.572828325470195,1.33888496903645,1.36984346000286,1.41839794896881,1.40724704805489,1.0284684482697,1.00950517531057
3500,NaN,NaN,NaN,1.78166432338734,1.80267841231373,NaN,NaN,NaN,NaN,1.60759955140544,1.61514602675844,1.68825913746821,1.68588715065143,0.526864379422585,0.772223137151047,1.35694891077827,1.37226412332167,1.42504662933908,1.40122591294477,1.01415262266268,0.993962852360736
3750,NaN,NaN,NaN,1.78791773287852,1.80655580711371,NaN,NaN,NaN,0.336828208437958,1.62519725622442,1.63820073528993,1.69515291941478,1.70082233173178,0.69724387647909,0.910257446117842,1.37026237692674,1.37137116517892,1.42877216432208,1.39353783388364,0.998625215201538,0.977497329545229
4000,NaN,NaN,NaN,1.79347666346955,1.81014048449138,NaN,NaN,NaN,0.828472097219128,1.63922184022167,1.65764721416868,1.70024344134946,1.71357506675147,0.826766543362988,1.00511424855585,1.37974460403607,1.36791870787121,1.43014067825503,1.38457773333646,0.982293519141408,0.960467429470378
4250,NaN,NaN,NaN,1.79847881378799,1.81348461283027,NaN,NaN,NaN,1.04711845241694,1.65037607778753,1.67409667824283,1.70384161571284,1.72445448313199,0.924803264556058,1.07098620891693,1.38609452359889,1.36247045074961,1.42958780856094,1.37464286024757,0.965453423428064,0.94313112268019
4500,NaN,NaN,NaN,1.80302732986707,1.81662808594592,NaN,NaN,0.640159813382888,1.18370538071249,1.6591867338682,1.68802917930031,1.70619289145601,1.73371235054302,0.999498380972024,1.11728985322297,1.38985429026777,1.35545493232839,1.42745382272986,1.36395992109451,0.948322152978828,0.925675450514293
4750,NaN,NaN,1.72049233158529,1.80720082216901,1.81960186800307,NaN,NaN,0.962891871777227,1.27993134877426,1.66605778050142,1.69982778389905,1.70749372309688,1.74155614469479,1.05692594119144,1.15009381089246,1.39145163273624,1.34720267459368,1.42400805672456,1.3527038078939,0.931060413591329,0.908236717474719
5000,NaN,NaN,1.72818561947587,1.8110601171778,1.8224303079002,NaN,NaN,1.13473128593667,1.3522405197298,1.67130505437064,1.70980232759135,1.70790324377651,1.74815862843169,1.10144495446328,1.17333463350217,1.39122894732197,1.33797179178156,1.41946626086175,1.34101078409312,0.913787695522678,0.890914414535409
5250,NaN,NaN,1.73543180136789,1.81465291548175,1.82513277454449,NaN,NaN,1.24260975815297,1.4088252100295,1.67517958287029,1.71820636454325,1.70755171932948,1.75366500233349,1.13616707946654,1.18961604568958,1.38946380348612,1.32796603830695,1.4140031305588,1.32898793251174,0.896593049439705,0.873781000940281
5500,NaN,NaN,1.74227734545439,1.81801707266593,1.82772483401666,NaN,NaN,1.31668857229025,1.45435017020533,1.67788373436662,1.72524953164875,1.70654678585906,1.75819832486053,1.16333023450224,1.20070271192077,1.3863837202438,1.31734777490123,1.40776150345555,1.31672003157838,0.879542800055335,0.856888889026192
5750,NaN,NaN,1.74876190075437,1.82118295325391,1.83021911120106,NaN,NaN,1.37062354324135,1.4917164011371,1.67958267806256,1.73110673926333,1.70497812726562,1.76186367833616,1.18456481639289,1.20782183977335,1.38217702212278,1.30624744318242,1.40085920759425,1.30427463052574,0.86268614819798,0.840275503025161
6000,NaN,NaN,1.7549195514748,1.82417514782645,1.83262592998523,NaN,NaN,1.41152760298611,1.52284563733047,1.68041269197796,1.73592511555951,1.70292103361096,1.7647514113509,1.20107666991081,1.21184882991792,1.37700095188866,1.29477059413071,1.39339422788343,1.29170584294468,0.846059291674796,0.823966988586964
6250,NaN,NaN,1.76077979842782,1.82701374449184,1.83495379542689,NaN,NaN,1.4434688168072,1.54907311284991,1.68048730069337,1.73982932935603,1.70043914299833,1.76693969117554,1.21377176670908,1.21342338633945,1.37098782563878,1.28300317292812,1.38544865092967,1.27905721503203,0.829688491052205,0.807980962524499
6500,NaN,NaN,1.76636833530702,1.82971528324243,1.83720976139925,NaN,NaN,1.46894158195242,1.57136193930063,1.67990188621438,1.74292572231238,1.69758657881204,1.76849653391637,1.22334144798649,1.21302357027251,1.36424976623867,1.27101554140309,1.37709171057253,1.2663639169633,0.813592373484096,0.792328570508896
6750,NaN,NaN,1.77170766885674,1.83229348120875,1.83939971408312,NaN,NaN,1.48956207368218,1.59042811967655,1.67873720378318,1.74530555358801,1.69440963314263,1.7694814346353,1.23032123064032,1.21101403486328,1.3568823880371,1.25886557357024,1.36838216326126,1.25365443314952,0.797783679434268,0.777016039673297
7000,NaN,NaN,1.77681761888856,1.8347597900862,1.84152859282987,NaN,NaN,1.50642598797704,1.6068173812943,1.67706209873457,1.74704757393769,1.69094810543871,1.7699466876929,1.23513185357142,1.20767812015759,1.34896769697393,1.24660106186503,1.35937015835398,1.24095187740137,0.782270597501846,0.762045858555846
7250,NaN,NaN,1.7817157248446,1.83712382904893,1.84360056386674,NaN,NaN,1.52030501498936,1.62095446364759,1.67493563135809,1.74822008699806,1.68723637631493,1.76993846479042,1.23810830093768,1.20323966235282,1.34057639612978,1.23426160477358,1.35009872374792,1.22827502448057,0.767057791625419,0.747417679402297
7500,NaN,NaN,1.78641757896809,1.83939372420036,1.84561915811012,NaN,NaN,1.53176061852204,1.63317588457743,1.67240875695219,1.74888261407882,1.683304275847,1.76949770172609,1.23952060019574,1.19787811795448,1.33176973546019,1.22188010011015,1.34060495567595,1.21563912519968,0.752147196436028,0.733129011805144
7750,NaN,NaN,1.7909371013175,1.84157637710615,1.84758738138822,NaN,NaN,1.54121291477383,1.64375239120769,1.66952566740181,1.74908724930668,1.67917779090321,1.76866083284096,1.2395889260114,1.19173925772424,1.32260100834328,1.20948393547688,1.3309209789118,1.20305655489724,0.737538636412321,0.719175758282848
8000,NaN,NaN,1.79528676831217,1.8436776789762,1.84950780325873,NaN,NaN,1.54898398366671,1.65290474746083,1.6663248722016,1.7488797707189,1.67487964531749,1.76746040321906,1.2384947129939,1.18494286859609,1.31311677177572,1.19709594408687,1.32107472727149,1.19053733261511,0.723230310120351,0.705552629282371
8250,NaN,NaN,1.79947780386035,1.8457026828043,1.851382629077,NaN,NaN,1.55532601995873,1.66081508901927,1.66284007677911,1.74830055737452,1.67042977880715,1.76592558204259,1.23638893564226,1.17758839762533,1.3033578483812,1.18473517725634,1.31109058233213,1.17808953919388,0.709219170438714,0.692253465614227
8500,NaN,NaN,1.80352034013848,1.84765574270443,1.85321375885336,NaN,NaN,1.56044017369865,1.66763525341754,1.65910090158928,1.74738535107094,1.66584574466301,1.76408259546906,1.23339835266672,1.16975915547976,1.293360154713,1.1724175325405,1.30098989944535,1.16571965579582,0.695501224091873,0.679271489418319
