PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,1.61512518065183,1.7216366178068,NaN,NaN,NaN,NaN,0.858731956862751,1.02040826423154,1.44105638267112,1.38280788018039,NaN,NaN,0.80036272793312,1.04287582735071,1.15225251568225,1.30762687531614,0.980251887137054,0.989598579506587
1750,NaN,NaN,NaN,1.65665131818408,1.73737957976412,NaN,NaN,NaN,NaN,1.12441018410156,1.18451036123536,1.51014085780342,1.44892736049043,NaN,NaN,0.968226176672327,1.1607816320991,1.23287998120851,1.35348594550479,1.02387547283827,1.02551768426901
2000,NaN,NaN,NaN,1.68568068997948,1.74934824863184,NaN,NaN,NaN,NaN,1.27790686939988,1.29606105906315,1.55885494551594,1.50174999162234,NaN,NaN,1.08157041814853,1.23719644844356,1.29083311183866,1.38242149470875,1.0467724050317,1.04263635391166
2250,NaN,NaN,NaN,1.70715478168548,1.75887296699128,NaN,NaN,NaN,NaN,1.37795634895267,1.37873704407165,1.59491843347134,1.54490609701133,NaN,NaN,1.1626135481578,1.28825033566727,1.33314625003016,1.40002711794439,1.05655369919535,1.04797884115629
2500,NaN,NaN,NaN,1.72374552084143,1.76672718370342,NaN,NaN,NaN,NaN,1.44826351441005,1.44304816645253,1.62238259061691,1.58071304854965,NaN,NaN,1.2225877162096,1.32261096062,1.36425631977699,1.40976638837468,1.0577060363318,1.04566821172475
2750,NaN,NaN,NaN,1.73701380597856,1.77339039345679,NaN,NaN,NaN,NaN,1.50014313014375,1.49457103612718,1.6436386985084,1.61075803206179,NaN,NaN,1.26788312642273,1.34542207780217,1.38709571210574,1.41388902286629,1.05302639972082,1.03826088068737
3000,NaN,NaN,NaN,1.74792774638939,1.7791751435817,NaN,NaN,NaN,NaN,1.53969436605916,1.53666043142945,1.66022459889886,1.63617884817042,NaN,NaN,1.30245964411697,1.35995100806686,1.40367649095971,1.41391261527515,1.04433447358049,1.02741049489777
3250,NaN,NaN,NaN,1.75711712455628,1.78429352631061,NaN,NaN,NaN,NaN,1.57051855396804,1.57151504281611,1.67319165677939,1.65781878766887,0.212349479247411,0.463610719857053,1.32893117613966,1.36837883007479,1.41542257673936,1.41089276111163,1.03285463643584,1.01422301431413
3500,NaN,NaN,NaN,1.76500787347781,1.78889429248066,NaN,NaN,NaN,NaN,1.59489607332022,1.60066403245871,1.68329127645075,1.67631943030974,0.424395715206306,0.688953332039024,1.34910804478343,1.37221794337412,1.4233682363336,1.40558254275953,1.01943321362939,0.99945793362704
3750,NaN,NaN,NaN,1.77189750703836,1.79308467803966,NaN,NaN,NaN,NaN,1.61435199850058,1.62521727245972,1.69107867626909,1.69217946495835,0.612683556123441,0.849757405786354,1.36429193253255,1.37254918542805,1.42828163696112,1.39853076620175,1.00466806556411,0.983647876298456
4000,NaN,NaN,NaN,1.77799956735797,1.79694381019956,NaN,NaN,NaN,0.628930246941557,1.62995161592484,1.64600646343894,1.69697488855427,1.705793563863,0.758761485252771,0.96113975706228,1.37544729601185,1.37016418134054,1.43074444490992,1.39014465508296,0.988989010465811,0.967172573755212
4250,NaN,NaN,NaN,1.78347092413022,1.80053124971657,NaN,NaN,NaN,0.935567504317016,1.64246567724429,1.66367054639281,1.70130591746827,1.71747893952864,0.870181187162349,1.03868924248026,1.38330647044548,1.36565468089563,1.43120463642803,1.38073108600436,0.972709437020064,0.950306208250588
4500,NaN,NaN,NaN,1.78842914548445,1.80389260791205,NaN,NaN,0.112433432091413,1.10635322815906,1.65246815589885,1.67871029909531,1.70432857500306,1.72749398992494,0.955388340074943,1.09332867236369,1.3884370048912,1.35947070233321,1.4300124402984,1.37052442301061,0.956060392108459,0.933248602881321
4750,NaN,NaN,NaN,1.79296389402244,1.80706334222341,NaN,NaN,0.762550182916138,1.22103747271141,1.66039686417773,1.69152476158606,1.70624813368114,1.73605169649196,1.02107158157316,1.13221939842568,1.3912864011028,1.35195954364365,1.42744535299923,1.35970573561553,0.939213658896181,0.916146290041664
5000,NaN,NaN,1.70792459935543,1.79714460490625,1.81007138282929,NaN,NaN,1.01759852326609,1.30498966530372,1.66659256845112,1.702436385091,1.707230736993,1.74332944699003,1.0721416828407,1.16002583388229,1.39221276510298,1.34339264357788,1.42372589688415,1.34841633368968,0.922297721176343,0.899107053764886
5250,NaN,NaN,1.71561832369798,1.80102578161944,1.81293898898252,NaN,NaN,1.16410819511669,1.36964026790517,1.67132510286599,1.71170888773586,1.70741233412435,1.74947636524267,1.1121377246167,1.17982703785785,1.39150636408415,1.33398449445963,1.4190344517442,1.33676746888312,0.905409016467007,0.882210157514007
5500,NaN,NaN,1.72288507448982,1.80465072525,1.8156840857031,NaN,NaN,1.25973850768752,1.4211183041221,1.67481132112244,1.71956023079246,1.70690524335201,1.7546188666697,1.14361371572186,1.19369906871499,1.38940513332178,1.32390622085596,1.41351867544342,1.32484739821996,0.88862000029656,0.865513656008875
5750,NaN,NaN,1.72976733944548,1.80805420980459,1.81832124252231,NaN,NaN,1.32705792790086,1.46308443944778,1.67722775488029,1.72617223693869,1.70580305798045,1.75886492830491,1.16843065495889,1.20307575107597,1.38610605272456,1.3132954974855,1.40730052091614,1.31272659996944,0.871985010061491,0.849059697626337
6000,NaN,NaN,1.73630162915791,1.81126443364923,1.82086240099481,NaN,NaN,1.37692191240559,1.49789388780885,1.67871973998354,1.73169784179472,1.7041843694929,1.76230741229665,1.18796263774285,1.20897194315442,1.38177363888266,1.30226390472352,1.40048153203354,1.30046167433409,0.855544584151484,0.832878418028678
