PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,-0.000151304468901214,3.08811549757141e-06,4.87484647790442e-05,NaN,NaN,0.000407744440729971,0.00315899114307797,0.00193987239947594,0.00638954505083079,NaN,NaN,0.0613455965110624,0.0639195111360204,0.0545306310512686,0.058161837245316,NaN,NaN,NaN,NaN
1750,NaN,NaN,-0.000146494382717102,-4.03594438563946e-06,4.35514526341008e-05,NaN,NaN,0.00271846583467173,0.00448604186126644,0.00327895854843513,0.00773659322143154,NaN,NaN,0.0731678305869311,0.0765592603388912,0.0654787146033267,0.0682934227789349,NaN,NaN,NaN,NaN
2000,NaN,NaN,-0.000147462097147094,-8.42155971959001e-06,3.96137528408296e-05,NaN,NaN,0.00516747633946968,0.00627996605676343,0.00483641404845795,0.00931334236680671,NaN,NaN,0.0841451944302575,0.0879911596886838,0.0760295120959886,0.0782024199976673,NaN,NaN,NaN,NaN
2250,NaN,NaN,-0.000150145163227319,-1.10864541412845e-05,3.65726736809822e-05,NaN,NaN,0.00761078592748485,0.00827394604759178,0.00658757644895045,0.0110611127668668,NaN,NaN,0.0945307949456909,0.0985721719017342,0.0862688820007444,0.087930370687724,NaN,NaN,NaN,NaN
2500,NaN,NaN,-0.000153181172629169,-1.26160078046347e-05,3.42114377368589e-05,NaN,NaN,0.0100213095752947,0.0103774002566904,0.00851498619225972,0.0129453200676731,NaN,NaN,0.104481893188912,0.108554946714539,0.0962578681458238,0.0975078956658354,NaN,NaN,NaN,NaN
2750,NaN,NaN,-0.000156026809593702,-1.33736315450279e-05,3.23846235713989e-05,NaN,-0.0100968362906567,0.0124051195823388,0.0125546790263787,0.0106046715346975,0.014943858010298,NaN,NaN,0.114103413136074,0.118118364027671,0.106041165903864,0.106957978770908,NaN,NaN,NaN,NaN
3000,NaN,NaN,-0.000158440991742121,-1.36010630626272e-05,3.09829868873056e-05,0.000687658698902426,0.00621333979208134,0.01477779322901,0.0147906570158432,0.0128444745990211,0.0170417040550719,NaN,NaN,0.12346877040999,0.127389885477727,0.115652389189042,0.116298228974641,NaN,NaN,NaN,NaN
3250,NaN,-3.9175211634416e-05,-0.00016031083692597,-1.34699664105753e-05,2.99158128314583e-05,0.0112547323548675,0.0156639501858918,0.0171566541786544,0.017078790584484,0.0152232483341572,0.0192281418143652,NaN,NaN,0.132631086362258,0.136460438778803,0.125117416946709,0.125542403308851,NaN,NaN,NaN,NaN
3500,NaN,-0.000120793372085703,-0.000161584066922776,-1.31100956274583e-05,2.91016808638906e-05,0.0181443210018654,0.0221555271511315,0.0195580425981971,0.0194163718803707,0.0177304613802611,0.0214952141143521,NaN,NaN,0.141629754026173,0.145394473447153,0.134456581285687,0.134701441194845,NaN,NaN,NaN,NaN
3750,NaN,-0.00016375588944506,-0.00016223980031023,-1.26254001078262e-05,2.84635098803726e-05,0.0233743103508854,0.0271327445142341,0.0219963733606847,0.0218024554129435,0.0203560062865857,0.0238368067945341,NaN,NaN,0.150494527866997,0.154236966387116,0.14368613979101,0.14378417958545,NaN,NaN,NaN,NaN
4000,NaN,-0.000188831522247222,-0.000162274841173503,-1.21035797425378e-05,2.79258841729021e-05,0.0277535656649101,0.0312407940153643,0.0244838801477985,0.0242368896329879,0.02309011286652,0.026248078613683,NaN,NaN,0.159248194979154,0.163018448620719,0.152819292806122,0.152797857394856,NaN,NaN,NaN,NaN
