PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,-0.000293060592304072,-0.000325492797753535,NaN,NaN,NaN,NaN,-0.00266946374174758,0.000547919395758385,-0.00353325988050832,-0.00296783903096965,-0.00144120607715088,0.000580155771734281,0.0196581025194,0.0205973336781677,NaN,NaN,0.109629331117426,0.110221810084525
1750,NaN,NaN,NaN,-0.00040214891941788,-0.000401189667405578,NaN,NaN,0.204242772108677,0.115946839178634,-0.00344942230927954,-0.000259909139632246,-0.0039313534275338,-0.00218991892212898,0.00884574691308149,0.00967667671210474,0.026679166117263,0.0273997860288616,NaN,NaN,0.123200554367773,0.123821666421462
2000,NaN,NaN,0.000724709696249398,-0.000489386860893009,-0.000468932000116978,NaN,NaN,0.0790649832482175,0.0370708802165682,-0.00383413731247827,-0.000407707728228235,-0.00413893076513227,-0.00139619385144506,0.0291752844987817,0.0272696698774643,0.0335246499456625,0.0342105262256962,NaN,NaN,0.13637037325987,0.137074763459339
2250,NaN,NaN,-7.62909679690902e-06,-0.000562447203022463,-0.000530670768639093,NaN,NaN,0.028498659798344,0.0169510035419288,-0.00398225478795445,-0.000182759042838165,-0.004208459658324,-0.000598974229662409,0.0427644727046785,0.0399672253561727,0.0401762855922392,0.040972225754489,NaN,NaN,0.149230986467142,0.150053454372591
2500,NaN,NaN,-0.000302347451786024,-0.000625557688990694,-0.000587512871062059,NaN,NaN,0.0116674580820977,0.0103424621186373,-0.00396701594603773,0.000275438881362331,-0.0041676632832584,0.000196714511810295,0.0526423705539334,0.0502771424669252,0.0466479031012307,0.0476677840776385,NaN,NaN,0.1618403374339,0.16280519941796
2750,NaN,NaN,-0.000469059583523987,-0.000681232614038923,-0.000640134360213537,NaN,NaN,0.00484179239240749,0.00783016640596158,-0.00382571418847555,0.000890697886956997,-0.00403247390269088,0.000988735387333981,0.0606969635794629,0.0592897274926455,0.0529599217753132,0.0542945130654993,NaN,NaN,0.174237412573259,0.175362882844979
3000,NaN,NaN,-0.000582504261558006,-0.000731060712105582,-0.000688977067860521,NaN,NaN,0.00184018128347432,0.00695690503305298,-0.00357846472175539,0.00161773859648161,-0.00381243127205611,0.00177623816997676,0.0677462475257376,0.0674514133588293,0.0591322845038884,0.0608550621663996,NaN,NaN,0.186449780063505,0.187750245660077
3250,NaN,NaN,-0.000668688191290963,-0.000776098095204338,-0.000734349703622739,NaN,NaN,0.00059331069267316,0.00686788931801389,-0.00323643057004703,0.00242790498518495,-0.00351330424096813,0.00255899661506881,0.0741802355998019,0.0749950150500741,0.0651826228337133,0.0673539206184615,NaN,NaN,0.198497683840354,0.199984984089819
3500,NaN,NaN,-0.000738817025961709,-0.000817078785141784,-0.000776483079663369,NaN,NaN,0.00025637190298778,0.00720268279158907,-0.00280583789054643,0.00330217195077134,-0.00313851360974394,0.00333710806958505,0.0802084195491083,0.0820660074844361,0.0711260184666409,0.0737960018940483,NaN,NaN,0.210396435317213,0.212080628337244
3750,NaN,NaN,-0.000798442935756777,-0.00085453419507033,-0.000815561763270116,NaN,NaN,0.00043326051184317,0.00778783150182918,-0.00229010617834507,0.00422743235723708,-0.00268997157230662,0.00411084798808618,0.0859552406757601,0.0887666818785533,0.0769752393803812,0.0801860689267268,NaN,NaN,0.222157892511468,0.224047738582544
4000,NaN,NaN,-0.000850599023285425,-0.000888864212330796,-0.000851742931628178,NaN,NaN,0.000919164084875848,0.00853158824210526,-0.00169105423937477,0.00519439262565565,-0.00216860963319653,0.00488059599954059,0.0915007420945273,0.0951745766282854,0.0827410836096951,0.0865285164184653,NaN,NaN,0.233791417556186,0.235894697194349
4250,NaN,NaN,-0.00089706411383098,-0.000920381180638318,-0.000885167953523895,NaN,NaN,0.00160051666474353,0.00938192697988227,-0.0010096177991754,0.0061963145925218,-0.00157472735685226,0.00564679705095494,0.0968996900058418,0.101351330814253,0.0884327114954603,0.092827308501235,NaN,NaN,0.245304520241815,0.247628251135102
4500,NaN,NaN,-0.000938937822425463,-0.000949338028276958,-0.000915969675109492,NaN,NaN,0.00241118156117866,0.0103077735402408,-0.000246292208895841,0.00722822907623842,-0.000908231558206836,0.00640994054533102,0.102191385502913,0.107347423825374,0.0940579325961481,0.0990859834404137,NaN,NaN,0.256703304332884,0.259253893895431
