PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,0.00823516814278044,0.000584898367262668,NaN,NaN,NaN,NaN,0.169691067512987,0.0745064092258058,-0.0030227563726431,0.000953286885218738,NaN,NaN,0.0328960753848582,0.0233049843178218,-0.00170225650453591,-0.000826232196993858,0.0566788555503809,0.0578859025587253
1750,NaN,NaN,NaN,0.0050700456141024,-0.000134174101064991,NaN,NaN,NaN,NaN,0.0742326706190058,0.0377904573458846,-0.00914442623339241,-0.00231586022459112,NaN,NaN,0.0158846862984359,0.0114294721112459,-0.000736031923167581,0.00187020371751291,0.0700453987130603,0.0704183150861429
2000,NaN,NaN,NaN,0.00306683751704883,-0.000712327198259469,NaN,NaN,NaN,NaN,0.0353441617526477,0.0216458874959094,-0.0117461479353324,-0.00279392987945528,NaN,NaN,0.0128730380219332,0.00885160233885305,0.00364359958096309,0.00513111992809848,0.0819975377508809,0.0820027750076487
2250,NaN,NaN,NaN,0.00167821497286352,-0.00120474062036906,NaN,NaN,NaN,NaN,0.0184978652955336,0.0135856966224232,-0.012445916487476,-0.00244403760379904,NaN,NaN,0.0139598317087188,0.00974447462574153,0.00858893057431317,0.00866116608010607,0.0931075994917521,0.0929793484999121
2500,NaN,NaN,NaN,0.000643037134788286,-0.00164027804301005,NaN,NaN,NaN,NaN,0.00971870494448398,0.00920441427957908,-0.0126131634294517,-0.00177910822259504,NaN,NaN,0.0165883985031681,0.0121803766440228,0.0135275910315131,0.0123322041449456,0.103651848972375,0.103522956327912
2750,NaN,NaN,NaN,-0.000172994590299712,-0.00203536420157972,NaN,NaN,NaN,NaN,0.00448780282428696,0.00673722314215798,-0.0126138439126875,-0.000971447241579375,NaN,NaN,0.0198854056257185,0.0153885338055992,0.0183160467635569,0.0160816260415887,0.113781523928046,0.113734424570088
3000,NaN,NaN,NaN,-0.000844361497479689,-0.00239996012011271,NaN,NaN,NaN,NaN,0.00106365823916276,0.00537137976988027,-0.0125511598101923,-9.16040536567706e-05,NaN,NaN,0.0234925954511977,0.0190141891320235,0.022922467610944,0.0198762189827199,0.123587458292273,0.12367692846031
3250,NaN,NaN,NaN,-0.00141512506880402,-0.00274041348414105,NaN,NaN,NaN,NaN,-0.00133657697247179,0.00468857531190643,-0.0124590529299715,0.000827199291694862,NaN,NaN,0.027244095585441,0.0228764443504604,0.0273488900835591,0.0236973052116866,0.133128184272292,0.13339263272975
3500,NaN,NaN,NaN,-0.00191278528401602,-0.00306093185732658,NaN,NaN,NaN,NaN,-0.00310837409943812,0.00445405871872867,-0.0123504098575973,0.00176765150284021,NaN,-0.0289916708299714,0.0310565817655015,0.0268757650002877,0.0316077722520583,0.0275339392875273,0.142443545411064,0.142911095658176
3750,NaN,NaN,NaN,-0.00235528473126364,-0.00336439477317388,NaN,NaN,NaN,NaN,-0.00446998683361003,0.00452680385424456,-0.0122307773628147,0.00272002411135175,-0.0452364689236231,-0.0451686512527928,0.0348858747467031,0.0309541402054338,0.0357140705901892,0.0313795278544927,0.151561875117718,0.152253863660033
4000,NaN,NaN,NaN,-0.00275477232760919,-0.00365282570047466,NaN,NaN,NaN,NaN,-0.00555034697293334,0.00481733545479949,-0.0121028018450196,0.00367852496863428,-0.0486515156998411,-0.039415907052715,0.0387077860638436,0.0350762371540282,0.0396824451743287,0.0352300379149786,0.160504049521446,0.161437148583346
4250,NaN,NaN,NaN,-0.00311973543804773,-0.00392767873623396,NaN,NaN,NaN,0.239140450555178,-0.00642976346695557,0.00526630109383629,-0.0119678287456478,0.00463954732852625,-0.0316258327625196,-0.0161052383547324,0.0425089212166191,0.0392197972358513,0.0435263240488541,0.0390829963538998,0.169285907310678,0.170473471494335
4500,NaN,NaN,NaN,-0.00345626376975842,-0.004190019418954,NaN,NaN,NaN,0.157317182016212,-0.00716037257407224,0.00583285267178116,-0.0118265329156441,0.00560076505747596,-0.00783138675798391,0.00547050614383166,0.0462819629477066,0.0433704372219881,0.0472576752517589,0.0429369069504592,0.177919763481275,0.179372716809856
