PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,0.201580104959841,0.293248640945147,0.418639298779414,NaN,0.529678182378762,0.530800727070141,0.564174560152163,0.568101336907686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,NaN,0.296711719667481,0.372302103704159,0.489189769814365,NaN,0.598703444840648,0.599638621827572,0.609626494892966,0.617974757125228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,0.386011111282551,0.447851259922644,0.55489381777835,NaN,0.640350419194848,0.640875740066842,0.648835703853913,0.660941085205178,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2250,NaN,0.469350927800812,0.520067948778573,0.616412670637817,NaN,0.68301496643481,0.682934375704739,0.683398742875318,0.698589813168573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2500,NaN,0.547222710825241,0.589217878840496,0.674291289106917,NaN,0.724383279061066,0.72375611355249,0.714376132557412,0.732033400246582,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2750,NaN,0.620245517654268,0.655578145185792,0.728978211994058,NaN,0.763002892354031,0.761951032579923,0.742510292598413,0.762074541793598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3000,NaN,0.689011512581788,0.719408398531696,0.78084468686348,NaN,0.798515314437815,0.797161640315701,0.768340583779086,0.78930828104072,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3250,NaN,0.754042996658071,0.780942216563808,0.830200464920688,NaN,0.830994153897018,0.829443147147274,0.792270198597968,0.814186299770341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,0.815787219107118,0.840386232756196,0.877306238699157,NaN,0.860659845578103,0.858992331204065,0.814607637822301,0.837058641113319,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3750,-0.153355606093953,0.874623323236538,0.897922119372764,0.922383299616915,NaN,0.887767872681514,0.886041089447536,0.835593633323592,0.858201562151131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4000,-0.00482725711675836,0.930872248215272,0.953709435793361,0.96562102997365,NaN,0.912566098151449,0.910815779466672,0.855419246236967,0.877836612544284,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4250,0.127318806615855,0.984806376154165,1.00788853982986,1.00718274292077,NaN,0.935279878845844,0.933522957894806,0.874238382234573,0.896144010960131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4500,0.246113067516137,1.03665793834432,1.06058325856554,1.04721026814132,NaN,0.956108473222074,0.954345815664423,0.892176654816234,0.913272222401371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4750,0.353879643245676,1.08662601826619,1.11190322714508,1.08582758282054,NaN,0.975225938337797,0.973444856714653,0.909337792955013,0.929344946333687,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5000,0.452428874854636,1.13488227386986,1.16194589207778,1.12314371158773,NaN,0.992783638436957,0.99096010399974,0.925808358258889,0.944466303415308,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5250,0.543190770968796,1.1815755786047,1.21079820944456,1.15925506244897,NaN,1.0089131439912,1.00701368577801,0.941661274256247,0.958724745189536,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5500,0.627309286552145,1.22683578035726,1.25853807843809,1.19424732397117,NaN,1.0237290200857,1.02171233327983,0.956958505633819,0.972196042858631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5750,0.705710113144284,1.27077675181722,1.30523555061423,1.22819701828051,NaN,1.0373313206107,1.03514961814946,0.971753119147952,0.98494560150439,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6000,0.779150208083528,1.31349887512396,1.35095385128138,1.26117278180939,NaN,1.04980774385857,1.04740788753487,0.986090888054526,0.997030273105514,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6250,0.848254513314066,1.3550910753187,1.39575024437694,1.2932364289552,NaN,1.06123546355205,1.05855990876196,1.00001155496297,1.00849979224052,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6500,0.91354354307064,1.39563249328833,1.43967676716549,1.32444384129851,NaN,1.07168267102931,1.06867025550956,1.01354983591791,1.01939792429517,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6750,0.97545436710288,1.43519386965723,1.48278085660321,1.35484571561711,NaN,1.08120986953666,1.07779647219875,1.026736226198,1.02976339216081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7000,1.03435675218826,1.473838695893,1.52510588537583,1.3844881968006,NaN,1.08987095976909,1.08599005167462,1.03959765257904,1.0396306304982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7250,1.09056570977935,1.51162417700953,1.56669162241756,1.41341341632281,NaN,1.09771415134842,1.09329725723207,1.0521580055488,1.04903040448146,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7500,1.14435134511625,1.54860204099276,1.60757463008564,1.44165995273616,NaN,1.10478272984719,1.09975981545503,1.06443857680585,1.05799032108376,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7750,1.19594665828631,1.58481922286369,1.64778860801423,1.46926322740043,NaN,1.11111570412187,1.1054155019809,1.07645842139793,1.06653525444816,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8000,1.24555377534898,1.6203184456664,1.68736469191842,1.49625584611793,NaN,1.11674835443973,1.11029863846508,1.08823465942733,1.07468770203467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8250,1.29334896478256,1.6551387162648,1.72633171419351,1.52266789534918,NaN,1.12171269824703,1.11444051576636,1.09978272893643,1.08246808458734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8500,1.3394867059064,1.68931575037085,1.76471643199228,1.54852720010035,NaN,1.12603788740257,1.11786975567322,1.11111659908239,1.0898950001968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8750,1.38410301133443,1.72288233849565,1.80254372751477,1.57385954931299,NaN,1.12975054821452,1.12061262127534,1.12224895080033,1.09698544061449,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9000,1.42731815793626,1.75586866234776,1.83983678446932,1.59868889357496,NaN,1.13287507358952,1.1226932842772,1.13319133068675,1.10375497633906,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9250,1.46923894539809,1.78830256947733,1.87661724402672,1.62303751915603,NaN,1.13543387495138,1.12413405608159,1.14395428269701,1.11021791572231,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9500,1.50996057492423,1.82020981258161,1.91290534306528,1.64692620171011,NaN,1.13744760024389,1.12495558827687,1.15454746136299,1.11638744234462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9750,1.54956822052383,1.85161425877495,1.94872003707166,1.6703743424466,NaN,1.13893532323971,1.12517704719085,1.16497972953835,1.12227573412283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10000,1.58813834999622,1.88253807322663,1.98407910970314,1.69340008913152,NaN,1.13991470848757,1.12481626638365,1.17525924312665,1.12789406698759,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
