PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,0.295345729039815,-0.0160741192922125,0.0649101173569953,NaN,0.101746395785317,0.112710013351667,0.344115520991798,0.34312055974147,NaN,NaN,NaN,NaN,0.59365223323288,0.590321607482569,NaN,NaN,NaN,NaN,NaN,NaN
1750,NaN,0.069629537757307,0.0164443030654597,0.112429867667369,NaN,0.19942403773769,0.217639587851468,0.428544896635046,0.428927974320952,NaN,NaN,NaN,NaN,0.639770464247786,0.638978760257416,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,-0.027177313817741,0.0579724647338296,0.161258595246536,NaN,0.303472099183207,0.323223943845386,0.503636375383614,0.506371605524369,NaN,NaN,NaN,NaN,0.67787991736611,0.679546742516372,NaN,NaN,NaN,NaN,NaN,NaN
2250,NaN,-0.0554953644533165,0.104394197786843,0.210408594734026,NaN,0.403819873008151,0.423845437103235,0.570758429317726,0.576226799114642,NaN,NaN,NaN,NaN,0.709840314046861,0.713864610771379,NaN,NaN,NaN,NaN,NaN,NaN
2500,NaN,-0.0457771226102092,0.153423567275036,0.259311344042329,NaN,0.494139011610013,0.514009027852462,0.63115079497355,0.639435287851665,NaN,NaN,NaN,NaN,0.736966388652363,0.74328099380859,NaN,NaN,NaN,NaN,NaN,NaN
2750,NaN,-0.0143490031145346,0.203729060507978,0.307635161286632,NaN,0.57473111895336,0.594338054699088,0.685863960360303,0.696886351798017,NaN,NaN,NaN,NaN,0.760210668963722,0.768787219665262,NaN,NaN,NaN,NaN,NaN,NaN
3000,NaN,0.0296011994086326,0.254508610199303,0.355187832645434,NaN,0.646875764090934,0.666259893139529,0.735765283639806,0.749356937992481,NaN,NaN,NaN,NaN,0.780281727050083,0.791120455650942,NaN,NaN,NaN,NaN,NaN,NaN
3250,NaN,0.08070337848246,0.305268338691848,0.401861846905226,NaN,0.711848858467553,0.731112415593704,0.781564958203135,0.797506294308729,NaN,NaN,NaN,NaN,0.797719199827752,0.810837435246524,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,0.135726139929223,0.355700721112866,0.447602289166296,NaN,0.770739984386809,0.790003342832672,0.823844419075841,0.841888011193288,NaN,NaN,NaN,NaN,0.812942198245284,0.828365684862581,NaN,NaN,NaN,NaN,NaN,NaN
3750,NaN,0.19268301082142,0.405614366709974,0.492387377463615,NaN,0.824442843715606,0.843822678478893,0.863081534521297,0.882966064135934,NaN,NaN,NaN,NaN,0.826281562286849,0.844038929451612,NaN,NaN,NaN,NaN,NaN,NaN
4000,NaN,0.250335508753107,0.454892000153767,0.536216339374999,NaN,0.873683453005174,0.893282567508385,0.899671333655349,0.921130172115543,NaN,NaN,NaN,NaN,0.838002096761136,0.858121715013682,NaN,NaN,NaN,NaN,NaN,NaN
4250,NaN,0.30790648210639,0.503464518441799,0.579101693923351,NaN,0.919052351881894,0.938955665483747,0.933942537837548,0.956709065622825,NaN,NaN,NaN,NaN,0.848318355578164,0.870826737944534,NaN,NaN,NaN,NaN,NaN,NaN
4500,NaN,0.364909460551435,0.551294547622199,0.621064252577218,NaN,0.961032576802524,0.981306305952866,0.966170582584441,0.989981473502318,NaN,NaN,NaN,NaN,0.85740610558951,0.88232722100665,NaN,NaN,NaN,NaN,NaN,NaN
4750,NaN,0.421044289927675,0.59836578873033,0.662129838881214,NaN,1.00002213455014,1.02071456073553,0.996587841554103,1.02118505389074,NaN,NaN,NaN,NaN,0.865410800498361,0.892765890016698,NaN,NaN,NaN,NaN,NaN,NaN
5000,NaN,0.476131810831915,0.644675986357515,0.702327116428555,NaN,1.0363515730439,1.05749452946126,1.02539166593482,1.0505236012625,NaN,NaN,NaN,NaN,0.872453934210908,0.902261586171166,NaN,NaN,NaN,NaN,NaN,NaN
5250,NaN,0.530072155952095,0.690232216676469,0.741686143835457,NaN,1.07029760681031,1.09190822040983,1.05275073190903,1.07817285387429,NaN,NaN,NaN,NaN,0.878637863024189,0.910914209422916,NaN,NaN,NaN,NaN,NaN,NaN
5500,NaN,0.582817673050079,0.735047690419912,0.7802374133875,NaN,1.10209368434927,1.12417613266743,1.07881007969342,1.10428518152462,NaN,NaN,NaN,NaN,0.884049506797117,0.918808465994184,NaN,NaN,NaN,NaN,NaN,NaN
5750,NaN,0.634355092912461,0.779139562645323,0.818011215222085,NaN,1.13193821730735,1.15448538212584,1.10369513853988,1.12899338283062,NaN,NaN,NaN,NaN,0.888763219669722,0.926016746375596,NaN,NaN,NaN,NaN,NaN,NaN
6000,NaN,0.684693647872006,0.822527421722445,0.855037222620515,NaN,1.16000102745107,1.18299599430357,1.12751496253828,1.15241377506254,NaN,NaN,NaN,NaN,0.892843038913969,0.932601362210203,NaN,NaN,NaN,NaN,NaN,NaN
6250,NaN,0.733857081893006,0.865232242557712,0.891344228483517,NaN,1.18642843243334,1.2098458209046,1.15036484892341,1.17464872100127,NaN,NaN,NaN,NaN,0.896344463310537,0.93861630421307,NaN,NaN,NaN,NaN,NaN,NaN
6500,NaN,0.78187824138687,0.907275660675441,0.926959985598168,NaN,1.2113472870043,1.23515441531862,1.17232847035809,1.19578870630204,NaN,NaN,NaN,NaN,0.899315872063588,0.944108637846183,NaN,NaN,NaN,NaN,NaN,NaN
6750,NaN,0.828795398322961,0.948679470154501,0.961911118243495,NaN,1.23486821778978,1.25902611406906,1.19347962229323,1.21591405644932,NaN,NaN,NaN,NaN,0.901799666461009,0.949119621877906,NaN,NaN,NaN,NaN,NaN,NaN
7000,NaN,0.874649748281873,0.989465278955608,0.996223082718599,NaN,1.25708823128317,1.28155250742151,1.21388366355709,1.235096363354,NaN,NaN,NaN,NaN,0.903833195745536,0.953685612689383,NaN,NaN,NaN,NaN,NaN,NaN
7250,NaN,0.919483712416645,1.02965427557976,1.02992016120038,NaN,1.27809283126555,1.30281443608655,1.23359871093404,1.25339967685,NaN,NaN,NaN,NaN,0.905449513585147,0.95783880128984,NaN,NaN,NaN,NaN,NaN,NaN
7500,NaN,0.963339793370736,1.06926707481777,1.06302547802545,NaN,1.29795774956335,1.32288361719212,1.25267663525403,1.27088150485307,NaN,NaN,NaN,NaN,0.906678000469564,0.96160781850693,NaN,NaN,NaN,NaN,NaN,NaN
7750,NaN,1.00625981498152,1.10832361982518,1.0955610307413,NaN,1.31675036992639,1.34182397790444,1.27116389638515,1.28759365699791,NaN,NaN,NaN,NaN,0.907544879169738,0.965018235409559,NaN,NaN,NaN,NaN,NaN,NaN
8000,NaN,1.04828442882922,1.14684312432368,1.12754773054369,NaN,1.33453090669826,1.35969275672543,1.28910224672899,1.30358295958513,NaN,NaN,NaN,NaN,0.908073644279063,0.968092979801935,NaN,NaN,NaN,NaN,NaN,NaN
8250,NaN,1.0894528066141,1.18484404332787,1.15900544831657,NaN,1.35135338627294,1.37654141880687,1.30652932678837,1.31889186419629,NaN,NaN,NaN,NaN,0.908285422245186,0.970852684981005,NaN,NaN,NaN,NaN,NaN,NaN
8500,NaN,1.12980246184126,1.22234406404427,1.18995306362316,NaN,1.36726646893659,1.39241642133057,1.32347917168433,1.33355896802706,NaN,NaN,NaN,NaN,0.908199274798921,0.973315983443683,NaN,NaN,NaN,NaN,NaN,NaN
8750,NaN,1.16936916115265,1.25936011090277,1.22040851480176,NaN,1.38231414074212,1.40735985720724,1.33998264382467,1.34761946058229,NaN,NaN,NaN,NaN,0.907832456004598,0.975499755561226,NaN,NaN,NaN,NaN,NaN,NaN
9000,NaN,1.20818689734959,1.29590836034027,1.25038884889503,NaN,1.39653629894192,1.42140999939392,1.35606780403442,1.36110550867127,NaN,NaN,NaN,NaN,0.907200631086488,0.977419341188492,NaN,NaN,NaN,NaN,NaN,NaN
9250,NaN,1.24628790433476,1.33200426215474,1.27991027055197,NaN,1.4099692497613,1.43460176355149,1.3717602311678,1.37404658948116,NaN,NaN,NaN,NaN,0.906318063577209,0.979088720589348,NaN,NaN,NaN,NaN,NaN,NaN
9500,NaN,1.2837026999649,1.36766256511792,1.30898818933646,NaN,1.42264613359606,1.4469671032175,1.38708329839838,1.38646977977467,NaN,NaN,NaN,NaN,0.905197776074873,0.980520669822105,NaN,NaN,NaN,NaN,NaN,NaN
9750,-0.329583998156998,1.3204601468871,1.40289734516973,1.33763726508587,NaN,1.43459728981659,1.45853534890351,1.40205841292513,1.39840000786216,NaN,NaN,NaN,NaN,0.903851688903692,0.981726894756792,NaN,NaN,NaN,NaN,NaN,NaN
10000,-0.231144874693973,1.3565875243352,1.43772203498275,1.36587145111355,NaN,1.44585057107127,1.46933350035431,1.4167052246582,1.40986027386835,NaN,NaN,NaN,NaN,0.902290740186237,0.982718147127404,NaN,NaN,NaN,NaN,NaN,NaN
