PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,-0.0269679353551792,-0.0296617085082659,NaN,NaN,NaN,0.181425548847783,0.189273893935054,0.216846012676084,0.238974555160411,NaN,NaN,0.552549573582035,0.547771190605413,NaN,NaN,NaN,NaN,NaN,NaN
1750,NaN,NaN,-0.0377400593139493,-0.00230704526284595,NaN,-0.310756805369426,-0.282979439299663,0.268392020112763,0.274878680063197,0.296456530034884,0.314470164080689,NaN,NaN,0.618528042736014,0.614339691228149,NaN,NaN,NaN,NaN,NaN,NaN
2000,NaN,0.559139124086539,-0.0282990316292748,0.0297767812324594,NaN,-0.111976553462647,-0.0822577676432701,0.350400037980057,0.35740681549658,0.37014819836163,0.384125043651514,NaN,NaN,0.674095199417914,0.670479577427616,NaN,NaN,NaN,NaN,NaN,NaN
2250,NaN,0.265382136113813,-0.00650976776017809,0.064861692827072,NaN,0.0470343115628963,0.0786407986908743,0.426597867244786,0.435157231564466,0.43813483999418,0.448965935278404,NaN,NaN,0.721480211871597,0.718419049075878,NaN,NaN,NaN,NaN,NaN,NaN
2500,NaN,0.0933177179213033,0.0230827349567371,0.101837895097066,NaN,0.180613910293776,0.212979448369656,0.497020562537724,0.507699741515001,0.500957340873151,0.5097409518056,NaN,NaN,0.762331125217848,0.759850595379844,NaN,NaN,NaN,NaN,NaN,NaN
2750,NaN,-0.0030418130938294,0.0577079423232513,0.139969591383453,NaN,0.295445806615141,0.327944010577649,0.562056017696933,0.575142544317919,0.559212187617158,0.567022486206727,NaN,NaN,0.797877186759908,0.796046014611192,NaN,NaN,NaN,NaN,NaN,NaN
3000,NaN,-0.0508508408848434,0.0956055534566077,0.178756830285932,NaN,0.395811114931413,0.428188609615898,0.62220570191241,0.637810072689337,0.613458230656909,0.621262345919758,NaN,NaN,0.829051454786692,0.827965801586811,NaN,NaN,NaN,NaN,NaN,NaN
3250,NaN,-0.0667721289190327,0.135620025992049,0.217853527222382,NaN,0.484703161877152,0.516916049560636,0.677980439639983,0.696097856699328,0.664189446385293,0.67282508118046,NaN,NaN,0.856575036240463,0.856343894512542,NaN,NaN,NaN,NaN,NaN,NaN
3500,NaN,-0.0613690062292525,0.176972917264092,0.257016837940964,NaN,0.564304083286413,0.596413808625787,0.729857686185759,0.750407144058157,0.711832241210122,0.722009821329781,NaN,NaN,0.881014263322035,0.881749125247403,NaN,NaN,NaN,NaN,NaN,NaN
3750,NaN,-0.0415254120268858,0.219128979460822,0.296074827054184,NaN,0.636248876207941,0.668362636937783,0.778266733530779,0.801116600854091,0.756751340759977,0.769065378566256,NaN,NaN,0.902820159969137,0.904628848389881,NaN,NaN,NaN,NaN,NaN,NaN
4000,NaN,-0.0118335887031534,0.261714279692675,0.334905223416858,NaN,0.701788802915274,0.734026912612695,0.823586391134662,0.84857154462733,0.7992580191804,0.814201098770927,NaN,NaN,0.922356356652245,0.925339864889101,NaN,NaN,NaN,NaN,NaN,NaN
4250,NaN,0.0245818417466463,0.304464457556416,0.373421115300332,NaN,0.761898539590264,0.794377274127181,0.866147956100362,0.893081451212312,0.839618276028416,0.857594877855452,NaN,NaN,0.939919288384407,0.944170504375475,NaN,NaN,NaN,NaN,NaN,NaN
4500,NaN,0.0655592028621014,0.347191093030477,0.411561112962605,NaN,0.817349069741275,0.850172239128146,0.90624012684429,0.934921246809442,0.878060131151509,0.89939921381526,NaN,NaN,0.955753080512603,0.961356580705692,NaN,NaN,NaN,NaN,NaN,NaN
4750,NaN,0.109582181869375,0.389759306946787,0.449282458208839,NaN,0.868758627386797,0.902013996140319,0.944114326037916,0.974334183212433,0.914779840336001,0.939745856810584,NaN,NaN,0.970060680569725,0.977093077891207,NaN,NaN,NaN,NaN,NaN,NaN
5000,NaN,0.15557511202472,0.43207252275832,0.486556120192792,NaN,0.916629076875543,0.950387425423212,0.979989762206443,1.01153521871702,0.949947079258419,0.978749435177851,NaN,NaN,0.983012284418082,0.991542829337834,NaN,NaN,NaN,NaN,NaN,NaN
5250,NaN,0.202768152218169,0.474061905687723,0.523363255592305,NaN,0.961372372150461,0.995687945931418,1.01405797123976,1.04671439030063,0.983709225344309,1.01651031914929,NaN,NaN,0.994751783553537,1.00484305270082,NaN,NaN,NaN,NaN,NaN,NaN
5500,NaN,0.250606784902128,0.51567892288365,0.559692621946345,NaN,1.00333011144263,1.03824174926451,1.04648677242831,1.08003994705566,1.01619488220517,1.05311690805143,NaN,NaN,1.00540174836091,1.01711033458783,NaN,NaN,NaN,NaN,NaN,NaN
5750,NaN,0.298690015053678,0.556890026037706,0.595538666989842,NaN,1.04278819760811,1.07832074286728,1.07742366042338,1.11166115810478,1.04751678059059,1.08864747545836,NaN,NaN,1.01506731715867,1.02844447947435,NaN,NaN,NaN,NaN,NaN,NaN
6000,NaN,0.346727514696455,0.597672802115904,0.630900103936164,NaN,1.0799879727057,1.11615375021563,1.1069986894062,1.14171077896961,1.07777417091862,1.1231716712902,NaN,NaN,1.02383925957568,1.03893151552281,NaN,NaN,NaN,NaN,NaN,NaN
6250,NaN,0.394509491589049,0.638013155186681,0.665778840353567,NaN,1.11513477574975,1.15193501974176,1.13532691576531,1.17030719361325,1.10705480275218,1.15675175479016,NaN,NaN,1.03179641105509,1.04864606678356,NaN,NaN,NaN,NaN,NaN,NaN
6500,NaN,0.441885238986658,0.677903222425076,0.700179167157762,NaN,1.14840459228281,1.1858307698757,1.16251046417444,1.19755626328574,1.13543656884004,1.18944361430807,NaN,NaN,1.03900762398448,1.05765324364292,NaN,NaN,NaN,NaN,NaN,NaN
6750,NaN,0.488747693389678,0.717339819396822,0.734107140850442,NaN,1.17994927379182,1.2179842813732,1.18864027580055,1.22355291739274,1.162988876328,1.22129761668406,NaN,NaN,1.04553334398057,1.06601016298521,NaN,NaN,NaN,NaN,NaN,NaN
7000,NaN,0.535022204911117,0.756323271214844,0.767570110606773,NaN,1.20990067325608,1.24851990148442,1.2137975897078,1.24838252090206,1.18977379544495,1.25235931931568,NaN,NaN,1.05142689299749,1.07376718084895,NaN,NaN,NaN,NaN,NaN,NaN
7250,NaN,0.58065829684972,0.794856527892606,0.800576354809534,NaN,1.23837395074647,1.27754622350954,1.23805520088169,1.27212204994323,1.21584702605701,1.28267007072761,NaN,NaN,1.05673552125209,1.08096889973595,NaN,NaN,NaN,NaN,NaN,NaN
7500,NaN,0.625623569638665,0.832944490949791,0.833134800879152,NaN,1.26547023736805,1.30515863467814,1.26147853133168,1.29484110361456,1.24125871456361,1.31226751996914,NaN,NaN,1.06150127542586,1.08765499773365,NaN,NaN,NaN,NaN,NaN,NaN
7750,NaN,0.669899158572255,0.87059349836782,0.865254808909071,NaN,1.29127879863947,1.33144137525936,1.28412654466487,1.31660277628135,1.2660541473065,1.34118605096899,NaN,NaN,1.06576171977543,1.09386091558085,NaN,NaN,NaN,NaN,NaN,NaN
8000,NaN,0.713476327737924,0.907810929144085,0.896946004459814,NaN,1.31587880407139,1.3564692159135,1.30605252937234,1.33746441115477,1.29027434165034,1.36945715474318,NaN,NaN,1.06955053865,1.09961842960944,NaN,NaN,NaN,NaN,NaN,NaN
8250,NaN,0.756353901805519,0.944604898798088,0.928218149421759,NaN,1.33934078447145,1.38030883423724,1.32730477176177,1.35747825281895,1.31395655190391,1.39710974983862,NaN,NaN,1.07289804275469,1.10495613234215,NaN,NaN,NaN,NaN,NaN,NaN
8500,NaN,0.798536320431388,0.980984024472735,0.959081042491047,NaN,1.36172783977009,1.40301995232914,1.34792713589694,1.37669201365634,1.33713470406803,1.42417045942623,NaN,NaN,1.07583159679686,1.10989983786469,NaN,NaN,NaN,NaN,NaN,NaN
8750,NaN,0.840032158587741,1.0169572435842,0.989544442770398,NaN,1.38309664612628,1.42465628302083,1.36795956495674,1.39514936679563,1.3598397708506,1.45066385190431,NaN,NaN,1.07837598253615,1.11447292552913,NaN,NaN,NaN,NaN,NaN,NaN
9000,NaN,0.880852997796184,1.05253367387696,1.01961801148698,NaN,1.40349830046451,1.44526632180119,1.38743851599875,1.41289037623476,1.38210009634473,1.47661265063847,NaN,NaN,1.08055370845763,1.11869663280013,NaN,NaN,NaN,NaN,NaN,NaN
9250,NaN,0.921012563175562,1.08772250563293,1.04931126794129,NaN,1.42297903251115,1.46489401343917,1.40639733811562,1.42995187313056,1.40394167811964,1.50203791747779,NaN,NaN,1.08238527510125,1.12259030592429,NaN,NaN,NaN,NaN,NaN,NaN
9500,NaN,0.960526062902283,1.12253291894394,1.07863355665672,NaN,1.44158080819028,1.48357931619783,1.42486660232879,1.44636778585161,1.42538841314159,1.52695921389289,NaN,NaN,1.08388940336429,1.12617161543559,NaN,NaN,NaN,NaN,NaN,NaN
9750,NaN,0.999409682525447,1.15697402058226,1.10759402335618,NaN,1.45934184343643,1.5013586818361,1.44287439020967,1.46216943022211,1.44646231286083,1.5513947429391,NaN,NaN,1.08508323173634,1.12945674219665,NaN,NaN,NaN,NaN,NaN,NaN
10000,NaN,1.0376801982426,1.19105479623469,1.13620159789922,NaN,1.47629704373999,1.51826546595939,1.46044654710001,1.47738576540546,1.46718369191842,1.57536147472526,NaN,NaN,1.08598248734718,1.13246053863416,NaN,NaN,NaN,NaN,NaN,NaN
