PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,0.0476460897777655,-0.0658386807090525,-0.0440708030231192,NaN,NaN,0.0652929875986542,0.0818435650596938,0.126659542932946,0.158002369859595,NaN,NaN,0.48212578573966,0.480790238422281,0.492734707341409,NaN,NaN,NaN,NaN,NaN
1750,NaN,NaN,-0.0107378200660171,-0.0564930214577516,-0.0227110309315997,NaN,NaN,0.140108943924269,0.153564452184451,0.203399547497808,0.23061873417801,NaN,NaN,0.563258621484923,0.561441843677823,0.543836837554757,NaN,NaN,NaN,NaN,NaN
2000,NaN,NaN,-0.0368377013492615,-0.0399225353814105,0.00423314248449111,NaN,NaN,0.217402916531559,0.23003756877272,0.277153676321745,0.299325453780415,NaN,NaN,0.632875779033197,0.630413704908993,0.60067670238942,NaN,NaN,NaN,NaN,NaN
2250,NaN,NaN,-0.0424948615896425,-0.0183011448914458,0.0350579146448323,-0.401096393445827,-0.358182208670211,0.293389425160047,0.306575352776323,0.346945475881236,0.364466345803091,NaN,NaN,0.693108001164493,0.689908247966803,0.655091984696222,NaN,NaN,NaN,NaN,NaN
2500,NaN,0.753573231959586,-0.0346720874871344,0.00690767810921094,0.0686094794711895,-0.207852070830514,-0.162867530541013,0.366332484751936,0.380940578572853,0.412609705791267,0.426364152660069,NaN,NaN,0.74566713400553,0.741734330772175,0.70484716213886,NaN,NaN,NaN,NaN,NaN
2750,NaN,0.441100928000344,-0.0176909217752114,0.0346885433158604,0.104082978580564,-0.0488625953623821,-0.0031947829607358,0.435538743679456,0.452119053605251,0.47431185815895,0.485318226043008,NaN,NaN,0.791893174439631,0.787309682203547,0.749651447641958,NaN,NaN,NaN,NaN,NaN
3000,NaN,0.233219131285273,0.00564958052067445,0.0643192139076698,0.140903310500593,0.0862011816989454,0.131813534811858,0.500837298399504,0.519721152380338,0.532341739246456,0.541600384940643,NaN,NaN,0.832836238049915,0.827733283020564,0.789837215343109,NaN,NaN,NaN,NaN,NaN
3250,NaN,0.0966495554805342,0.0334731435164693,0.0952752967365715,0.178651413866131,0.203376750066853,0.248634844607373,0.562313513197419,0.583678922191913,0.587022587382207,0.595453806504444,NaN,NaN,0.869326637245081,0.863859910056502,0.825903002691384,NaN,NaN,NaN,NaN,NaN
3500,NaN,0.00974096343361044,0.064486234422452,0.127169495952483,0.21701700732472,0.306650719014897,0.351503927964228,0.620171930377823,0.644087968777942,0.638671333842416,0.647094203634178,NaN,NaN,0.902027753874041,0.89636066363674,0.858353441320282,NaN,NaN,NaN,NaN,NaN
3750,NaN,-0.041964572127689,0.0977761250749254,0.159711693850679,0.255767346716064,0.398828482056548,0.443353710597911,0.674665272598076,0.701123056357637,0.687582261120429,0.69671215698575,NaN,NaN,0.931474996948262,0.925768581702769,0.88764661946369,NaN,NaN,NaN,NaN,NaN
