PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,0.473616144658386,-0.0375529653015136,-0.0651839838862084,NaN,NaN,-0.0342062826995227,-0.0120759982114707,-0.0148600237572329,0.0198812424714588,NaN,NaN,0.263142039946651,0.276423148807101,0.361951088497493,0.338258295902941,NaN,NaN,NaN,NaN
1750,NaN,NaN,0.279871570985881,-0.0637649042697587,-0.0766266140213745,NaN,NaN,-0.0288204127751115,-0.00751519191362673,0.0360429981913456,0.0740949538011682,NaN,NaN,0.366094766388475,0.379355631421616,0.428442782657076,0.407205096773921,NaN,NaN,NaN,NaN
2000,NaN,NaN,0.151689526096779,-0.0793395693432385,-0.0797152098242618,NaN,NaN,0.00326037209717349,0.0245235167823541,0.0937092599865326,0.130615623064807,NaN,NaN,0.459275231863221,0.471275043997692,0.501556803071453,0.47978418670629,NaN,NaN,NaN,NaN
2250,NaN,NaN,0.066549979533333,-0.086739440904453,-0.0763571595578087,NaN,NaN,0.0507287396154177,0.0724042139399985,0.154103612119092,0.187944510956367,NaN,NaN,0.542964921881907,0.552883662874316,0.572201578616082,0.548972009243236,NaN,NaN,NaN,NaN
2500,NaN,NaN,0.0108957940241342,-0.0877685159565649,-0.0679530498858179,NaN,NaN,0.106538215764978,0.129155299151755,0.214996065409497,0.245158949519859,NaN,NaN,0.618106342561112,0.625487280348357,0.637707781052785,0.612877792246202,NaN,NaN,NaN,NaN
2750,NaN,NaN,-0.023875296588942,-0.0837699272449158,-0.0555506214676337,NaN,NaN,0.166441646886701,0.190540406224034,0.27515151106113,0.30170402295181,NaN,NaN,0.685739959020374,0.690395481053827,0.697592497195864,0.671314508455852,NaN,NaN,NaN,NaN
3000,NaN,NaN,-0.0434564655780721,-0.0757602780907514,-0.0399475021833518,NaN,NaN,0.227886399615334,0.253946899580734,0.33389810246063,0.357254633207693,NaN,NaN,0.746832069924593,0.74875347423548,0.752117851712423,0.724646454924511,NaN,NaN,NaN,NaN
3250,NaN,NaN,-0.0517476749096998,-0.0645209907945933,-0.021760593831578,NaN,NaN,0.289337262576272,0.317748847125812,0.390889588948035,0.411629055511066,NaN,NaN,0.802230446247915,0.801518011659008,0.801774295432722,0.773384641275603,NaN,NaN,NaN,NaN
3500,NaN,NaN,-0.0514981844142703,-0.050661200437377,-0.00147378712670255,NaN,-0.435619175054962,0.349876610257019,0.380933467609051,0.445970474458397,0.46473526207069,NaN,NaN,0.852662199154253,0.849476941761004,0.847089639602748,0.818042804201981,NaN,NaN,NaN,NaN
3750,NaN,NaN,-0.0446935140353629,-0.0346617639730908,0.0205285933922082,-0.366092031934595,-0.275917011520933,0.408967207836892,0.442876225652161,0.499097546631842,0.516537417446413,NaN,NaN,0.898745191558488,0.893277989259608,0.888560029878382,0.859089206739046,NaN,NaN,NaN,NaN
4000,NaN,0.808503658258129,-0.032797515190314,-0.0169065790360598,0.0439379092573392,-0.22323435545852,-0.136774398708312,0.466309149798088,0.503202072573719,0.550293258423049,0.56703476178798,NaN,NaN,0.941002927619375,0.933455801280027,0.926628398600253,0.896934617969114,NaN,NaN,NaN,NaN
4250,NaN,0.570245978390497,-0.0169088013022856,0.00229476058596505,0.0685038602238292,-0.0970420200611616,-0.0136886360299542,0.521751920486953,0.561697983261164,0.599617591707475,0.616248166612607,NaN,NaN,0.979879231093946,0.970454496293596,0.961681538213084,0.931933756450522,NaN,NaN,NaN,NaN
4500,NaN,0.386841070926474,0.00213528366335578,0.0226903222770163,0.094021679837237,0.0157504662793426,0.0965875850981754,0.575239360266572,0.61825680575838,0.647150892162583,0.664211500995059,NaN,NaN,1.01575138567105,1.00464565747239,0.994054141499533,0.964391254448394,NaN,NaN,NaN,NaN
4750,NaN,0.246186730263492,0.0236878473431165,0.0440734331927897,0.120322546043102,0.117591745621539,0.196454760479297,0.626774685230063,0.672840652538402,0.692983343492883,0.710966052990213,NaN,NaN,1.04894137018343,1.03634246780946,1.02403500927942,0.994568604885411,NaN,NaN,NaN,NaN
5000,NaN,0.139161835869582,0.0472431570556434,0.0662733169193086,0.147266303597197,0.210353489841614,0.287724849174701,0.676397971189297,0.725456727464156,0.737208523598595,0.756556915526084,NaN,NaN,1.07972523120854,1.06581077880395,1.0518734709189,1.02269074658166,NaN,NaN,NaN,NaN
5250,NaN,0.0588128481781531,0.0724016658624005,0.0891479379066841,0.174735873581827,0.295490020488318,0.371790563197488,0.724171524094565,0.776141202890569,0.779919501792799,0.801030649337407,NaN,NaN,1.10834079981065,1.09327780133145,1.07778527309329,1.04895184666241,NaN,NaN,NaN,NaN
5500,NaN,-0.000217655514488367,0.0988447684635627,0.11257847196526,0.202632911043046,0.374147746846439,0.449739615318853,0.770170318988709,0.82494838630181,0.821206532070981,0.844433783745333,NaN,NaN,1.13499400615741,1.11893896721802,1.10195770962644,1.07352020616097,NaN,NaN,NaN,NaN
5750,NaN,-0.0420977861354993,0.126316297181792,0.136464989372788,0.230874397656394,0.447242028107758,0.522433725645674,0.814475740300821,0.871943407767563,0.861155754047618,0.886811871085574,NaN,NaN,1.15986403810608,1.14296338341039,1.12455398103573,1.09654235488585,NaN,NaN,NaN,NaN
