PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,0.556481507908359,-0.0256283421552553,-0.060025629856217,NaN,NaN,-0.0256448563071015,-0.00656870857774562,-0.0256792301851084,0.00706396973583449,NaN,NaN,0.23129211379098,0.246349251847552,0.342728355358431,0.321204995556492,NaN,NaN,NaN,NaN
1750,NaN,NaN,0.341753457078074,-0.055893673728267,-0.0751266505060982,NaN,NaN,-0.0339818470437955,-0.0142422621574229,0.0202106163793396,0.0578405268209869,NaN,NaN,0.33537577479331,0.350892725086609,0.410550029512431,0.391357531791052,NaN,NaN,NaN,NaN
2000,NaN,NaN,0.197627718024913,-0.0752930743191376,-0.081696998531142,NaN,NaN,-0.0117502734284686,0.00893477472312654,0.0742715504608969,0.111823768761812,NaN,NaN,0.430543677284402,0.445041642156599,0.48522423724362,0.465281297058143,NaN,NaN,NaN,NaN
2250,NaN,NaN,0.100001499114404,-0.0862597122539722,-0.0816203892712329,NaN,NaN,0.0288022426934704,0.0504411558875821,0.132117407798393,0.167294442166092,NaN,NaN,0.51657670059373,0.529058313187536,0.557530127301091,0.535870967463695,NaN,NaN,NaN,NaN
2500,NaN,NaN,0.0343276013738964,-0.0905984339696481,-0.0762954449092941,NaN,NaN,0.0797846947919654,0.102641070450954,0.191246354421099,0.223163207057901,NaN,NaN,0.594180072443761,0.604064537409384,0.624728659816107,0.601191633592296,NaN,NaN,NaN,NaN
2750,NaN,NaN,-0.00864516567436225,-0.0896657692863619,-0.0667776012693982,NaN,NaN,0.136348539588746,0.160824409548123,0.250221695927129,0.278752304974397,NaN,NaN,0.664276181693796,0.671293475282162,0.686295732358834,0.661029772079793,NaN,NaN,NaN,NaN
3000,NaN,NaN,-0.0350520162744735,-0.0844963627254081,-0.0538762064220669,NaN,NaN,0.195527131704333,0.222038956067342,0.308223722873026,0.333646196443429,NaN,NaN,0.727771771207915,0.731860798970442,0.742469158985799,0.715733855411218,NaN,NaN,NaN,NaN
3250,NaN,NaN,-0.0491038879930709,-0.0758907014428586,-0.0382211946244867,NaN,NaN,0.255497968688913,0.284412128847849,0.364797574228465,0.387596066101996,NaN,NaN,0.785485582108827,0.786714768618809,0.793725572307622,0.765805866362256,NaN,NaN,NaN,NaN
3500,NaN,NaN,-0.0537748657756953,-0.0644763706098379,-0.0203094891126512,NaN,NaN,0.315140499881983,0.346749563004674,0.419707464566056,0.44045958623118,NaN,NaN,0.838132194916224,0.836644317466383,0.840585538147228,0.81175485290266,NaN,NaN,NaN,NaN
3750,NaN,NaN,-0.051216857982497,-0.0507513701707174,-0.000537830604398087,-0.502143127766833,-0.401384827471746,0.373771460535865,0.408291367993939,0.472850335422156,0.492162775992379,NaN,NaN,0.886325966649109,0.88230253607376,0.883542062661603,0.854047135052086,NaN,NaN,NaN,NaN
