PhotonEnergy_eV,1s1,2s1,3s1,4s1,5s1,2p1,2p3,3p1,3p3,4p1,4p3,5p1,5p3,3d3,3d5,4d3,4d5,5d3,5d5,4f5,4f7
1500,NaN,NaN,NaN,0.629068936879292,0.396757683374601,NaN,NaN,NaN,NaN,0.357836291888895,0.179818577954257,0.191413225278651,0.131127549709357,NaN,NaN,-0.0413283464907975,-0.0584012173417398,0.0216907487686318,0.0514452889689116,0.273032687562447,0.299655161412499
1750,NaN,NaN,NaN,0.569161197614584,0.349931394095745,NaN,NaN,NaN,NaN,0.285964116595304,0.120376984197055,0.143109460112893,0.0732096021323949,NaN,NaN,-0.0460115461901768,-0.0409858064739605,0.0265526150304262,0.0760069108832753,0.359297487846363,0.37560240306585
2000,NaN,NaN,NaN,0.507555676370428,0.303065424097205,NaN,NaN,NaN,NaN,0.211548907988564,0.0664297174981278,0.0958005423001536,0.0292772542416671,0.00777627691337635,-0.075124493136884,-0.0200692414395693,-0.000609340053327589,0.0420299982285996,0.111955751206208,0.440839986225747,0.452755804486453
2250,NaN,NaN,NaN,0.447185776586437,0.257819696962964,NaN,NaN,NaN,NaN,0.145539521264,0.0231696706170094,0.0558408594036297,-0.00183495604002271,-0.178830811390107,-0.220125263684762,0.0228242165099007,0.0516122779476097,0.0651501367883492,0.156015286742853,0.516254886022989,0.526342332536797
2500,NaN,NaN,NaN,0.389527954092451,0.215007927633649,NaN,NaN,NaN,0.150186949335294,0.0916057591040269,-0.00856479437657698,0.0250933896840239,-0.0217252620150516,-0.227431524256198,-0.223578847503954,0.0754991929912613,0.110057766141844,0.0937869033640589,0.205948518667263,0.585509576991851,0.594886155857867
2750,NaN,NaN,NaN,0.335281104513167,0.17499296722517,NaN,NaN,0.0202851716059551,0.369177210005698,0.0502387464216447,-0.0295302668473791,0.00360805246484357,-0.0320151088630832,-0.212178599280283,-0.171978159827746,0.133729375624639,0.171544051878066,0.126373340186434,0.260169973846234,0.649007661368783,0.658131623483605
3000,NaN,NaN,1.91450037037683,0.284719087203148,0.137891673395563,NaN,NaN,0.55471192689376,0.291355100666496,0.0205979189848917,-0.0409897195601234,-0.00930499692622011,-0.0342076342079238,-0.165298634490368,-0.0997859906248849,0.194875329732783,0.234160944261463,0.161727252832557,0.317522109758256,0.707272529323167,0.716291170455985
3250,NaN,NaN,1.61482039261021,0.237881214382479,0.103685746483807,NaN,NaN,0.519450597324125,0.18551540814959,0.00136027409220609,-0.0442775828752359,-0.0146136071945577,-0.0296419148497689,-0.102350837118592,-0.0208342437201886,0.257239418572306,0.296728735657925,0.198941629612806,0.377141445663683,0.760831390869778,0.76974544265789
3500,NaN,NaN,1.36336842157692,0.194678439179924,0.0722836565851835,NaN,NaN,0.382655278376693,0.0980682133453559,-0.00889196678440593,-0.0406332771854928,-0.0133533611581844,-0.0194834030492356,-0.0315044431156867,0.0591917397828122,0.319714315115732,0.358511381929957,0.237313080399356,0.438374986077026,0.810173223898811,0.818917620232353
3750,NaN,NaN,1.15078499830321,0.154953904864356,0.0435560415973497,NaN,NaN,0.254471866946894,0.0334991421245009,-0.0115020393887355,-0.0311476039039164,-0.00652765031543986,-0.00472872717418138,0.0427214531057531,0.137903991644134,0.381575412727066,0.419052173461473,0.276293158373216,0.500725640163918,0.855736045560129,0.864220486159395
